TIC_ID,Prot,eProt,Flare_star,Variability_Classification,
140830390,nan,nan,no,Ambiguous_Variability,
141527579,nan,nan,no,Noisy_LCs,
141527965,nan,nan,no,Noisy_LCs,
141608198,nan,nan,no,Noisy_LCs,
141768070,nan,nan,no,Noisy_LCs,
142019343,5.580,0.03,no,Unambiguous_Rotation,
142090065,2.376,0.123,no,Unambiguous_Rotation,
142276270,8.189,0.699,no,Unambiguous_Rotation,
142394656,6.21/9.42,nan,no,Dubious_Rotation,
143271144,nan,nan,no,Noisy_LCs,
143350972,nan,nan,no,Noisy_LCs,
143526444,nan,nan,no,Noisy_LCs,
143994283,5.714,0.698,no,Unambiguous_Rotation,
144065872,nan,nan,no,Ambiguous_Variability,
144138509,nan,nan,no,Noisy_LCs,
144401492,4.540,0.448,no,Unambiguous_Rotation,
144440290,nan,nan,no,Noisy_LCs,
144700903,nan,nan,no,Noisy_LCs,
146463781,nan,nan,no,Noisy_LCs,
146520535,3.304,0.225,yes,Unambiguous_Rotation,
146846569,nan,nan,no,Noisy_LCs,
147660201,nan,nan,no,Ambiguous_Variability,
147950620,nan,nan,no,Noisy_LCs,
148228019,nan,nan,no,Ambiguous_Variability,
148479278,nan,nan,no,Noisy_LCs,
148782377,nan,nan,no,Ambiguous_Variability,
148914726,7.391,0.594,no,Unambiguous_Rotation,
149010208,nan,nan,no,Binary,
149301575,nan,nan,no,Noisy_LCs,
149302744,nan,nan,no,Noisy_LCs,
149603524,nan,nan,no,Ambiguous_Variability,
149788158,nan,nan,no,Noisy_LCs,
149833117,nan,nan,no,Pulsation,
149990841,nan,nan,no,Noisy_LCs,
150030205,nan,nan,no,Noisy_LCs,
150098860,nan,nan,no,Noisy_LCs,
150151262,6.07/11.33,nan,no,Dubious_Rotation,
150247134,nan,nan,no,Noisy_LCs,
150271680,nan,nan,no,Noisy_LCs,
150299840,0.770,0.001,yes,Unambiguous Rotation,
150428135,nan,nan,no,Noisy_LCs,
150428703,4.52/7.34,nan,no,Dubious_Rotation,
151681127,nan,nan,no,Noisy_LCs,
151825527,nan,nan,no,Ambiguous_Variability,
151959065,nan,nan,no,Noisy_LCs,
152147232,nan,nan,no,Noisy_LCs,
152476657,nan,nan,no,Noisy_LCs,
153065527,nan,nan,no,Noisy_LCs,
153077621,nan,nan,no,Ambiguous_Variability,
153949511,8.095,0.683,no,Unambiguous_Rotation,
153951307,nan,nan,no,Noisy_LCs,
153976959,nan,nan,no,Noisy_LCs,
154089169,nan,nan,no,Noisy_LCs,
154383539,nan,nan,no,Noisy_LCs,
154459165,5.355,0.611,no,Unambiguous_Rotation,
154618248,7.599,1.203,no,Unambiguous_Rotation,
154716798,6.467,0.871,no,Unambiguous_Rotation,
154840461,5.329,0.302,no,Unambiguous_Rotation,
154872375,5.081,0.281,no,Unambiguous_Rotation,
154927364,6.396,0.388,no,Unambiguous_Rotation,
155114483,nan,nan,no,Noisy_LCs,
156816238,2.140,0.107,no,unambiguous rotation,
156987351,nan,nan,no,Pulsation,
156991337,3.607,0.155,no,Unambiguous_Rotation,
158002130,nan,nan,no,Noisy_LCs,
158025009,nan,nan,no,Noisy_LCs,
158170594,nan,nan,no,Noisy_LCs,
158297421,nan,nan,no,Ambiguous_Variability,
158324245,nan,nan,no,Noisy_LCs,
158561566,nan,nan,no,Noisy_LCs,
158588995,nan,nan,no,Noisy_LCs,
158623531,nan,nan,no,Noisy_LCs,
158978373,nan,nan,no,Noisy_LCs,
