Planet,Flag,l_Mp,Mp,E_Mp,e_Mp,f_Mp,Rp,E_Rp,e_Rp,f_Rp,Per,a,e,S,R1,R2,R3,R4,CHZ,OHZ,TSM,K,Mstar,Rstar,Teff,logg,Lstar,Jmag,Vmag
HD 50554 b,,,1574.53,123.63,-123.63,,12.63,,,1,1293.0,2.353,0.501,342.7,0.874,1.107,1.941,2.048,23,26,,103.7,1.04,1.02,5987,,1.39,5.776,6.856
HD 5319 c,,,334.67,22.88,-22.88,,13.7,,,1,872.2,1.93,0.183,3053.2,2.274,2.881,5.241,5.528,0,9,,19.4,1.27,4.06,4871,3.26,8.331,6.348,8.05
HD 55696 b,,,1230.0,228.84,-228.84,,12.79,,,1,1827.0,3.18,0.705,363.3,1.214,1.537,2.696,2.843,13,18,,76.4,1.29,1.52,6012,,2.692,6.9,7.95
HD 564 b,,,104.88,9.54,-9.54,,12.82,,,1,492.3,1.2,0.096,1053.5,0.785,0.995,1.748,1.844,100,100,,8.8,0.96,1.01,5902,4.53,1.111,7.218,8.32
HD 63765 b,,,168.45,9.53,-9.53,,14.02,,,1,358.0,0.94,0.24,842.4,0.565,0.716,1.274,1.344,98,100,,20.8,0.65,0.83,5449,4.41,0.545,6.768,8.1
HD 65216 b,,,411.59,19.71,-19.71,,13.65,,,1,577.6,1.301,0.27,621.1,0.665,0.842,1.493,1.574,61,73,,36.0,0.87,0.93,5612,4.44,0.77,6.763,7.97
HD 66428 b,,,1018.33,13.67,-13.67,,13.07,,,1,2263.12,3.467,0.493,137.0,0.825,1.044,1.842,1.943,5,8,,54.1,1.08,1.1,5773,4.36,1.207,7.044,8.25
HD 67087 c,,,1541.48,3180.0,-1150.0,,12.88,,,1,2374.0,3.86,0.76,317.7,1.351,1.712,2.982,3.145,10,14,,92.4,1.36,1.55,6330,4.19,3.467,7.098,8.05
HD 69830 d,,,18.12,,,,4.36,,,1,197.0,0.63,0.07,2072.4,0.596,0.755,1.347,1.421,0,80,,2.2,0.86,0.0,5385,,0.603,4.953,5.96
HD 70573 b,,,1938.76,130.0,-130.0,,12.59,,,1,851.8,1.76,0.4,301.6,0.622,0.788,1.392,1.468,21,24,,142.2,1.0,0.84,5737,4.59,0.684,7.558,8.667
HD 7199 b,,,85.81,9.53,-9.53,,11.0,,,1,615.0,1.36,0.19,518.8,0.644,0.816,1.457,1.537,57,69,,7.8,0.77,0.97,5371,4.35,0.703,6.664,8.06
HD 73534 b,,,353.43,18.75,-18.75,,13.72,,,1,1750.0,2.99,0.126,533.4,1.47,1.862,3.38,3.565,100,100,,17.1,1.16,2.58,4917,3.6,3.493,6.524,8.23
HD 7449 b,,,161.46,35.28,-35.28,,14.01,,,1,1255.5,2.38,0.92,253.1,0.758,0.96,1.682,1.774,7,9,,23.6,1.05,0.94,6024,4.51,1.05,6.425,7.5
HD 75784 c,,,1792.56,228.84,-228.84,,12.66,,,1,7900.0,8.4,0.489,112.7,1.902,2.409,4.383,4.623,3,6,,56.4,1.26,3.4,4867,3.46,5.824,6.092,7.84
HD 75898 b,,,861.32,114.42,-114.42,,13.09,,,1,422.9,1.191,0.11,2775.4,1.26,1.596,2.802,2.955,0,35,,63.2,1.26,1.58,5963,,2.884,6.925,8.03
HD 79498 b,,,425.89,66.74,-66.74,,13.61,,,1,1807.0,2.98,0.575,164.7,0.778,0.986,1.74,1.835,11,13,,25.9,1.08,1.05,5748,,1.072,6.851,8.05
HD 80606 b,,,1392.1,235.19,-235.19,,11.74,0.34,-0.34,,111.44,0.47479806,0.93,5623.5,0.733,0.928,1.646,1.737,0,54,,457.4,1.15,1.04,5561,4.42,0.929,7.702,9.06
HD 80869 b,,,1544.65,206.59,-92.17,,12.78,,,1,1711.7,2.878,0.862,193.0,0.809,1.025,1.805,1.904,6,8,,154.3,1.08,1.06,5837,4.18,1.171,7.259,8.48
HD 81040 b,,,2310.62,311.47,-311.47,,12.78,,,1,1001.7,1.94,0.53,295.8,0.679,0.86,1.517,1.6,21,23,,167.8,1.05,0.91,5755,4.54,0.816,6.505,7.72
HD 82943 b,,,534.27,8.9,-8.9,,13.49,,,1,441.47,1.18306,0.162,1524.5,0.929,1.177,2.068,2.181,56,100,,43.2,1.08,1.18,5935,4.33,1.563,5.509,6.55
HD 82943 c,,,622.63,14.94,-14.94,,13.28,,,1,220.08,0.74345,0.3663,3860.5,0.929,1.177,2.068,2.181,0,35,,67.3,1.08,1.18,5935,4.33,1.563,5.509,6.55
HD 8535 b,,,216.12,22.25,-12.71,,14.02,,,1,1313.0,2.45,0.15,409.9,0.986,1.249,2.183,2.303,21,32,,11.8,1.13,1.19,6136,4.46,1.802,6.735,7.7
HD 85390 b,,,31.47,3.18,-3.18,,6.15,,,1,799.52,1.373,0.5,380.7,0.563,0.713,1.281,1.351,25,33,118.8,3.0,0.76,0.9,5186,4.41,0.526,7.012,8.54
HD 86264 b,,,2224.81,508.53,-508.53,,12.56,,,1,1475.0,2.86,0.7,762.8,1.563,1.98,3.457,3.646,23,32,,138.1,1.42,1.88,6210,4.02,4.571,6.505,7.41
HD 8673 b,,,4513.19,508.51,-508.51,,12.22,,,1,1634.0,3.02,0.723,507.1,1.331,1.686,2.935,3.095,15,21,,298.8,1.28,1.5,6389,4.19,3.388,5.44,6.331
HD 9174 b,,,352.79,44.5,-44.5,,13.55,,,1,1179.0,2.2,0.12,679.7,1.179,1.493,2.648,2.793,100,100,,21.1,1.03,1.67,5577,4.03,2.41,7.134,8.4
HD 92788 b,,,1195.04,50.85,-47.67,,12.79,,,1,325.8,0.97,0.35,1842.8,0.848,1.073,1.895,1.999,51,72,,107.8,1.15,1.14,5744,4.39,1.27,6.131,7.316
HD 93083 b,,,117.6,,,,13.26,,,1,143.58,0.477,0.14,2461.0,0.502,0.636,1.15,1.213,0,42,,18.4,0.7,1.03,4995,4.26,0.41,6.694,8.3
HD 94834 b,,,400.47,54.03,-54.03,,13.32,,,1,1576.0,2.74,0.14,1526.1,2.29,2.901,5.293,5.583,40,100,,20.7,1.11,4.2,4798,3.22,8.393,5.818,7.6
HD 95089 c,,,1096.51,44.5,-44.5,,12.96,,,1,1785.0,3.33,0.284,1668.5,2.895,3.667,6.658,7.022,47,74,,45.1,1.54,5.08,4918,3.24,13.554,6.24,7.92
HD 96167 b,,,227.88,12.71,-12.71,,13.78,,,1,498.04,1.332,0.685,2808.4,1.438,1.821,3.215,3.391,51,68,,21.5,1.27,1.94,5733,3.99,3.65,6.926,8.09
HD 98649 b,,,2158.07,168.45,-98.53,,12.58,,,1,6022.97,6.57,0.86,32.6,0.761,0.964,1.699,1.792,3,3,,145.1,1.03,1.01,5790,4.51,1.029,6.811,8.0
HD 99109 b,,,139.85,25.43,-25.43,,14.01,,,1,439.3,1.11,0.09,743.6,0.633,0.801,1.435,1.513,100,100,,14.2,0.76,0.98,5282,4.34,0.671,7.626,9.1
HIP 109384 b,,,495.81,25.43,-25.43,,13.42,,,1,499.48,1.134,0.549,544.4,0.556,0.704,1.266,1.335,27,38,,56.4,0.78,0.89,5180,4.43,0.513,8.157,9.61
HIP 109600 b,,,851.78,38.14,-38.14,,12.97,,,1,232.08,0.706,0.163,1943.4,0.641,0.813,1.443,1.522,14,74,,98.4,0.87,0.92,5530,4.45,0.71,7.881,9.18
HIP 114933 b,,,616.59,63.57,-63.57,,13.18,,,1,1481.6,2.84,0.21,2336.2,2.934,3.716,6.774,7.145,0,52,,28.4,1.39,5.27,4823,2.99,13.804,5.564,7.25
HIP 12961 b,,,114.42,22.25,-22.25,,12.8,,,1,57.44,0.25,0.17,1918.6,0.241,0.305,0.581,0.613,0,62,,24.6,0.69,0.65,3901,4.65,0.088,7.558,10.25
HIP 14810 d,,,187.52,31.78,-31.78,,14.07,,,1,981.8,1.94,0.185,354.4,0.752,0.953,1.691,1.784,21,30,,12.2,1.01,1.07,5544,,0.977,7.202,8.52
HIP 5158 b,,,451.32,,,,13.45,,,1,345.72,0.89,0.52,189.4,0.26,0.329,0.597,0.63,15,17,,56.7,0.78,0.95,4962,4.37,0.11,8.28,10.16
HIP 56640 b,,,1166.44,60.39,-60.39,,12.93,,,1,2574.9,3.73,0.12,1100.8,2.651,3.358,6.135,6.471,84,100,,53.3,1.04,4.93,4769,2.91,11.22,6.133,7.94
HIP 57274 d,,,167.4,8.0,-8.0,,14.01,,,1,431.7,1.01,0.27,2072.5,0.99,1.254,2.304,2.431,19,61,,18.1,0.73,0.68,4640,4.71,1.549,6.958,8.97
HIP 67537 b,,,3527.91,127.13,-349.61,,12.35,,,1,2556.5,4.91,0.59,2344.1,5.043,6.388,11.568,12.201,49,68,,113.3,2.41,8.69,4985,2.85,41.4,5.053,6.43
HIP 67851 c,,,1900.62,241.55,-241.55,,12.62,,,1,2131.8,3.82,0.17,1640.7,3.297,4.176,7.592,8.007,36,83,,69.0,1.63,5.92,4890,3.15,17.539,4.479,6.17
HIP 75092 b,,,568.92,47.67,-47.67,,13.3,,,1,926.4,2.02,0.42,3503.0,2.547,3.227,5.865,6.186,0,39,,34.9,1.28,4.53,4891,3.09,10.471,5.358,7.11
HIP 97233 b,,,6356.6,127.1,-127.1,,12.08,,,1,1058.8,2.55,0.61,3357.9,3.13,3.964,7.168,7.561,22,56,,322.6,1.93,5.34,5020,3.26,15.996,5.671,7.34
HR 810 b,,,721.47,79.46,-79.46,,13.33,,,1,302.8,0.92,0.14,2674.4,0.944,1.195,2.089,2.204,0,49,,57.0,1.34,1.13,6167,4.46,1.658,4.75,5.4
iot Dra c,,,4958.15,4449.6,-1620.92,,12.11,,,1,25000.0,19.4,0.455,191.2,5.806,7.354,13.597,14.341,16,18,,90.7,1.54,11.79,4504,2.48,52.723,1.293,3.297
K2-125 b,,,5.26,,,1,2.13,0.19,-0.18,,21.75,0.121,0.08,2388.9,0.131,0.165,0.319,0.336,0,3,19.7,1.9,0.49,0.4,3654,,0.026,12.609,16.4
K2-18 b,,,8.92,1.7,-1.6,,2.32,0.22,-0.22,,32.94,0.1429,0.2,1440.9,0.12,0.152,0.296,0.312,46,83,33.0,3.6,0.36,0.41,3457,,0.022,9.763,13.477
K2-288 B b,,,4.55,,,1,1.87,0.3,-0.3,,31.39,0.164,0.0,596.3,0.089,0.112,0.22,0.232,100,100,,1.9,0.33,0.32,3341,4.96,0.012,,
K2-3 d,,<=,2.8,,,,1.52,,,,44.56,0.20745076,0.0,2057.6,0.207,0.262,0.499,0.527,0,100,28.7,0.7,0.6,0.56,3896,4.73,0.065,9.421,12.168
K2-332 b,,,5.26,,,1,2.15,0.19,-0.15,,17.71,0.08592726,0.0,1571.6,0.076,0.096,0.188,0.198,0,100,16.1,3.1,0.27,0.28,3315,4.97,0.009,13.501,
K2-72 e,,,2.42,,,1,1.26,0.14,-0.13,,24.16,0.106,0.11,1514.8,0.091,0.116,0.227,0.239,20,100,2.7,1.3,0.27,0.33,3360,,0.012,11.685,15.37
K2-9 b,,,5.83,,,1,2.21,0.53,-0.96,,18.45,0.091,0.0,1977.3,0.09,0.114,0.222,0.234,0,100,24.5,3.1,0.3,0.31,3390,,0.012,12.451,15.86
kap CrB b,,,575.59,18.12,-18.12,,13.34,,,1,1285.0,2.65,0.167,2311.0,2.717,3.441,6.261,6.603,0,51,,26.2,1.5,4.85,4871,3.26,11.889,3.035,4.797
KELT-6 c,,,1179.15,66.74,-66.74,,12.87,,,1,1276.0,2.39,0.21,777.2,1.313,1.664,2.901,3.06,100,100,,65.4,1.13,1.53,6272,4.12,3.252,9.302,10.371
Kepler-1058 b,,,7.8,,,1,2.67,0.11,-0.32,,110.97,0.40690247,0.0,1639.2,0.355,0.449,0.825,0.871,0,100,4.8,1.3,0.73,0.69,4644,4.63,0.199,13.729,15.869
Kepler-1086 c,,,8.65,,,1,2.87,0.11,-0.13,,161.52,0.51534865,0.0,719.8,0.301,0.381,0.709,0.748,100,100,5.0,1.3,0.7,0.66,4350,4.65,0.14,13.691,16.002
Kepler-1090 b,,,5.37,,,1,2.21,0.21,-0.17,,198.68,0.63366542,0.0,1645.2,0.536,0.679,1.214,1.281,0,100,3.0,0.7,0.86,0.82,5321,4.55,0.484,13.596,15.31
Kepler-1097 b,,,9.59,,,1,3.19,0.26,-0.26,,187.75,0.60058916,0.0,1563.6,0.498,0.631,1.133,1.195,0,100,4.8,1.2,0.82,0.79,5211,4.57,0.413,13.838,15.652
Kepler-1143 c,,,11.81,,,1,3.52,0.51,-0.35,,210.63,0.64580311,0.0,1135.9,0.46,0.583,1.053,1.11,100,100,5.5,1.5,0.81,0.77,5053,4.58,0.347,13.679,15.493
Kepler-1229 b,,,2.82,,,1,1.37,0.11,-0.13,,86.83,0.31248697,0.0,669.3,0.178,0.226,0.432,0.456,100,100,0.5,0.6,0.54,0.51,3784,4.75,0.048,13.228,16.124
Kepler-1318 b,,,9.02,,,1,3.04,0.17,-0.15,,213.26,0.62897716,0.0,678.5,0.353,0.448,0.824,0.869,100,100,5.3,1.2,0.73,0.7,4598,4.62,0.197,13.514,15.531
Kepler-1341 b,,,8.65,,,1,2.93,0.42,-0.37,,133.0,0.47136868,0.0,1350.8,0.373,0.472,0.867,0.914,0,100,6.2,1.3,0.79,0.72,4662,4.62,0.22,13.285,15.356
Kepler-1362 b,,,6.88,,,1,2.55,0.12,-0.19,,136.21,0.48093257,0.0,1614.8,0.412,0.522,0.951,1.003,0,100,3.3,1.0,0.8,0.74,4857,4.6,0.274,14.208,16.05
Kepler-1410 b,,,3.7,,,1,1.74,0.12,-0.14,,60.87,0.25959021,0.0,1835.7,0.244,0.309,0.582,0.614,0,100,4.1,0.8,0.63,0.6,4092,4.67,0.091,13.586,16.319
Kepler-150 f,,,11.56,,,1,3.57,0.52,-0.39,,637.21,1.24,0.0,612.8,0.633,0.801,1.424,1.501,100,100,3.4,0.9,0.97,0.91,5528,4.51,0.69,13.817,15.161
Kepler-1519 b,,,38.51,,,1,6.91,0.81,-0.54,,240.8,0.74199872,0.0,1870.5,0.657,0.832,1.473,1.554,0,100,9.5,4.1,0.94,0.91,5644,4.5,0.754,13.642,15.124
Kepler-1540 b,,,6.21,,,1,2.44,0.19,-0.14,,125.41,0.44350315,0.0,1260.3,0.34,0.431,0.796,0.839,100,100,8.4,1.0,0.74,0.69,4540,4.63,0.182,12.25,14.429
Kepler-1544 b,,,4.1,,,1,1.74,0.09,-0.07,,168.81,0.55721136,0.0,1231.9,0.417,0.528,0.96,1.012,100,100,3.7,0.5,0.81,0.74,4886,4.61,0.28,12.48,14.287
