Planet,Flag,l_Mp,Mp,E_Mp,e_Mp,f_Mp,Rp,E_Rp,e_Rp,f_Rp,Per,a,e,S,R1,R2,R3,R4,CHZ,OHZ,TSM,K,Mstar,Rstar,Teff,logg,Lstar,Jmag,Vmag
Teegarden's Star c,,,1.11,0.16,-0.15,,1.05,,,1,11.41,0.0443,0.0,507.4,0.022,0.028,0.056,0.059,100,100,105.3,1.6,0.09,0.11,2904,,0.001,8.394,15.13
TOI-1227 b,,,1086.0,,,1,9.37,0.75,-0.58,,27.36,0.0886,0.0,436.8,0.041,0.052,0.103,0.109,100,100,3.4,741.5,0.17,0.56,3072,,0.003,11.89,16.999
TOI-2257 b,,,4.94,,,1,2.15,0.11,-0.11,,35.19,0.145,0.496,775.4,0.089,0.113,0.221,0.233,79,88,34.3,2.3,0.33,0.31,3430,4.97,0.012,11.47,15.211
TOI-2285 b,,,3.66,,,1,1.7,0.08,-0.08,,27.27,0.1363,0.3,2109.4,0.139,0.176,0.341,0.36,12,58,24.3,1.4,0.45,0.46,3491,,0.029,9.86,13.403
TOI-700 d,,,2.11,,,1,1.12,0.06,-0.06,,37.42,0.1633,0.111,1186.2,0.125,0.158,0.307,0.324,63,100,2.5,0.7,0.41,0.42,3461,4.8,0.023,9.469,13.151
TRAPPIST-1 d,,,0.39,0.01,-0.01,,0.77,0.11,-0.01,,4.05,0.02227,0.0,1523.0,0.019,0.025,0.05,0.053,0,100,33.5,0.8,0.09,0.12,2566,5.24,0.001,11.354,17.02
TRAPPIST-1 e,,,0.69,0.02,-0.02,,0.9,0.013,-0.012,,6.1,0.02925,0.0,882.9,0.019,0.025,0.05,0.053,100,100,26.3,1.2,0.09,0.12,2566,5.24,0.001,11.354,17.02
TRAPPIST-1 f,,,1.04,0.03,-0.03,,1.02,0.013,-0.012,,9.21,0.03849,0.0,509.9,0.019,0.025,0.05,0.053,100,100,22.3,1.6,0.09,0.12,2566,5.24,0.001,11.354,17.02
TRAPPIST-1 g,,,1.32,0.04,-0.04,,1.11,0.02,-0.01,,12.35,0.04683,0.0,344.4,0.019,0.025,0.05,0.053,100,100,20.3,1.8,0.09,0.12,2566,5.24,0.001,11.354,17.02
WASP-41 c,,,1010.7,63.57,-63.57,,13.03,,,1,421.0,1.07,0.294,766.0,0.61,0.772,1.371,1.446,81,100,,94.5,0.93,0.87,5545,4.53,0.642,10.096,11.632
WASP-47 c,,,398.2,9.3,-9.3,,13.36,,,1,588.5,1.393,0.296,779.9,0.801,1.014,1.8,1.899,84,100,,31.0,1.04,1.14,5552,4.34,1.109,10.613,11.936
WASP-53 c,,,5196.52,270.16,-260.62,,12.08,,,1,2840.0,3.73,0.8369,33.8,0.461,0.583,1.058,1.116,3,4,,475.7,0.84,0.8,4953,4.55,0.344,10.959,12.591
Wolf 1061 c,,,3.41,0.43,-0.41,,1.6,,,1,17.87,0.089,0.11,1759.4,0.083,0.105,0.205,0.217,0,75,426.4,1.9,0.29,0.31,3342,,0.01,5.95,10.1
Wolf 1061 d,,,7.7,1.12,-1.06,,2.65,,,1,217.21,0.47,0.55,63.1,0.083,0.105,0.205,0.217,0,3,375.6,2.2,0.29,0.31,3342,,0.01,5.95,10.1
