pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_rade,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_radj,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccen,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,st_spectype,st_age,st_ageerr1,st_ageerr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_teff,st_tefferr1,st_tefferr2,st_teff,st_rad,st_raderr1,st_raderr2,st_rad,st_mass,st_masserr1,st_masserr2,st_mass,st_vsin,st_vsinerr1,st_vsinerr2,st_vsin,st_rotp,st_rotperr1,st_rotperr2,st_rotp,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_snum,sy_pnum,sy_mnum
"TOI-1470 b","b","TOI-1470",,,"TIC 284441182","Gaia DR2 427224073427887360",1,2,0,1,0,0,1,0,0,0,0,0,0,0.028500,0.000400,-0.000400,0.028500,2.180,0.040,-0.040,2.180,7.32000,1.21000,-1.24000,0.194,0.004,-0.004,0.194,0.02303,0.00381,-0.00390,"Mass",0.300000,,,0.300000,2.52709300,0.00000400,-0.00000300,87.420,0.120,-0.120,"M1.5 V",1.300,0.700,-0.700,0.000,0.030,-0.030,"[Fe/H]",-1.425,0.001,-0.001,3709.00,11.00,-11.00,3709.00,0.47,0.00,-0.00,0.47,0.47,0.01,-0.01,0.47,2.0000,,,2.0000,29.00,3.00,-3.00,29.00,51.9503000,0.0745000,-0.0745000,13.4590000,0.0360000,-0.0360000,9.2830000,0.0200000,-0.0200000,1,2,0
"HR 810 b","b","HR 810","HD 17051","HIP 12653","TIC 166853853","Gaia DR2 4745373133284418816",1,1,0,1,0,0,1,1,0,0,0,0,0,0.920000,0.020000,-0.020000,0.920000,12.700,,,12.700,1970.53612,158.91420,-158.91420,1.140,,,1.140,6.20000,0.50000,-0.50000,"Mass",0.140000,0.130000,-0.130000,0.140000,302.79999000,2.30000000,-2.30000000,87.000,6.000,-6.000,"G0V",2.720,,,0.160,,,"[Fe/H]",0.253,0.001,-0.001,6167.00,24.00,-24.00,6167.00,1.13,0.02,-0.02,1.13,1.34,0.13,-0.13,1.34,6.5000,0.5000,-0.5000,6.5000,7.90,,,7.90,17.3181000,0.0162000,-0.0162000,5.4000000,0.0300000,-0.0300000,4.1380000,0.0360000,-0.0360000,1,1,0
"HD 97658 b","b","HD 97658","HD 97658","HIP 54906","TIC 82308728","Gaia DR2 3997075206232885888",1,1,0,1,0,0,1,0,0,0,0,0,0,0.080500,0.001000,-0.001100,0.080500,2.120,0.060,-0.060,2.120,8.30000,1.10000,-1.10000,0.189,0.005,-0.005,0.189,0.02611,0.00346,-0.00346,"Mass",0.050000,0.040000,-0.030000,0.050000,9.48971160,0.00000080,-0.00000080,89.050,0.410,-0.240,"K1 V",3.900,2.600,-2.030,-0.230,0.030,-0.030,"[Fe/H]",-0.455,0.009,-0.009,5212.00,43.00,-43.00,5212.00,0.73,0.01,-0.01,0.73,0.85,0.08,-0.08,0.85,0.5000,0.5000,-0.5000,0.5000,,,,,21.5618000,0.0254000,-0.0253000,7.7600000,0.0300000,-0.0300000,5.7340000,0.0180000,-0.0180000,1,1,0
"LTT 3780 b","b","LTT 3780",,,"TIC 36724087","Gaia DR2 3767281845873242112",2,2,0,1,0,0,1,0,0,0,0,0,0,0.011950,0.000280,-0.000290,0.011950,1.325,0.057,-0.058,1.325,2.46000,0.19000,-0.19000,0.118,0.005,-0.005,0.118,0.00774,0.00060,-0.00060,"Mass",0.000000,,,0.000000,0.76837931,0.00000039,-0.00000042,86.100,0.920,-0.680,"M3.5 V",3.100,6.200,-0.980,0.060,0.110,-0.110,"[Fe/H]",-1.783,0.052,-0.059,3358.00,92.00,-92.00,3358.00,0.38,0.01,-0.01,0.38,0.38,0.02,-0.03,0.38,3.0000,,,3.0000,104.00,15.00,-15.00,104.00,21.9814000,0.0403000,-0.0402000,13.1400000,0.0350000,-0.0350000,8.2040010,0.0210000,-0.0210000,2,2,0
"TOI-5799 b","b","TOI-5799",,,"TIC 328081248","Gaia DR2 1807887150930343424",1,1,0,0,0,0,1,0,0,0,0,0,0,0.035200,0.001100,-0.001100,0.035200,1.625,0.192,-0.128,1.625,3.27000,,,0.145,0.017,-0.011,0.145,0.01030,,,"M-R relationship",,,,,4.16475300,0.00038000,-0.00042700,88.670,0.890,-1.650,,7.000,4.700,-4.800,-0.080,0.250,-0.340,"[Fe/H]",-1.830,0.037,-0.037,3514.00,95.00,-94.00,3514.00,0.33,0.01,-0.01,0.33,0.34,0.03,-0.03,0.34,,,,,,,,,27.8123000,0.0250500,-0.0250500,13.2900000,0.0770000,-0.0770000,8.9520000,0.0210000,-0.0210000,1,1,0
"TOI-2068 b","b","TOI-2068",,,"TIC 417931300","Gaia DR2 1581657479535392256",1,1,0,0,0,0,1,0,0,0,0,0,0,0.063200,0.001100,-0.001100,0.063200,1.821,0.162,-0.149,1.821,3.97000,,,0.162,0.014,-0.013,0.162,0.01250,,,"M-R relationship",,,,,7.76891500,0.00002500,-0.00003700,89.010,0.680,-1.020,,7.000,4.600,-5.000,0.270,0.150,-0.200,"[Fe/H]",-1.311,0.020,-0.022,3710.00,57.00,-58.00,3710.00,0.54,0.02,-0.02,0.54,0.56,0.03,-0.03,0.56,,,,,,,,,52.9328000,0.0586000,-0.0586000,13.0070000,0.0090000,-0.0090000,9.0070000,0.0220000,-0.0220000,1,1,0
"TOI-2180 b","b","TOI-2180",,,"TIC 298663873","Gaia DR2 2151078741786155008",1,1,0,1,0,0,1,0,0,0,0,0,0,0.828000,0.012000,-0.012000,0.828000,11.321,0.247,-0.213,11.321,875.61726,27.65107,-25.74410,1.010,0.022,-0.019,1.010,2.75500,0.08700,-0.08100,"Mass",0.368300,0.007300,-0.007300,0.368300,260.79000000,0.59000000,-0.58000000,89.955,0.032,-0.044,"G5",8.100,1.500,-1.300,0.253,0.057,-0.057,"[Fe/H]",0.406,0.015,-0.016,5695.00,58.00,-60.00,5695.00,1.64,0.03,-0.03,1.64,1.11,0.05,-0.05,1.11,2.2000,1.0000,-1.0000,2.2000,,,,,116.6850000,0.2670000,-0.2660000,9.1620000,0.0020000,-0.0020000,7.6040000,0.0160000,-0.0160000,1,1,0
"TOI-1899 b","b","TOI-1899",,,"TIC 172370679","Gaia DR2 2073530190996615424",1,1,0,1,0,0,1,0,0,0,0,0,0,0.152500,0.006500,-0.006000,0.152500,11.097,0.336,-0.336,11.097,212.94503,12.71314,-12.71314,0.990,0.030,-0.030,0.990,0.67000,0.04000,-0.04000,"Mass",0.044000,0.029000,-0.027000,0.044000,29.09031200,0.00003600,-0.00003500,89.640,0.070,-0.080,"M0",7.100,4.500,-4.800,0.280,0.110,-0.110,"[Fe/H]",-1.057,0.003,-0.003,3926.00,45.00,-47.00,3926.00,0.61,0.02,-0.02,0.61,0.63,0.03,-0.03,0.63,2.0000,,,2.0000,,,,,128.4380000,0.2500000,-0.2500000,14.8800000,0.2000000,-0.2000000,10.5090000,0.0180000,-0.0180000,1,1,0
"HD 22946 d","d","HD 22946","HD 22946","HIP 17047","TIC 100990000","Gaia DR2 4848767461548943104",1,3,0,0,0,0,1,0,0,0,0,0,0,0.295800,0.004400,-0.004200,0.295800,2.607,0.060,-0.060,2.607,26.57000,,,0.233,0.005,-0.005,0.233,0.08360,,,"Mass",,,,,47.42489000,0.00010000,-0.00011000,,,,"F7/F8V",2.500,1.000,-1.000,-0.080,0.040,-0.040,"[Fe/H]",0.209,0.013,-0.014,6169.00,64.00,-64.00,6169.00,1.12,0.01,-0.01,1.12,1.10,0.04,-0.04,1.10,,,,,,,,,62.7792000,0.1161000,-0.1156000,8.2700010,0.0300000,-0.0300000,6.9810000,0.0290000,-0.0290000,1,3,0
"Qatar-3 b","b","Qatar-3",,,"TIC 291751373","Gaia DR2 2878641361300809856",1,1,0,1,0,0,1,0,0,0,0,0,0,0.037830,0.000690,-0.000690,0.037830,12.285,1.569,-1.569,12.285,1369.84730,149.38010,-149.38010,1.096,0.140,-0.140,1.096,4.31000,0.47000,-0.47000,"Mass",0.000000,,,0.000000,2.50792040,,,86.800,2.000,-2.000,"G0 V",0.310,0.001,-0.001,-0.041,0.081,-0.081,"[Fe/H]",0.279,0.094,-0.120,6007.00,52.00,-52.00,6007.00,1.27,0.14,-0.14,1.27,1.15,0.06,-0.06,1.15,10.2000,0.5000,-0.5000,10.2000,6.31,,,6.31,735.6010000,33.4630000,-30.7230000,12.9290000,0.0800000,-0.0800000,11.2190000,0.0220000,-0.0220000,1,1,0
