pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_rade,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_radj,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccen,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,st_spectype,st_age,st_ageerr1,st_ageerr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_teff,st_tefferr1,st_tefferr2,st_teff,st_rad,st_raderr1,st_raderr2,st_rad,st_mass,st_masserr1,st_masserr2,st_mass,st_vsin,st_vsinerr1,st_vsinerr2,st_vsin,st_rotp,st_rotperr1,st_rotperr2,st_rotp,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_snum,sy_pnum,sy_mnum
"WASP-89 b","b","WASP-89",,,"TIC 77202722","Gaia DR2 6857756246957592320",1,1,0,1,0,0,1,0,0,0,0,0,0,0.042700,0.001200,-0.001200,0.042700,11.657,0.448,-0.448,11.657,1875.19700,127.13200,-127.13200,1.040,0.040,-0.040,1.040,5.90000,0.40000,-0.40000,"Mass",0.193000,0.009000,-0.009000,0.193000,3.35642270,0.00000250,-0.00000250,89.400,0.500,-0.500,"K3",1.300,1.500,-0.800,0.150,0.140,-0.140,"[Fe/H]",-0.343,0.008,-0.008,5130.00,90.00,-90.00,5130.00,0.88,0.03,-0.03,0.88,0.92,0.08,-0.08,0.92,2.5000,0.9000,-0.9000,2.5000,20.20,0.40,-0.40,20.20,290.9460000,2.6920000,-2.6450000,13.2100000,0.1030000,-0.1030000,11.0040000,0.0210000,-0.0210000,1,1,0
"K2-264 b","b","K2-264",,,"TIC 184914317","Gaia DR2 661167785238757376",1,2,0,0,0,0,1,0,0,0,0,0,0,0.050230,0.000420,-0.000430,0.050230,2.231,0.151,-0.145,2.231,5.61000,,,0.199,0.013,-0.013,0.199,0.01760,,,"M-R relationship",0.500000,,,0.500000,5.84000200,0.00067600,-0.00060200,89.010,0.580,-0.400,"M2.5 V",,,,-0.013,0.180,-0.180,"[Fe/H]",-1.481,0.016,-0.016,3660.00,80.00,-45.00,3660.00,0.47,0.01,-0.01,0.47,0.50,0.01,-0.01,0.50,,,,,22.20,0.60,-0.60,22.20,185.6050000,2.1220000,-2.0750000,16.7010000,0.0462000,-0.0462000,12.1830000,0.0200000,-0.0200000,1,2,0
"K2-347 b","b","K2-347",,,"TIC 14603874","Gaia DR2 678119333962115072",1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,2.410,0.110,-0.100,2.410,6.39000,,,0.215,0.010,-0.009,0.215,0.02010,,,"M-R relationship",,,,,7.18725700,0.00002000,-0.00002100,,,,,,,,-0.260,0.170,-0.210,"[Fe/H]",-0.894,,,4599.00,178.00,-152.00,4599.00,0.63,0.02,-0.02,0.63,0.66,0.03,-0.03,0.66,,,,,,,,,320.3360000,3.9550000,-3.8620000,15.1500000,0.0690000,-0.0690000,12.3000000,0.0230000,-0.0230000,1,1,0
"GJ 9827 b","b","GJ 9827",,"HIP 115752","TIC 301289516","Gaia DR2 2643842302456085888",1,3,0,1,0,0,1,0,0,0,0,0,0,0.018900,0.000400,-0.000400,0.018900,1.440,0.090,-0.070,1.440,4.28000,0.35000,-0.33000,0.128,0.008,-0.006,0.128,0.01347,0.00110,-0.00104,"Mass",0.063000,,,0.063000,1.20897400,0.00000100,-0.00000100,87.600,1.310,-1.270,"K7 V",5.465,4.058,-4.058,-0.290,0.030,-0.030,"[Fe/H]",-0.942,0.001,-0.001,4236.00,12.00,-12.00,4236.00,0.58,0.03,-0.03,0.58,0.62,0.04,-0.04,0.62,1.7500,,,1.7500,28.16,3.38,-2.66,28.16,29.6610000,0.0543000,-0.0541000,10.3700000,0.0300000,-0.0300000,7.1930000,0.0240000,-0.0240000,1,3,0
"K2-116 b","b","K2-116",,"HIP 110620","TIC 39936432","Gaia DR2 2602406721431348096",1,1,0,0,0,0,1,0,0,0,0,0,0,0.048000,0.002000,-0.002000,0.048000,0.690,0.040,-0.040,0.690,0.25700,,,0.062,0.004,-0.004,0.062,0.00081,,,"M-R relationship",0.060000,0.141966,-0.053272,0.060000,4.65541100,0.00048600,-0.00047300,89.090,0.620,-0.710,,,,,0.010,0.080,-0.080,"[Fe/H]",-0.746,0.002,-0.002,4348.35,86.10,-87.78,4348.35,0.67,0.03,-0.03,0.67,0.69,0.07,-0.07,0.69,,,,,,,,,49.3855000,0.1247000,-0.1240000,10.8000000,0.0300000,-0.0300000,7.8750000,0.0270000,-0.0270000,1,1,0
"HD 108874 c","c","HD 108874","HD 108874","HIP 61028","TIC 371621238","Gaia DR2 3958951942642583936",1,2,0,1,0,0,0,0,0,0,0,0,0,2.659000,0.060000,-0.060000,2.659000,13.800,,,13.800,314.64000,19.07000,-19.07000,1.230,,,1.230,0.99000,0.06000,-0.06000,"Msini",0.239000,0.031000,-0.031000,0.239000,1624.00000000,23.00000000,-23.00000000,,,,"G5",8.000,2.500,-3.500,0.190,0.030,-0.030,"[Fe/H]",-0.001,0.012,-0.008,5551.00,44.00,-44.00,5551.00,1.09,0.03,-0.03,1.09,0.95,0.04,-0.04,0.95,2.2000,,,2.2000,,,,,59.5175000,0.1585000,-0.1576000,8.7600000,0.0300000,-0.0300000,7.0600000,0.0240000,-0.0240000,1,2,0
"IC 4651 9122 b","b","IC 4651 9122",,,"TIC 214416505","Gaia DR2 5949553973093167104",1,1,0,1,0,0,0,0,0,0,0,0,0,2.038000,0.039000,-0.039000,2.038000,12.700,,,12.700,2002.32900,158.91500,-158.91500,1.140,,,1.140,6.30000,0.50000,-0.50000,"Msini",0.180000,0.090000,-0.090000,0.180000,734.00000000,8.10000000,-8.10000000,,,,,1.140,,,0.120,,,"[Fe/H]",1.636,0.023,-0.024,4740.10,35.15,-35.15,4740.10,10.27,0.47,-0.68,10.27,2.10,,,2.10,,,,,,,,,859.3240000,31.9890000,-31.9890000,10.9090000,0.0160000,-0.0160000,8.0540000,0.0180000,-0.0180000,1,1,0
"HD 222237 b","b","HD 222237","HD 222237","HIP 116745","TIC 277913391","Gaia DR2 6380214844952702848",1,1,0,1,0,0,0,1,0,0,0,0,0,10.800000,1.100000,-1.000000,10.800000,12.800,,,12.800,1649.52943,184.34048,-184.34048,1.150,,,1.150,5.19000,0.58000,-0.58000,"Mass",0.560000,0.030000,-0.030000,0.560000,14892.00000000,2112.00000000,-1655.00000000,49.900,3.400,-2.800,"K3 V",8.800,,,-0.320,0.020,-0.020,"[Fe/H]",-0.666,0.012,-0.012,4751.00,139.00,-139.00,4751.00,0.71,0.06,-0.06,0.71,0.76,0.09,-0.09,0.76,2.4000,0.5000,-0.5000,2.4000,,,,,11.4469000,0.0035000,-0.0034000,7.0900000,0.0300000,-0.0300000,4.5810000,0.0290000,-0.0290000,1,1,0
"K2-240 b","b","K2-240",,,"TIC 432247315","Gaia DR2 6257625719430982016",1,2,0,0,0,0,1,0,0,0,0,0,0,0.051300,0.000900,-0.000900,0.051300,2.000,0.200,-0.100,2.000,4.66000,,,0.178,0.018,-0.009,0.178,0.01470,,,"M-R relationship",,,,,6.03400000,0.00100000,-0.00100000,89.260,0.510,-0.640,"M0.5 V",,,,-0.100,0.100,-0.100,"[Fe/H]",-1.276,0.016,-0.017,3810.00,17.00,-17.00,3810.00,0.54,0.01,-0.01,0.54,0.58,0.01,-0.01,0.58,,,,,10.80,0.10,-0.10,10.80,72.9105000,0.5225500,-0.5225500,13.3720000,0.0220000,-0.0220000,9.5600000,0.0230000,-0.0230000,1,2,0
"BD-210397 c","c","BD-210397",,"HIP 10337","TIC 268804174","Gaia DR2 5124636303346779008",1,2,0,1,0,0,0,0,0,0,0,0,0,5.900000,0.100000,-0.100000,5.900000,12.900,,,12.900,1525.57635,190.69704,-190.69704,1.150,,,1.150,4.80000,0.60000,-0.60000,"Mass",0.430000,0.050000,-0.050000,0.430000,6240.00000000,151.00000000,-156.00000000,33.000,5.000,-4.000,"K7 V",4.000,9.500,-2.800,0.120,0.100,-0.100,"[Fe/H]",-0.870,0.006,-0.006,4051.00,239.00,-239.00,4051.00,0.75,0.09,-0.09,0.75,0.69,0.01,-0.01,0.69,3.2000,,,3.2000,,,,,23.7324000,0.0228000,-0.0227000,9.8400000,0.0300000,-0.0300000,6.5040000,0.0180000,-0.0180000,1,2,0
"HIP 74890 b","b","HIP 74890","HD 135760","HIP 74890","TIC 148153804","Gaia DR2 6004107513791584512",1,1,0,1,0,0,0,0,0,0,0,0,0,2.100000,0.090000,-0.090000,2.100000,13.300,,,13.300,762.79200,95.34900,-95.34900,1.180,,,1.180,2.40000,0.30000,-0.30000,"Msini",0.070000,0.070000,-0.070000,0.070000,822.30000000,16.80000000,-16.80000000,,,,"K1 III",,,,0.200,0.130,-0.130,"[Fe/H]",1.215,0.059,-0.069,4850.00,100.00,-100.00,4850.00,5.77,0.53,-0.53,5.77,1.74,0.21,-0.21,1.74,2.2000,0.9000,-0.9000,2.2000,,,,,78.6562000,0.2560000,-0.2560000,7.0500000,0.0300000,-0.0300000,4.6390000,0.0160000,-0.0160000,1,1,0
"HD 160691 c","c","HD 160691","HD 160691","HIP 86796","TIC 362661163","Gaia DR2 5945941905576552064",1,4,0,1,0,0,0,0,0,0,0,0,0,4.170000,0.070000,-0.070000,4.170000,,,,,1398.44499,,,,,,,4.40000,,,"Mass",0.098500,0.062700,-0.062700,0.098500,3947.00000000,23.00000000,-23.00000000,60.000,,,"G3 IV-V",5.700,0.600,-0.600,0.280,0.030,-0.030,"[Fe/H]",0.278,0.010,-0.013,5773.00,,,5773.00,1.33,0.02,-0.02,1.33,1.13,0.02,-0.02,1.13,3.1000,0.5000,-0.5000,3.1000,,,,,15.5981000,0.0296000,-0.0294000,5.1200000,0.0300000,-0.0300000,3.6830000,0.2460000,-0.2460000,1,4,0
"HD 68988 b","b","HD 68988","HD 68988","HIP 40687","TIC 73312938","Gaia DR2 1090159839002347136",1,2,0,1,0,0,0,0,0,0,0,0,0,0.070000,0.000000,0.000000,0.070000,13.400,,,13.400,626.12510,31.78300,-31.78300,1.200,,,1.200,1.97000,0.10000,-0.10000,"Msini",0.120000,0.010000,-0.010000,0.120000,6.27711000,0.00021000,-0.00021000,,,,"G2 V",6.000,,,0.350,,,"[Fe/H]",0.222,0.002,-0.002,5932.00,23.00,-23.00,5932.00,1.19,0.02,-0.02,1.19,1.28,0.09,-0.09,1.28,2.8400,,,2.8400,,,,,60.8447000,0.1918000,-0.1906000,8.2000000,0.0300000,-0.0300000,6.7430000,0.0240000,-0.0240000,1,2,0
"HD 213240 b","b","HD 213240","HD 213240","HIP 111143","TIC 144068704","Gaia DR2 6517058790835773440",2,1,0,1,0,0,0,1,0,0,0,0,0,1.890000,0.030000,-0.030000,1.890000,12.800,,,12.800,1655.88600,476.74261,-155.73592,1.140,,,1.140,5.21000,1.50000,-0.49000,"Mass",0.420000,0.010000,-0.010000,0.420000,882.70001000,7.60000000,-7.60000000,63.000,17.000,-20.000,"G0/1 V",4.600,0.200,-0.200,0.150,,,"[Fe/H]",0.429,0.001,-0.001,5979.00,19.00,-19.00,5979.00,1.51,0.02,-0.02,1.51,1.57,0.12,-0.12,1.57,3.9700,0.6100,-0.6100,3.9700,,,,,40.8707000,0.0626000,-0.0625000,6.8100000,0.0300000,-0.0300000,5.3540000,0.0200000,-0.0200000,2,1,0
"HD 15337 c","c","HD 15337","HD 15337","HIP 11433","TIC 120896927","Gaia DR2 5068777809824976256",1,2,0,1,0,0,1,0,0,0,0,0,0,0.126800,0.003800,-0.003800,0.126800,2.390,0.120,-0.120,2.390,8.11000,1.82000,-1.69000,0.213,0.011,-0.011,0.213,0.02552,0.00573,-0.00532,"Mass",0.050000,0.060000,-0.040000,0.050000,17.17840000,0.00160000,-0.00160000,88.500,0.200,-0.100,"K1 V",5.100,0.800,-0.800,0.150,0.100,-0.100,"[Fe/H]",-0.326,0.021,-0.023,5125.00,50.00,-50.00,5125.00,0.86,0.02,-0.02,0.86,0.90,0.03,-0.03,0.90,1.0000,1.0000,-1.0000,1.0000,36.53,0.02,-0.02,36.53,44.8155000,0.0707000,-0.0704000,9.1000000,0.0300000,-0.0300000,7.0440000,0.0180000,-0.0180000,1,2,0
"TOI-2981 b","b","TOI-2981",,,"TIC 287145649","Gaia DR2 5458258092906639232",1,1,0,1,0,0,1,0,0,0,0,0,0,0.048000,0.002000,-0.002000,0.048000,13.400,0.420,-0.420,13.400,638.00000,33.00000,-33.00000,1.195,0.037,-0.037,1.195,2.00737,0.10383,-0.10383,"Mass",0.035000,,,0.035000,3.60150100,0.00000200,-0.00000200,87.980,0.790,-0.560,,4.500,2.900,-2.900,-0.110,0.100,-0.100,"[Fe/H]",0.116,0.011,-0.011,5940.00,75.00,-75.00,5940.00,1.08,0.03,-0.03,1.08,1.03,0.06,-0.06,1.03,3.4000,0.5000,-0.5000,3.4000,18.30,,,18.30,527.7890000,7.1880000,-7.0010000,13.3610000,0.1030000,-0.1030000,11.7800000,0.0240000,-0.0240000,1,1,0
"HATS-46 b","b","HATS-46",,,"TIC 281541555","Gaia DR2 4919771654727611008",1,1,0,1,0,0,1,0,0,0,0,0,0,0.053670,0.000530,-0.000530,0.053670,10.122,0.650,-0.504,10.122,54.98459,19.70546,-19.70546,0.903,0.058,-0.045,0.903,0.17300,0.06200,-0.06200,"Mass",0.559000,,,0.559000,4.74237290,0.00000490,-0.00000490,87.320,0.220,-0.310,,3.000,3.400,-2.100,-0.060,0.046,-0.046,"[Fe/H]",-0.230,0.049,-0.055,5495.00,69.00,-69.00,5495.00,0.85,0.04,-0.03,0.85,0.92,0.03,-0.03,0.92,0.9000,0.6600,-0.6600,0.9000,,,,,453.8080000,3.9270000,-3.8610000,13.7830000,0.1260000,-0.1260000,11.9650000,0.0240000,-0.0240000,1,1,0
"HIP 107773 b","b","HIP 107773","HD 207229","HIP 107773","TIC 406320735","Gaia DR2 6402076022332085760",1,1,0,1,0,0,0,0,0,0,0,0,0,0.720000,0.030000,-0.030000,0.720000,13.400,,,13.400,629.30340,66.74430,-66.74430,1.190,,,1.190,1.98000,0.21000,-0.21000,"Msini",0.090000,0.060000,-0.060000,0.090000,144.30000000,0.50000000,-0.50000000,,,,"K1 III",,,,0.030,0.100,-0.100,"[Fe/H]",1.870,0.050,-0.060,4945.00,100.00,-100.00,4945.00,11.60,1.40,-1.40,11.60,2.42,0.27,-0.27,2.42,2.0000,0.9000,-0.9000,2.0000,,,,,105.1800000,0.8110000,-0.8110000,5.6200000,0.0300000,-0.0300000,3.2920000,0.2500000,-0.2500000,1,1,0
"HIP 48714 b","b","HIP 48714",,"HIP 48714","TIC 287165117","Gaia DR2 1051547052218220160",1,1,0,1,0,0,0,0,0,0,0,0,0,0.112000,0.001000,-0.001000,0.112000,5.110,,,5.110,22.90000,2.80000,-2.80000,0.456,,,0.456,0.07205,0.00881,-0.00881,"Msini",0.500000,0.080000,-0.080000,0.500000,17.81800000,0.00200000,-0.00200000,,,,"M0.5 Ve",,,,,,,,-1.156,0.000,-0.000,4015.50,166.50,-128.40,4015.50,0.60,0.02,-0.02,0.60,0.58,0.02,-0.02,0.58,,,,,,,,,10.5298000,0.0043000,-0.0043000,8.9900000,0.1000000,-0.1000000,5.2000000,0.0240000,-0.0240000,1,1,0
"EPIC 249893012 b","b","EPIC 249893012",,,"TIC 432254760","Gaia DR2 6259263137059042048",1,3,0,1,0,0,1,0,0,0,0,0,0,0.047000,0.005000,-0.007000,0.047000,1.950,0.090,-0.080,1.950,8.75000,1.09000,-1.08000,0.174,0.008,-0.007,0.174,0.02753,0.00343,-0.00340,"Mass",0.060000,0.080000,-0.040000,0.060000,3.59510000,0.00030000,-0.00030000,86.140,2.600,-3.500,"G8 IV/V",9.000,0.500,-0.600,0.200,0.050,-0.050,"[Fe/H]",0.356,0.008,-0.008,5430.00,85.00,-85.00,5430.00,1.71,0.04,-0.04,1.71,1.05,0.05,-0.05,1.05,2.1000,0.5000,-0.5000,2.1000,41.00,10.00,-10.00,41.00,321.2960000,4.1890000,-4.0850000,11.4290000,0.0220000,-0.0220000,9.7140000,0.0230000,-0.0230000,1,3,0
"AU Mic b","b","AU Mic","HD 197481","HIP 102409","TIC 441420236","Gaia DR2 6794047652729201024",1,3,0,1,0,0,1,0,0,0,0,0,0,0.064900,0.001200,-0.001200,0.064900,3.957,0.146,-0.146,3.957,20.12000,1.57000,-1.72000,0.353,0.013,-0.013,0.353,0.06330,0.00494,-0.00541,"Mass",0.005770,0.001010,-0.001010,0.005770,8.46308000,0.00006000,-0.00006000,89.579,0.376,-0.376,"M1",0.020,0.003,-0.002,0.230,0.240,-0.300,"[Fe/H]",-1.038,0.049,-0.049,3678.00,90.00,-88.00,3678.00,0.74,0.02,-0.02,0.74,0.51,0.03,-0.03,0.51,8.5000,0.2000,-0.2000,8.5000,4.86,0.00,-0.00,4.86,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,1,3,0
"TOI-4438 b","b","TOI-4438",,,"TIC 22233480","Gaia DR2 4606416269652179328",1,1,0,1,0,0,1,0,0,0,0,0,0,0.053400,0.003700,-0.003700,0.053400,2.520,0.130,-0.130,2.520,5.40000,1.10000,-1.10000,0.225,0.012,-0.012,0.225,0.01699,0.00346,-0.00346,"Mass",0.140000,0.090000,-0.090000,0.140000,7.44628000,0.00000900,-0.00000900,89.340,0.390,-0.210,"M3.5 V",5.100,2.800,-2.800,-0.190,0.050,-0.050,"[Fe/H]",-1.768,0.002,-0.002,3422.00,81.00,-81.00,3422.00,0.37,0.02,-0.02,0.37,0.37,0.02,-0.02,0.37,2.0000,,,2.0000,68.00,6.00,-6.00,68.00,30.0346000,0.0233000,-0.0233000,13.6900000,0.0450000,-0.0450000,8.8690000,0.0180000,-0.0180000,1,1,0
"K2-124 b","b","K2-124",,,"TIC 197221381","Gaia DR2 686230534318440960",1,1,0,0,0,0,1,0,0,0,0,0,0,0.049000,0.002000,-0.002000,0.049000,2.900,0.100,-0.100,2.900,8.75000,,,0.259,0.009,-0.009,0.259,0.02750,,,"M-R relationship",0.080000,0.155190,-0.066630,0.080000,6.41365100,0.00003600,-0.00003100,89.030,0.320,-0.270,,,,,0.023,0.061,-0.106,"[Fe/H]",-1.659,0.094,-0.121,3570.00,63.00,-70.00,3570.00,0.39,0.02,-0.01,0.39,0.39,0.01,-0.04,0.39,,,,,,,,,140.3850000,1.3200000,-1.2960000,16.6920000,0.1830000,-0.1830000,11.9750000,0.0180000,-0.0180000,1,1,0
"K2-133 c","c","K2-133",,,"TIC 150096001","Gaia DR2 148080473682357376",1,4,0,0,0,0,1,0,0,0,0,0,0,0.043410,0.000340,-0.000350,0.043410,1.603,0.090,-0.088,1.603,3.20000,,,0.143,0.008,-0.008,0.143,0.01010,,,"M-R relationship",,,,,4.86784000,0.00012000,-0.00012000,88.210,0.110,-0.080,"M1.5 V",,,,,,,,-1.479,0.017,-0.017,3655.00,80.00,-80.00,3655.00,0.46,0.02,-0.02,0.46,0.46,0.01,-0.01,0.46,,,,,,,,,75.1703000,0.2012000,-0.2012000,14.0730000,0.0140000,-0.0140000,10.2790000,0.0180000,-0.0180000,1,4,0
"K2-133 e","e","K2-133",,,"TIC 150096001","Gaia DR2 148080473682357376",1,4,0,0,0,0,1,0,0,0,0,0,0,0.134600,0.001100,-0.001100,0.134600,1.730,0.140,-0.130,1.730,3.64000,,,0.154,0.012,-0.012,0.154,0.01150,,,"M-R relationship",,,,,26.58410000,0.00180000,-0.00170000,89.164,0.012,-0.010,"M1.5 V",,,,,,,,-1.479,0.017,-0.017,3655.00,80.00,-80.00,3655.00,0.46,0.02,-0.02,0.46,0.46,0.01,-0.01,0.46,,,,,,,,,75.1703000,0.2012000,-0.2012000,14.0730000,0.0140000,-0.0140000,10.2790000,0.0180000,-0.0180000,1,4,0
"HATS-12 b","b","HATS-12",,,"TIC 11270200","Gaia DR2 4083840142695803520",1,1,0,1,0,0,1,0,0,0,0,0,0,0.044100,0.000500,-0.000500,0.044100,7.760,0.470,-0.470,7.760,759.61370,27.65121,-27.65121,0.692,0.042,-0.042,0.692,2.39000,0.08700,-0.08700,"Mass",0.085000,,,0.085000,3.14270200,0.00005300,-0.00005300,82.270,0.640,-0.640,"F",2.360,0.310,-0.310,-0.100,0.050,-0.050,"[Fe/H]",0.863,0.081,-0.100,6357.00,91.00,-91.00,6357.00,1.17,0.07,-0.07,1.17,1.16,0.04,-0.04,1.16,6.5700,0.5000,-0.5000,6.5700,,,,,746.1380000,,,12.8310000,0.0570000,-0.0570000,11.3910000,0.0230000,-0.0230000,1,1,0
"K2-166 b","b","K2-166",,,"TIC 377171980","Gaia DR2 3701015375282968064",1,2,0,0,0,0,1,0,0,0,0,0,0,0.085800,0.001000,-0.000900,0.085800,2.190,0.200,-0.190,2.190,5.43000,,,0.195,0.018,-0.017,0.195,0.01710,,,"M-R relationship",,,,,8.52695000,0.00362000,-0.00370000,87.429,1.850,-3.897,,,,,0.090,0.060,-0.060,"[Fe/H]",0.458,0.012,-0.013,5960.00,52.00,-53.00,5960.00,1.61,0.04,-0.04,1.61,1.16,0.05,-0.03,1.16,,,,,,,,,476.8820000,9.6920000,-9.3210000,12.0810000,0.0460000,-0.0460000,10.6370000,0.0220000,-0.0220000,1,2,0
"K2-18 c","c","K2-18",,,"TIC 388804061","Gaia DR2 3910747531814692736",1,2,0,1,0,0,0,0,0,0,0,0,0,0.060000,0.003000,-0.003000,0.060000,2.650,,,2.650,7.51000,1.33000,-1.33000,0.236,,,0.236,0.02363,0.00418,-0.00418,"Msini",0.470000,,,0.470000,8.96200000,0.00800000,-0.00800000,,,,"M2.5 V",,,,0.090,0.090,-0.090,"[Fe/H]",-1.597,0.035,-0.038,3457.00,39.00,-39.00,3457.00,0.41,0.04,-0.04,0.41,0.36,0.05,-0.05,0.36,,,,,38.60,0.50,-0.50,38.60,38.0266000,0.0795500,-0.0795500,13.4770000,0.0420000,-0.0420000,8.8990000,0.0190000,-0.0190000,1,2,0
"K2-181 b","b","K2-181",,,"TIC 366528389","Gaia DR2 600874445926411264",1,1,0,0,0,0,1,0,0,0,0,0,0,0.070600,0.001000,-0.001000,0.070600,2.840,0.200,-0.200,2.840,8.45000,,,0.253,0.018,-0.018,0.253,0.02660,,,"M-R relationship",,,,,6.89425600,0.00070400,-0.00072200,88.616,0.983,-1.808,,,,,0.230,0.060,-0.060,"[Fe/H]",-0.013,0.014,-0.022,5608.00,91.00,-91.00,5608.00,1.07,0.02,-0.02,1.07,0.99,0.04,-0.04,0.99,,,,,,,,,360.9110000,5.3510000,-5.2010000,12.6690000,0.1030000,-0.1030000,11.0260000,0.0210000,-0.0210000,1,1,0
"K2-182 b","b","K2-182",,,"TIC 366631954","Gaia DR2 601480723509077632",1,1,0,0,0,0,1,0,0,0,0,0,0,0.052600,0.000300,-0.000300,0.052600,2.690,0.070,-0.050,2.690,20.00000,5.00000,-5.00000,0.240,0.006,-0.004,0.240,0.06293,0.01573,-0.01573,"Mass",0.040000,0.190000,-0.030000,0.040000,4.73696830,0.00000230,-0.00000230,89.400,0.600,-0.600,,2.070,2.140,-1.360,0.120,0.060,-0.060,"[Fe/H]",-0.408,0.015,-0.014,5170.00,100.00,-100.00,5170.00,0.79,0.01,-0.01,0.79,0.86,0.02,-0.02,0.86,,,,,,,,,154.8300000,1.2560000,-1.2360000,11.8330000,0.0690000,-0.0690000,9.9130000,0.0230000,-0.0230000,1,1,0
"K2-183 b","b","K2-183",,,"TIC 60256211","Gaia DR2 652007410271734912",1,3,0,0,0,0,1,0,0,0,0,0,0,,,,,1.100,0.100,-0.080,1.100,1.37000,,,0.098,0.009,-0.007,0.098,0.00430,,,"M-R relationship",,,,,0.46928500,0.00006400,-0.00006400,90.100,20.000,-10.000,,,,,0.090,0.080,-0.080,"[Fe/H]",-0.138,0.008,-0.009,5482.00,50.00,-50.00,5482.00,0.87,0.04,-0.04,0.87,0.94,0.02,-0.02,0.94,,,,,,,,,329.0410000,4.2930000,-4.1850000,12.8670000,0.0800000,-0.0800000,11.0210000,0.0200000,-0.0200000,1,3,0
"K2-19 b","b","K2-19",,,"TIC 281885301","Gaia DR2 3798833775141351552",1,3,0,1,0,0,1,0,0,0,0,0,0,0.074000,0.001200,-0.001200,0.074000,7.000,0.200,-0.200,7.000,32.40000,1.70000,-1.70000,0.624,0.018,-0.018,0.624,0.10194,0.00535,-0.00535,"Mass",0.200000,0.030000,-0.030000,0.200000,7.92220000,0.00010000,-0.00010000,91.500,0.100,-0.100,"G9 V",8.000,,,0.060,0.050,-0.050,"[Fe/H]",-0.292,0.019,-0.021,5322.00,100.00,-100.00,5322.00,0.82,0.03,-0.03,0.82,0.88,0.03,-0.03,0.88,3.0000,0.5000,-0.5000,3.0000,20.54,0.30,-0.30,20.54,289.8270000,5.6800000,-5.4690000,13.0240000,0.0920000,-0.0920000,11.1610000,0.0260000,-0.0260000,1,3,0
"HIP 116454 b","b","HIP 116454",,"HIP 116454","TIC 422618449","Gaia DR2 2645940376800212096",2,1,0,1,0,0,1,0,0,0,0,0,0,0.079200,0.001100,-0.001000,0.079200,2.469,0.100,-0.091,2.469,9.70000,1.20000,-1.20000,0.220,0.009,-0.008,0.220,0.03052,0.00378,-0.00378,"Mass",0.215000,0.056000,-0.094000,0.215000,9.10041570,0.00000410,-0.00000450,88.910,0.680,-0.450,"K1",5.500,5.000,-3.900,0.000,0.045,-0.039,"[Fe/H]",-0.473,0.013,-0.013,5048.00,79.00,-78.00,5048.00,0.76,0.02,-0.02,0.76,0.80,0.03,-0.03,0.80,2.0000,,,2.0000,,,,,62.4491000,0.1831000,-0.1820000,10.1900000,0.0300000,-0.0300000,8.0290000,0.0210000,-0.0210000,2,1,0
"HD 99706 c","c","HD 99706","HD 99706","HIP 55994","TIC 148680230","Gaia DR2 784227772318969472",1,2,0,1,0,0,0,0,0,0,0,0,0,,,,,12.800,,,12.800,1808.45270,454.49690,-305.11680,1.140,,,1.140,5.69000,1.43000,-0.96000,"Msini",0.411000,0.231000,-0.178000,0.411000,1278.00000000,151.00000000,-198.00000000,,,,"K0",2.100,0.400,-0.400,0.020,0.030,-0.030,"[Fe/H]",1.302,0.004,-0.005,4862.00,25.00,-25.00,4862.00,5.40,0.10,-0.10,5.40,1.72,0.12,-0.12,1.72,0.8900,0.5000,-0.5000,0.8900,,,,,146.6000000,1.1220000,-1.1220000,7.6500000,0.0300000,-0.0300000,5.3350000,0.0160000,-0.0160000,1,2,0
