hostname,Prot,e_Prot,db
GJ 849,40.45,0.19,nasa
K2-77,19.8,2.9,nasa
TOI-237,102.0,22.0,nasa
TOI-1789,15.7,,nasa
K2-284,8.88,0.4,nasa
Qatar-2,18.0,0.2,nasa
WASP-92,10.07,2.58,nasa
GJ 900 A,11.9,,nasa
GJ 436,44.09,0.08,nasa
HATS-72,48.73,0.02,nasa
K2-131,9.19,0.07,nasa
HAT-P-22,28.7,0.4,nasa
TOI-1199,23.0,5.0,nasa
Qatar-7,5.9,0.2,nasa
HIP 65 A,13.2,1.9,nasa
Proxima Cen,90.0,4.0,nasa
GJ 338 B,16.61,0.04,nasa
HD 83443,35.3,,nasa
HD 231701,12.2,,nasa
HD 25171,22.0,,nasa
TOI-262,67.0,1.0,nasa
HD 216437,30.0,,nasa
K2-25,1.88,0.01,nasa
K2-101,10.6,0.6,nasa
EPIC 211822797,14.6,1.1,nasa
TOI-332,35.6,4.6,nasa
LSPM J2116+0234,42.0,2.0,nasa
HATS-71,41.72,0.14,nasa
TOI-3714,23.3,0.3,nasa
HD 284149 A,1.05,0.01,nasa
WASP-46,16.0,1.0,nasa
HD 93963 A,12.8,1.8,nasa
TOI-1695,47.7,2.2,nasa
HD 190007,28.63,0.05,nasa
HD 47366,86.0,,nasa
TOI-778,2.58,0.1,nasa
tau Boo,4.0,,nasa
eps Eri,11.3,,nasa
GJ 4276,64.3,1.2,nasa
TOI-444,13.0,3.0,nasa
CoRoT-18,5.4,0.4,nasa
TOI-244,53.3,1.2,nasa
HD 6860,7900.0,,nasa
GJ 724,57.0,1.0,nasa
HD 147379,28.8,6.1,nasa
DS Tuc A,2.85,0.05,nasa
GJ 1252,64.0,4.0,nasa
TOI-470,18.28,3.99,nasa
TOI-2046,3.97,0.02,nasa
TOI-2136,75.0,5.0,nasa
HD 3651,48.0,,nasa
HD 38801,47.0,,nasa
HD 50499,22.4,1.0,nasa
HD 51608,40.0,4.0,nasa
HD 102195,12.3,0.2,nasa
HD 147513,8.5,,nasa
HD 114729,34.0,,nasa
HD 20003,38.9,4.0,nasa
HD 170469,13.0,,nasa
HD 45364,32.0,,nasa
HN Lib,96.0,2.0,nasa
Kepler-78,12.92,0.12,nasa
WASP-5,16.2,0.4,nasa
TAP 26,0.71,,nasa
HD 63765,23.0,,nasa
WASP-182,30.0,2.0,nasa
51 Peg,30.0,,nasa
ups And,12.0,,nasa
HD 191806,20.6,6.9,nasa
GJ 536,45.39,1.33,nasa
TYC 3667-1280-1,99.0,19.0,nasa
HD 214823,17.5,4.5,nasa
GJ 9689,39.97,0.39,nasa
GJ 251,122.1,2.2,nasa
HD 98649,27.7,1.2,nasa
HD 27631,31.0,,nasa
HD 96992,198.0,92.0,nasa
HD 235088,12.0,0.4,nasa
HD 187085,21.0,,nasa
Gl 49,18.86,0.1,nasa
TYC 3318-01333-1,198.0,126.0,nasa
BD+48 740,746.0,2477.0,nasa
HD 158996,627.0,,nasa
USco1556 A,4.67,,nasa
CoRoT-4,8.9,1.1,nasa
Wolf 327,44.4,0.4,nasa
HD 126525,40.0,,nasa
TYC 0434-04538-1,169.0,49.0,nasa
GJ 685,18.15,0.16,nasa
GJ 3779,95.0,5.0,nasa
HD 45184,21.5,3.0,nasa
HD 25723,190.21,73.17,nasa
CD Cet,126.2,,nasa
17 Sco,329.49,92.4,nasa
V830 Tau,2.74,,nasa
HD 22496,30.0,38.0,nasa
GJ 740,35.56,0.07,nasa
TOI-1634,77.0,26.0,nasa
BD+60 1417,7.5,0.86,nasa
Wolf 1069,160.0,10.0,nasa
HD 94771,49.0,6.0,nasa
HD 88986,25.0,8.0,nasa
TOI-1107,6.2,0.3,nasa
