,pl-name,pl-letter,hostname,hd-name,hip-name,tic-id,gaia-id,pl-orbsmax,pl-orbsmaxerr1,pl-orbsmaxerr2,pl-rade,pl-radeerr1,pl-radeerr2,pl-bmasse,pl-bmasseerr1,pl-bmasseerr2,pl-radj,pl-radjerr1,pl-radjerr2,pl-bmassj,pl-bmassjerr1,pl-bmassjerr2,pl-bmassprov,pl-orbeccen,pl-orbeccenerr1,pl-orbeccenerr2,pl-orbper,pl-orbpererr1,pl-orbpererr2,st-spectype,st-age,st-ageerr1,st-ageerr2,st-met,st-meterr1,st-meterr2,st-metratio,st-lum,st-lumerr1,st-lumerr2,st-teff,st-tefferr1,st-tefferr2,st-rad,st-raderr1,st-raderr2,st-mass,st-masserr1,st-masserr2,st-vsin,st-vsinerr1,st-vsinerr2,st-rotp,st-rotperr1,st-rotperr2,sy-dist,sy-disterr1,sy-disterr2,sy-vmag,sy-vmagerr1,sy-vmagerr2,sy-kmag,sy-kmagerr1,sy-kmagerr2,sy-snum,sy-pnum,sy-mnum,KIC,koi-name,kepler-name,KOI,TIC,GAIA,e_pl_orbsmax,e_pl_rade,e_pl_bmasse,e_pl_radj,e_pl_bmassj,e_pl_orbeccen,e_pl_orbper,e_st_age,e_st_met,e_st_lum,e_st_teff,e_st_rad,e_st_mass,e_st_vsin,e_st_rotp,e_sy_dist,e_sy_vmag,e_sy_kmag,st-flux,st-spectype-ltr,st-spectype-num,st-lumiclass,st-spectype-val,st-spectype-str
1139,TOI-2046 b,b,TOI-2046,,,TIC 468574941,Gaia DR2 538759464958942208,,,,16.141,1.233,-1.233,731.00534,88.99195,-88.99195,1.44,0.11,-0.11,2.3,0.28,-0.28,Mass,,,,1.4971842,3.1e-06,-3.3e-06,F8 V,0.45,0.43,-0.021,-0.06,0.15,-0.15,[Fe/H],0.28,0.02,-0.027,6250.0,140.0,-140.0,1.21,0.07,-0.07,1.13,0.19,-0.19,9.8,1.6,-1.6,3.97,0.02,-0.02,289.668,2.225,-2.191,11.552,0.018,-0.018,10.094,0.023,-0.023,1,1,0,-1,,,-1,468574941,5.387594649589422e+17,,1.233,88.99195,0.11,0.28,,3.3e-06,0.43,0.15,0.027,140.0,0.07,0.19,1.6,0.02,2.225,0.018,0.023,-16.371857776787927,F,8.0, V,38.0,F8  V
1140,HD 178911 B b,b,HD 178911 B,HD 178911 B,HIP 94075,TIC 42812945,Gaia DR2 2044341077844180736,0.34,0.01,-0.01,12.6,,,2552.1749,797.7533,-797.7533,1.12,,,8.03,2.51,-2.51,Msini,0.11,0.0,0.0,71.484,0.02,-0.02,G5,,,,0.24,,,[Fe/H],-0.043,0.001,-0.001,5588.0,115.0,-115.0,1.08,0.05,-0.05,1.24,0.58,-0.58,1.9,,,,,,40.9727,0.0464,-0.0462,7.97,0.03,-0.03,6.375,0.023,-0.023,3,1,0,-1,,,-1,42812945,2.0443410778441807e+18,0.01,,797.7533,,2.51,0.0,0.02,,,0.001,115.0,0.05,0.58,,,0.0464,0.03,0.023,-14.996045902896478,G,5.0,,25.0,G5 
1141,HD 206893 c,c,HD 206893,HD 206893,,TIC 155782207,Gaia DR2 6843672087120107264,3.53,0.08,-0.06,16.365,2.018,-0.673,4036.42077,381.39409,-317.82841,1.46,0.18,-0.06,12.7,1.2,-1.0,Mass,0.41,0.03,-0.03,2090.0,44.0,-37.0,F5 V,0.155,0.015,-0.015,,,,,0.456,0.016,-0.018,6500.0,100.0,-100.0,1.31,0.05,-0.06,1.32,0.07,-0.05,,,,,,,40.7583,0.1072,-0.1066,6.68804,0.023,-0.023,5.593,0.021,-0.021,1,2,0,-1,,,-1,155782207,6.843672087120108e+18,0.08,2.018,381.39409,0.18,1.2,0.03,44.0,0.015,,0.018,100.0,0.06,0.07,,,0.1072,0.023,0.021,-14.492488858421188,F,5.0, V,35.0,F5  V
1142,HD 181720 b,b,HD 181720,HD 181720,HIP 95262,TIC 112243062,Gaia DR2 6745589980571162752,1.85,0.04,-0.04,14.0,,,127.132,19.0698,-19.0698,1.25,,,0.4,0.06,-0.06,Msini,0.26,0.06,-0.06,956.0,14.0,-14.0,G1 V,,,,-0.62,,,[Fe/H],0.288,,,5736.0,37.0,-37.0,1.5,0.07,-0.07,1.03,0.2,-0.2,1.5,,,,,,60.2046,0.2433,-0.2414,7.84,0.03,-0.03,6.294,0.034,-0.034,1,1,0,-1,,,-1,112243062,6.745589980571163e+18,0.04,,19.0698,,0.06,0.06,14.0,,,,37.0,0.07,0.2,,,0.2433,0.03,0.034,-14.999316085796416,G,1.0, V,21.0,G1  V
1143,HD 192699 b,b,HD 192699,HD 192699,HIP 99894,TIC 399334674,Gaia DR2 4246124829130366848,1.063,0.049,-0.049,13.4,,,666.17168,29.55819,-29.55819,1.19,,,2.096,0.093,-0.093,Msini,0.082,0.041,-0.041,340.94,0.92,-0.92,G8 IV,1.8,1.0,-1.0,-0.15,0.04,-0.04,[Fe/H],1.009,0.004,-0.004,5041.0,,,4.41,,,1.38,,,1.9,0.5,-0.5,,,,71.8627,0.2667,-0.2667,6.45591,0.023,-0.023,4.366,0.026,-0.026,1,1,0,-1,,,-1,399334674,4.246124829130367e+18,0.049,,29.55819,,0.093,0.041,0.92,1.0,0.04,0.004,,,,0.5,,0.2667,0.023,0.026,-14.43206379589943,G,8.0, IV,28.0,G8  IV
1144,HD 20782 b,b,HD 20782,HD 20782,HIP 15527,TIC 144503325,Gaia DR2 5060104351007433472,1.3649,0.0466,-0.0495,13.6,,,472.83,33.22,-33.88,1.21,,,1.4878,0.1045,-0.1066,Msini,0.95,0.001,-0.001,597.0643,0.0256,-0.0256,G1.5 V,5.53,1.43,-1.43,-0.054,0.004,-0.004,[M/H],0.107,0.009,-0.014,5782.13,76.96,-127.47,1.13,0.05,-0.04,1.04,0.13,-0.11,1.7,0.5,-0.5,,,,35.9864,0.0414,-0.0413,7.36,0.03,-0.03,5.827,0.016,-0.016,2,5,0,-1,,,-1,144503325,5.060104351007434e+18,0.0495,,33.88,,0.1066,0.001,0.0256,1.43,0.004,0.014,127.47,0.05,0.13,0.5,,0.0414,0.03,0.016,-14.733333541160734,G,1.5, V,21.5,G1.5  V
1145,HD 219415 b,b,HD 219415,HD 219415,,TIC 323819453,Gaia DR2 2009255593080688640,3.2,,,13.8,,,317.83,,,1.23,,,1.0,,,Msini,0.4,0.09,-0.09,2093.3,32.7,-32.7,K0 III,7.233,2.295,-2.295,-0.04,0.09,-0.09,[Fe/H],0.62,0.15,-0.15,4820.0,20.0,-20.0,2.9,0.4,-0.4,1.0,0.1,-0.1,,,,,,,165.184,0.895,-0.895,8.909,0.003,-0.003,6.421,0.02,-0.02,1,1,0,-1,,,-1,323819453,2.009255593080689e+18,,,,,,0.09,32.7,2.295,0.09,0.15,20.0,0.4,0.1,,,0.895,0.003,0.02,-15.54399269228663,K,0.0, III,10.0,K0  III
1146,HD 37124 b,b,HD 37124,HD 37124,HIP 26381,TIC 19631691,Gaia DR2 3402798414192387328,0.53364,0.0002,-0.0002,14.0,,,214.53525,5.40311,-5.40311,1.25,,,0.675,0.017,-0.017,Msini,0.054,0.028,-0.028,154.378,0.089,-0.089,G4 V,4.0,2.0,-2.0,-0.44,,,[Fe/H],-0.112,0.001,-0.001,5698.64,48.74,-48.74,0.95,0.02,-0.02,0.85,,,1.2,0.5,-0.5,,,,31.6634,0.076,-0.0757,7.68,0.03,-0.03,5.952,0.016,-0.016,1,3,0,-1,,,-1,19631691,3.402798414192387e+18,0.0002,,5.40311,,0.017,0.028,0.089,2.0,,0.001,48.74,0.02,,0.5,,0.076,0.03,0.016,-14.841171829938704,G,4.0, V,24.0,G4  V
1147,HD 37124 c,c,HD 37124,HD 37124,HIP 26381,TIC 19631691,Gaia DR2 3402798414192387328,1.71,0.0065,-0.0065,14.1,,,207.22516,16.52716,-16.52716,1.25,,,0.652,0.052,-0.052,Msini,0.125,0.055,-0.055,885.5,5.1,-5.1,G4 V,4.0,2.0,-2.0,-0.44,,,[Fe/H],-0.112,0.001,-0.001,5698.64,48.74,-48.74,0.95,0.02,-0.02,0.85,,,1.2,0.5,-0.5,,,,31.6634,0.076,-0.0757,7.68,0.03,-0.03,5.952,0.016,-0.016,1,3,0,-1,,,-1,19631691,3.402798414192387e+18,0.0065,,16.52716,,0.052,0.055,5.1,2.0,,0.001,48.74,0.02,,0.5,,0.076,0.03,0.016,-14.841171829938704,G,4.0, V,24.0,G4  V
1148,HD 37124 d,d,HD 37124,HD 37124,HIP 26381,TIC 19631691,Gaia DR2 3402798414192387328,2.807,0.038,-0.038,14.0,,,221.20968,18.75197,-18.75197,1.25,,,0.696,0.059,-0.059,Msini,0.16,0.14,-0.14,1862.0,38.0,-38.0,G4 V,4.0,2.0,-2.0,-0.44,,,[Fe/H],-0.112,0.001,-0.001,5698.64,48.74,-48.74,0.95,0.02,-0.02,0.85,,,1.2,0.5,-0.5,,,,31.6634,0.076,-0.0757,7.68,0.03,-0.03,5.952,0.016,-0.016,1,3,0,-1,,,-1,19631691,3.402798414192387e+18,0.038,,18.75197,,0.059,0.14,38.0,2.0,,0.001,48.74,0.02,,0.5,,0.076,0.03,0.016,-14.841171829938704,G,4.0, V,24.0,G4  V
1149,HD 216770 b,b,HD 216770,HD 216770,HIP 113238,TIC 47526465,Gaia DR2 6610107504955838336,0.46,0.01,-0.01,14.1,,,181.1631,15.8915,-15.8915,1.26,,,0.57,0.05,-0.05,Msini,0.37,0.06,-0.06,118.45,0.55,-0.55,G9 V CN+1,3.1,,,0.27,,,[Fe/H],-0.1,,,5399.0,18.0,-18.0,0.93,0.02,-0.02,0.74,0.07,-0.07,1.4,,,,,,36.6625,0.0984,-0.0979,8.11,0.03,-0.03,6.311,0.021,-0.021,1,1,0,-1,,,-1,47526465,6.610107504955838e+18,0.01,,15.8915,,0.05,0.06,0.55,,,,18.0,0.02,0.07,,,0.0984,0.03,0.021,-14.956500887208334,G,9.0, V,29.0,G9  V
1150,HD 38801 b,b,HD 38801,HD 38801,HIP 27384,TIC 66650754,Gaia DR2 3012677738601895168,1.623,0.047,-0.049,12.5,,,3082.31534,182.11659,-186.56621,1.11,,,9.698,0.573,-0.587,Msini,0.017,0.013,-0.011,685.25,0.85,-0.85,K0,6.072,1.835,-1.835,0.25,0.03,-0.03,[Fe/H],0.659,0.043,-0.047,5338.0,59.0,-59.0,2.03,0.29,-0.29,1.21,0.11,-0.11,1.87,0.3,-0.3,47.0,,,91.4349,0.3468,-0.3468,8.26,0.03,-0.03,6.279,0.02,-0.02,1,1,0,-1,,,-1,66650754,3.012677738601895e+18,0.049,,186.56621,,0.587,0.013,0.85,1.835,0.03,0.047,59.0,0.29,0.11,0.3,,0.3468,0.03,0.02,-14.991280723732004,K,0.0,,10.0,K0 
1151,HD 4203 c,c,HD 4203,HD 4203,HIP 3502,TIC 434225151,Gaia DR2 2801366000472903040,6.95,1.93,-0.56,13.3,,,689.66,165.26,-165.26,1.19,,,2.17,0.52,-0.52,Msini,0.24,0.13,-0.13,6700.0,4500.0,-4500.0,G5,8.52,1.4,-1.56,0.34,0.1,-0.1,[M/H],0.293,0.011,-0.01,5582.0,133.18,-87.0,1.5,0.06,-0.08,0.99,0.12,-0.13,1.2,0.5,-0.5,,,,81.3795,0.3608,-0.3577,8.7,0.03,-0.03,7.047,0.029,-0.029,1,2,0,-1,,,-1,434225151,2.801366000472903e+18,1.93,,165.26,,0.52,0.13,4500.0,1.56,0.1,0.011,133.18,0.08,0.13,0.5,,0.3608,0.03,0.029,-15.256086769625,G,5.0,,25.0,G5 
1152,HD 43691 b,b,HD 43691,HD 43691,HIP 30057,TIC 258444495,Gaia DR2 959971546241168384,0.238,0.015,-0.015,13.2,,,810.4665,108.0622,-108.0622,1.18,,,2.55,0.34,-0.34,Msini,0.0796,0.0067,-0.0067,36.9987,0.0011,-0.0011,G0,2.39,0.37,-0.37,0.33,,,[Fe/H],0.5,0.06,-0.06,6093.0,,,1.6,0.11,-0.11,1.32,0.25,-0.25,4.7,,,,,,85.6009,0.3684,-0.3652,8.03,0.03,-0.03,6.7,0.023,-0.023,3,1,0,-1,,,-1,258444495,9.599715462411684e+17,0.015,,108.0622,,0.34,0.0067,0.0011,0.37,,0.06,,0.11,0.25,,,0.3684,0.03,0.023,-15.093013396898014,G,0.0,,20.0,G0 
1153,HD 47186 c,c,HD 47186,HD 47186,HIP 31540,TIC 101145648,Gaia DR2 2919760965879179136,2.395,,,13.0,,,111.42,,,1.16,,,0.35061,,,Msini,0.249,0.073,-0.073,1353.6,57.1,-57.1,G6 V,6.5,3.5,-2.0,0.23,0.02,-0.02,[Fe/H],0.043,0.001,-0.001,5657.0,9.0,-9.0,1.08,0.01,-0.01,0.96,0.05,-0.05,2.2,,,,,,37.4574,0.0463,-0.0461,7.63,0.03,-0.03,6.005,0.027,-0.027,1,2,0,-1,,,-1,101145648,2.91976096587918e+18,,,,,,0.073,57.1,3.5,0.02,0.001,9.0,0.01,0.05,,,0.0463,0.03,0.027,-14.832131992743564,G,6.0, V,26.0,G6  V
1154,HD 41004 A b,b,HD 41004 A,HD 41004 A,HIP 28393 A,TIC 219152539,,,,,13.2,,,807.25,235.18,-235.18,1.18,,,2.54,0.74,-0.74,Msini,0.74,0.2,-0.2,963.0,38.0,-38.0,K1/K2 V,1.0,6.0,-1.0,0.23,0.04,-0.04,[Fe/H],-0.293,0.067,-0.067,5310.0,65.0,-65.0,0.85,0.07,-0.07,0.95,0.1,-0.1,2.0,,,,,,36.69117,,,8.65,0.03,-0.03,6.428,0.036,-0.036,2,2,0,-1,,,-1,219152539,,,,235.18,,0.74,0.2,38.0,6.0,0.04,0.067,65.0,0.07,0.1,,,,0.03,0.036,-15.150179856559433,K,1.0,,11.0,K1 
1155,HD 42012 b,b,HD 42012,HD 42012,HIP 29242,TIC 97724459,Gaia DR2 3452333199728743936,1.67,0.05,-0.06,13.5,,,508.528,31.783,-31.783,1.21,,,1.6,0.1,-0.1,Msini,0.2,,,857.5,6.2,-6.3,K0,4.1,3.6,-3.6,-0.09,0.08,-0.08,[Fe/H],-0.27,0.001,-0.001,5405.0,45.0,-45.0,0.82,0.08,-0.08,0.83,0.08,-0.08,2.2,1.0,-1.0,,,,36.7984,0.0932,-0.0927,8.44,0.03,-0.03,6.584,0.017,-0.017,1,1,0,-1,,,-1,97724459,3.452333199728744e+18,0.06,,31.783,,0.1,,6.3,3.6,0.08,0.001,45.0,0.08,0.08,1.0,,0.0932,0.03,0.017,-15.129714607019597,K,0.0,,10.0,K0 
1156,HD 13908 c,c,HD 13908,HD 13908,HIP 10743,TIC 12906712,Gaia DR2 515574853541230720,2.03,0.04,-0.04,12.8,,,1630.4,79.45,-79.45,1.15,,,5.13,0.25,-0.25,Msini,0.12,0.02,-0.02,931.0,17.0,-17.0,F8 V,2.9,0.4,-0.4,0.01,0.04,-0.04,[Fe/H],0.602,,,6255.0,66.0,-66.0,1.67,0.1,-0.1,1.29,0.04,-0.04,4.2,0.5,-0.5,,,,79.5515,0.2196,-0.2185,7.52,0.03,-0.03,6.21,0.021,-0.021,1,2,0,-1,,,-1,12906712,5.155748535412307e+17,0.04,,79.45,,0.25,0.02,17.0,0.4,0.04,,66.0,0.1,0.04,0.5,,0.2196,0.03,0.021,-14.927353481212183,F,8.0, V,38.0,F8  V
1157,HD 50499 c,c,HD 50499,HD 50499,HIP 32970,TIC 53175558,Gaia DR2 5579783574073770112,9.02,1.73,-0.33,13.2,,,931.2419,232.0159,-57.2094,1.17,,,2.93,0.73,-0.18,Msini,0.0,0.14,-0.02,8619.9,2622.495,-405.4275,G1 V,2.4,0.56,-0.56,0.38,0.03,-0.03,[Fe/H],0.376,0.001,-0.001,6099.0,43.0,-43.0,1.42,0.02,-0.02,1.31,0.07,-0.07,4.313,,,22.4,1.0,-1.0,46.2845,0.0557,-0.0555,7.21,0.03,-0.03,5.836,0.016,-0.016,1,2,0,-1,,,-1,53175558,5.57978357407377e+18,1.73,,232.0159,,0.73,0.14,2622.495,0.56,0.03,0.001,43.0,0.02,0.07,,1.0,0.0557,0.03,0.016,-14.68292788826077,G,1.0, V,21.0,G1  V
1158,HD 65216 b,b,HD 65216,HD 65216,HIP 38558,TIC 382625142,Gaia DR2 5287961677550103424,1.301,0.02,-0.02,13.6,,,411.58985,19.70546,-19.70546,1.22,,,1.295,0.062,-0.062,Msini,0.27,0.02,-0.02,577.6,1.328,-1.328,G5 V,4.0,5.0,-4.0,-0.168,0.007,-0.007,[M/H],-0.15,0.009,-0.011,5612.0,,,0.88,0.01,-0.01,0.87,,,1.0,,,,,,35.1205,0.0395,-0.0394,7.97,0.03,-0.03,6.329,0.027,-0.027,3,2,0,-1,,,-1,382625142,5.287961677550104e+18,0.02,,19.70546,,0.062,0.02,1.328,5.0,0.007,0.011,,0.01,,,,0.0395,0.03,0.027,-14.96917811562722,G,5.0, V,25.0,G5  V
1159,HD 52265 b,b,HD 52265,HD 52265,HIP 33719,TIC 268565917,Gaia DR2 3101382419728401408,0.52,0.009,-0.009,13.7,,,384.5743,15.8915,-15.8915,1.22,,,1.21,0.05,-0.05,Msini,0.27,0.02,-0.02,119.27,0.02,-0.02,G0V,3.5,,,0.21,0.06,-0.06,[Fe/H],0.297,,,6136.0,,,1.32,0.02,-0.02,1.2,,,5.2,1.0,-1.0,,,,29.9803,0.0424,-0.0423,6.29351,0.023,-0.023,4.953,0.017,-0.017,1,1,0,-1,,,-1,268565917,3.1013824197284014e+18,0.009,,15.8915,,0.05,0.02,0.02,,0.06,,,0.02,,1.0,,0.0424,0.023,0.017,-14.384728683896244,G,0.0,,20.0,G0 
1160,HD 5319 b,b,HD 5319,HD 5319,HIP 4297,TIC 344627954,Gaia DR2 2537319343919089024,1.57,0.11,-0.11,13.5,,,494.54348,13.34886,-13.34886,1.21,,,1.556,0.042,-0.042,Msini,0.092,0.025,-0.025,637.1,1.4,-1.4,G5,3.1,0.6,-0.6,0.15,0.03,-0.03,[Fe/H],0.15,0.078,-0.096,4871.0,,,4.06,,,1.27,,,3.31,0.5,-0.5,,,,121.405,0.7075,-0.7075,8.05,0.03,-0.03,5.699,0.02,-0.02,1,2,0,-1,,,-1,344627954,2.537319343919089e+18,0.11,,13.34886,,0.042,0.025,1.4,0.6,0.03,0.096,,,,0.5,,0.7075,0.03,0.02,-15.746529881818217,G,5.0,,25.0,G5 
