,pl-name,pl-letter,hostname,hd-name,hip-name,tic-id,gaia-id,pl-orbsmax,pl-orbsmaxerr1,pl-orbsmaxerr2,pl-rade,pl-radeerr1,pl-radeerr2,pl-bmasse,pl-bmasseerr1,pl-bmasseerr2,pl-radj,pl-radjerr1,pl-radjerr2,pl-bmassj,pl-bmassjerr1,pl-bmassjerr2,pl-bmassprov,pl-orbeccen,pl-orbeccenerr1,pl-orbeccenerr2,pl-orbper,pl-orbpererr1,pl-orbpererr2,st-spectype,st-age,st-ageerr1,st-ageerr2,st-met,st-meterr1,st-meterr2,st-metratio,st-lum,st-lumerr1,st-lumerr2,st-teff,st-tefferr1,st-tefferr2,st-rad,st-raderr1,st-raderr2,st-mass,st-masserr1,st-masserr2,st-vsin,st-vsinerr1,st-vsinerr2,st-rotp,st-rotperr1,st-rotperr2,sy-dist,sy-disterr1,sy-disterr2,sy-vmag,sy-vmagerr1,sy-vmagerr2,sy-kmag,sy-kmagerr1,sy-kmagerr2,sy-snum,sy-pnum,sy-mnum,KIC,koi-name,kepler-name,KOI,TIC,GAIA,e_pl_orbsmax,e_pl_rade,e_pl_bmasse,e_pl_radj,e_pl_bmassj,e_pl_orbeccen,e_pl_orbper,e_st_age,e_st_met,e_st_lum,e_st_teff,e_st_rad,e_st_mass,e_st_vsin,e_st_rotp,e_sy_dist,e_sy_vmag,e_sy_kmag,st-flux,st-spectype-ltr,st-spectype-num,st-lumiclass,st-spectype-val,st-spectype-str
653,HATS-59 c,c,HATS-59,,,TIC 437261733,Gaia DR2 3538256769264276480,2.504,0.035,-0.035,12.3,,,4036.441,276.5121,-276.5121,1.1,,,12.7,0.87,-0.87,Msini,0.083,,,1422.0,14.0,-14.0,,4.3,2.3,-2.3,0.18,0.064,-0.064,[Fe/H],-0.004,0.065,-0.077,5670.0,91.0,-91.0,1.04,0.07,-0.07,1.04,0.04,-0.04,2.8,0.61,-0.61,,,,642.884,13.94,-13.371,14.033,0.08,-0.08,12.238,0.03,-0.03,1,2,0,-1,,,-1,437261733,3.5382567692642765e+18,0.035,,276.5121,,0.87,,14.0,2.3,0.064,0.077,91.0,0.07,0.04,0.61,,13.94,0.08,0.03,-17.34832196971201,,,,,
654,HD 196067 b,b,HD 196067,HD 196067,HIP 102125,TIC 327303574,Gaia DR2 6369544118965772416,5.02,0.19,-0.19,12.3,,,3972.85509,794.57102,-572.09113,1.1,,,12.5,2.5,-1.8,Mass,0.66,0.18,-0.09,3638.0,232.0,-185.0,G1 V,3.3,0.6,-0.6,0.18,0.04,-0.04,[Fe/H],0.572,,,6017.0,46.0,-46.0,1.73,0.21,-0.21,1.29,0.08,-0.08,1.45,,,,,,39.9346,0.046,-0.046,6.51,0.03,-0.03,5.08,0.016,-0.016,2,1,0,-1,,,-1,327303574,6.369544118965772e+18,0.19,,794.57102,,2.5,0.18,232.0,0.6,0.04,,46.0,0.21,0.08,,,0.046,0.03,0.016,-14.358755412697343,G,1.0, V,21.0,G1  V
655,HATS-63 b,b,HATS-63,,,TIC 178879588,Gaia DR2 4891362198412001408,0.04026,0.00028,-0.00028,13.529,0.437,-0.437,305.1168,38.1396,-38.1396,1.207,0.039,-0.039,0.96,0.12,-0.12,Mass,0.136,,,3.0566527,4.9e-06,-4.9e-06,,10.3,1.1,-1.1,0.081,0.038,-0.038,[Fe/H],0.012,0.009,-0.009,5627.0,18.0,-18.0,1.07,0.01,-0.01,0.93,0.02,-0.02,1.77,0.45,-0.45,,,,623.232,6.092,-5.977,13.992,0.126,-0.126,12.216,0.024,-0.024,1,1,0,-1,,,-1,178879588,4.891362198412001e+18,0.00028,0.437,38.1396,0.039,0.12,,4.9e-06,1.1,0.038,0.009,18.0,0.01,0.02,0.45,,6.092,0.126,0.024,-17.30535622361864,,,,,
656,TOI-615 b,b,TOI-615,,,TIC 190496853,Gaia DR2 5524780333100885888,0.0678,0.0031,-0.0026,18.977,0.583,-0.639,138.25536,27.33324,-26.06193,1.693,0.052,-0.057,0.435,0.086,-0.082,Mass,0.39,,,4.6615983,2.5e-06,-1.6e-06,F2 V,1.7,0.3,-0.3,-0.1,0.07,-0.07,[Fe/H],0.768,0.01,-0.011,6850.0,100.0,-100.0,1.73,0.06,-0.06,1.45,0.09,-0.09,16.3,0.8,-0.8,5.38,0.31,-0.31,360.408,3.993,-3.909,10.825,0.008,-0.008,9.669,0.021,-0.021,1,1,0,-1,,,-1,190496853,5.524780333100886e+18,0.0031,0.639,27.33324,0.057,0.086,,2.5e-06,0.3,0.07,0.011,100.0,0.06,0.09,0.8,0.31,3.993,0.008,0.021,-16.073645580185314,F,2.0, V,32.0,F2  V
657,Kepler-65 e,e,Kepler-65,,,TIC 121731834,Gaia DR2 2102119176929154304,0.853931,,,13.9,,,260.0,200.0,-50.0,1.24,,,0.82,0.63,-0.16,Mass,0.283,0.064,-0.071,258.8,1.5,-1.3,,3.31,0.3,-0.3,0.17,0.06,-0.06,[Fe/H],0.451,0.006,-0.006,6220.0,44.35,-43.86,1.44,0.03,-0.03,1.25,0.02,-0.02,10.4,0.6,-0.6,,,,303.728,2.708,-2.661,10.922,0.008,-0.008,9.806,0.017,-0.017,1,4,0,5866724,,Kepler-65 e,-1,121731834,2.1021191769291543e+18,,,200.0,,0.63,0.071,1.5,0.3,0.06,0.006,44.35,0.03,0.02,0.6,,2.708,0.008,0.017,-16.242026396018343,,,,,
658,HD 89839 b,b,HD 89839,HD 89839,HIP 50653,TIC 294028147,Gaia DR2 5355799586503538176,4.761,0.042,-0.042,12.9,,,1592.32032,251.08444,-241.54959,1.15,,,5.01,0.79,-0.76,Mass,0.187,0.013,-0.013,3441.0,18.0,-17.0,F7 V,1.6,0.9,-0.9,0.04,0.043,-0.043,[Fe/H],0.375,0.01,-0.021,6314.0,65.0,-65.0,1.29,0.05,-0.05,1.21,0.03,-0.03,4.2,,,,,,57.3063,0.1099,-0.1094,7.64,0.03,-0.03,6.362,0.023,-0.023,1,1,0,-1,,,-1,294028147,5.355799586503539e+18,0.042,,251.08444,,0.79,0.013,18.0,0.9,0.043,0.021,65.0,0.05,0.03,,,0.1099,0.03,0.023,-14.869461473226476,F,7.0, V,37.0,F7  V
659,HATS-58 A b,b,HATS-58 A,,,TIC 21113347,Gaia DR2 6128363666439822208,0.05798,0.00057,-0.00057,12.274,0.695,-0.695,327.3649,73.1009,-73.1009,1.095,0.062,-0.062,1.03,0.23,-0.23,Mass,0.168,,,4.2180896,8.9e-06,-8.9e-06,,0.31,0.33,-0.2,,,,,0.689,0.039,-0.043,7175.0,54.0,-54.0,1.43,0.06,-0.06,1.46,0.04,-0.04,6.22,0.29,-0.29,,,,403.591,,,11.572,0.046,-0.046,10.289,0.023,-0.023,2,1,0,-1,,,-1,21113347,6.128363666439822e+18,0.00057,0.695,73.1009,0.062,0.23,,8.9e-06,0.33,,0.043,54.0,0.06,0.04,0.29,,,0.046,0.023,-16.250939681213598,,,,,
660,WASP-82 b,b,WASP-82,,,TIC 452808876,Gaia DR2 3231856379348299008,0.0447,0.0007,-0.0007,18.159,1.457,-1.457,371.8611,63.566,-63.566,1.62,0.13,-0.13,1.17,0.2,-0.2,Mass,0.0,,,2.70579,2e-06,-2e-06,F5,,,,0.12,,,[Fe/H],0.794,0.007,-0.007,6480.0,90.0,-90.0,2.1,0.16,-0.16,1.48,0.37,-0.37,2.6,0.9,-0.9,,,,275.664,3.122,-3.055,10.073,0.005,-0.005,8.759,0.023,-0.023,1,1,0,-1,,,-1,452808876,3.231856379348299e+18,0.0007,1.457,63.566,0.13,0.2,,2e-06,,,0.007,90.0,0.16,0.37,0.9,,3.122,0.005,0.023,-15.814816842544623,F,5.0,,35.0,F5 
661,WASP-90 b,b,WASP-90,,,TIC 459730973,Gaia DR2 1737061349198867456,0.0562,0.0012,-0.0012,18.271,1.009,-1.009,200.2329,22.2481,-22.2481,1.63,0.09,-0.09,0.63,0.07,-0.07,Mass,0.0,,,3.916243,3e-06,-3e-06,F6,4.4,8.4,-2.4,0.11,0.14,-0.14,[Fe/H],0.63,0.021,-0.022,6430.0,130.0,-130.0,1.98,0.09,-0.09,1.55,0.1,-0.1,6.0,0.5,-0.5,,,,466.433,19.928,-18.384,11.618,0.034,-0.034,10.248,0.023,-0.023,1,1,0,-1,,,-1,459730973,1.7370613491988677e+18,0.0012,1.009,22.2481,0.09,0.07,,3e-06,8.4,0.14,0.022,130.0,0.09,0.1,0.5,,19.928,0.034,0.023,-16.43563527332526,F,6.0,,36.0,F6 
662,WASP-73 b,b,WASP-73,HD 202678,,TIC 231670397,Gaia DR2 6453566701615683456,0.05512,0.0006,-0.00053,15.917,2.466,-2.466,908.9938,292.4036,-292.4036,1.42,0.22,-0.22,2.86,0.92,-0.92,Mass,0.0,,,4.08722,0.00022,-0.00022,F9,4.3,1.5,-1.5,0.14,,,[Fe/H],0.795,0.017,-0.022,6030.0,120.0,-120.0,2.55,0.38,-0.38,2.52,1.22,-1.22,6.1,0.6,-0.6,,,,316.678,2.993,-2.938,10.468,0.006,-0.006,9.028,0.021,-0.021,1,1,0,-1,,,-1,231670397,6.453566701615684e+18,0.0006,2.466,292.4036,0.22,0.92,,0.00022,1.5,,0.022,120.0,0.38,1.22,0.6,,2.993,0.006,0.021,-15.934292522155081,F,9.0,,39.0,F9 
663,XO-5 b,b,XO-5,,,TIC 9155187,Gaia DR2 920308932010648448,0.0515,0.0005,-0.0005,12.78,0.34,-0.34,378.2,9.53,-9.53,1.14,0.03,-0.03,1.19,0.03,-0.03,Mass,0.0,,,4.1877558,6e-07,-6e-07,G8 V,8.5,0.8,-0.8,0.05,0.06,-0.06,[Fe/H],-0.06,0.04,-0.04,5430.0,70.0,-70.0,1.13,0.03,-0.03,1.04,0.03,-0.03,0.7,0.5,-0.5,,,,276.211,3.919,-3.812,12.198,0.092,-0.092,10.345,0.018,-0.018,1,1,0,-1,,,-1,9155187,9.203089320106484e+17,0.0005,0.34,9.53,0.03,0.03,,6e-07,0.8,0.06,0.04,70.0,0.03,0.03,0.5,,3.919,0.092,0.018,-16.670538675636497,G,8.0, V,28.0,G8  V
664,HR 5183 b,b,HR 5183,HD 120066,HIP 67246,TIC 379117362,Gaia DR2 3721126409323324416,18.0,6.0,-4.0,13.1,,,1052.01203,50.85255,-38.13941,1.17,,,3.31,0.16,-0.12,Mass,0.84,0.04,-0.04,27000.0,16000.0,-8000.0,G0 V,7.7,1.4,-1.2,0.1,0.06,-0.06,[Fe/H],0.397,0.001,-0.001,5794.0,100.0,-100.0,1.53,0.06,-0.05,1.07,0.04,-0.04,3.0,1.0,-1.0,,,,31.4607,0.039,-0.0389,6.33432,0.023,-0.023,4.851,0.021,-0.021,2,1,0,-1,,,-1,379117362,3.721126409323325e+18,6.0,,50.85255,,0.16,0.04,16000.0,1.4,0.06,0.001,100.0,0.06,0.04,1.0,,0.039,0.023,0.021,-14.326593498109228,G,0.0, V,20.0,G0  V
665,K2-107 b,b,K2-107,,,TIC 414843476,Gaia DR2 4081684580199958528,0.0475,0.0006,-0.0006,15.98,0.55,-0.55,266.9772,25.4264,-25.4264,1.426,0.049,-0.049,0.84,0.08,-0.08,Mass,0.0,,,3.313959,2.4e-05,-2.4e-05,F9 IV,4.25,1.75,-1.75,0.14,0.06,-0.06,[Fe/H],0.464,0.019,-0.02,6061.0,96.0,-96.0,1.81,0.06,-0.06,1.3,0.05,-0.05,4.6,0.5,-0.5,,,,685.2,20.502,-19.364,13.012,0.103,-0.103,11.21,0.021,-0.021,1,1,0,-1,,,-1,414843476,4.081684580199959e+18,0.0006,0.55,25.4264,0.049,0.08,,2.4e-05,1.75,0.06,0.02,96.0,0.06,0.05,0.5,,20.502,0.103,0.021,-16.935691443818058,F,9.0, IV,39.0,F9  IV
666,KELT-8 b,b,KELT-8,HD 343246,,TIC 358516596,Gaia DR2 4534144923690481408,0.0455,0.00083,-0.00088,18.159,1.121,-1.121,209.7678,38.1396,-38.1396,1.62,0.1,-0.1,0.66,0.12,-0.12,Mass,0.04,0.05,-0.05,3.24406,0.00016,-0.00016,G2 V,5.4,0.4,-0.5,0.27,,,[Fe/H],0.265,0.016,-0.023,5754.0,54.0,-54.0,1.46,0.08,-0.08,0.81,0.21,-0.21,3.7,1.5,-1.5,,,,197.572,1.005,-0.995,10.845,0.006,-0.006,9.177,0.021,-0.021,1,1,0,-1,,,-1,358516596,4.5341449236904817e+18,0.00088,1.121,38.1396,0.1,0.12,0.05,0.00016,0.5,,0.023,54.0,0.08,0.21,1.5,,1.005,0.006,0.021,-16.05450752760548,G,2.0, V,22.0,G2  V
667,KMT-2016-BLG-2397L b,b,KMT-2016-BLG-2397L,,,,,3.64,1.22,-1.61,13.2,,,836.0,375.0,-391.0,1.18,,,2.63,1.18,-1.23,Mass,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.29,-0.3,,,,,,,4880.0,1650.0,-2180.0,,,,,,,1,1,0,-1,,,-1,-1,,1.61,,391.0,,1.23,,,,,,,,0.3,,,2180.0,,,,,,,,
668,TOI-4406 b,b,TOI-4406,,,TIC 206541859,Gaia DR2 4910452812646300544,0.201,0.005,-0.005,11.209,0.224,-0.224,95.34852,9.53485,-9.53485,1.0,0.02,-0.02,0.3,0.03,-0.03,Mass,0.15,0.05,-0.04,30.08364,5e-05,-5e-05,,2.9,0.7,-0.7,0.1,0.05,-0.05,[Fe/H],0.362,0.018,-0.019,6219.0,70.0,-70.0,1.29,0.01,-0.01,1.19,0.03,-0.03,4.5,0.3,-0.3,,,,261.834,1.75,-1.726,10.937,0.007,-0.007,9.73,0.023,-0.023,1,1,0,-1,,,-1,206541859,4.910452812646301e+18,0.005,0.224,9.53485,0.02,0.03,0.05,5e-05,0.7,0.05,0.019,70.0,0.01,0.03,0.3,,1.75,0.007,0.023,-16.202108816097837,,,,,
669,OGLE-2018-BLG-1119L b,b,OGLE-2018-BLG-1119L,,,,,4.06,2.14,-2.58,13.9,,,289.22385,209.76675,-165.27077,1.24,,,0.91,0.66,-0.52,Mass,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.35,-0.28,,,,,,,5760.0,1430.0,-2480.0,,,,,,,1,1,0,-1,,,-1,-1,,2.58,,209.76675,,0.66,,,,,,,,0.35,,,2480.0,,,,,,,,
670,BD+20 2457 c,c,BD+20 2457,,,TIC 95359428,Gaia DR2 625137162857354880,2.01,,,12.4,,,3963.17,,,1.1,,,12.47,,,Msini,0.18,0.06,-0.06,621.99,10.2,-10.2,K2 II,,,,-1.0,0.07,-0.07,[Fe/H],3.17,,,4137.0,10.0,-10.0,49.0,26.0,-26.0,2.8,1.5,-1.5,2.5,,,,,,1539.71,189.925,-189.925,9.743,0.008,-0.008,6.42,0.021,-0.021,1,2,0,-1,,,-1,95359428,6.251371628573549e+17,,,,,,0.06,10.2,,0.07,,10.0,26.0,1.5,,,189.925,0.008,0.021,-14.932934596047241,K,2.0, II,12.0,K2  II
671,TOI-2338 b,b,TOI-2338,,,TIC 24358417,Gaia DR2 4822916912388338176,0.158,0.003,-0.003,11.209,0.224,-0.224,1900.61387,66.74397,-63.56568,1.0,0.02,-0.02,5.98,0.21,-0.2,Mass,0.676,0.002,-0.002,22.65398,2e-05,-2e-05,,7.0,2.0,-2.0,0.22,0.04,-0.04,[Fe/H],-0.013,0.018,-0.014,5581.0,60.0,-60.0,1.05,0.01,-0.01,0.99,0.03,-0.02,2.5,0.3,-0.3,,,,313.996,1.98,-1.956,12.483,0.03,-0.03,10.664,0.025,-0.025,1,1,0,-1,,,-1,24358417,4.822916912388338e+18,0.003,0.224,66.74397,0.02,0.21,0.002,2e-05,2.0,0.04,0.018,60.0,0.01,0.03,0.3,,1.98,0.03,0.025,-16.734904966479505,,,,,
672,DMPP-2 b,b,DMPP-2,HD 11231,HIP 8501,TIC 32432767,Gaia DR2 5017319806652067072,0.0664,0.0005,-0.0005,14.3,,,138.89171,9.5349,-18.75197,1.28,,,0.437,0.03,-0.059,Msini,0.078,,,5.2072,0.0002,-0.0055,F5 V,2.0,0.3,-0.3,,,,,0.104,0.052,-0.058,6500.0,100.0,-100.0,1.78,0.09,-0.09,1.44,0.03,-0.03,5.1,1.0,-1.0,,,,137.94,0.681,-0.675,8.57,0.03,-0.03,7.437,0.026,-0.026,1,1,0,-1,,,-1,32432767,5.017319806652067e+18,0.0005,,18.75197,,0.059,,0.0055,0.3,,0.058,100.0,0.09,0.03,1.0,,0.681,0.03,0.026,-15.903437178536961,F,5.0, V,35.0,F5  V
673,CoRoT-10 b,b,CoRoT-10,,,TIC 405010127,Gaia DR2 4263752921128319616,0.1055,0.0021,-0.0021,10.87,0.78,-0.78,874.0,50.85,-50.85,0.97,0.07,-0.07,2.75,0.16,-0.16,Mass,0.53,0.04,-0.04,13.2406,0.0002,-0.0002,K1 V,3.0,,,0.26,0.07,-0.07,[Fe/H],-0.726,0.012,-0.012,5075.0,75.0,-75.0,0.79,0.05,-0.05,0.89,0.05,-0.05,2.0,0.5,-0.5,,,,338.386,3.9865,-3.9865,15.293,0.137,-0.137,11.782,0.021,-0.021,1,1,0,-1,,,-1,405010127,4.26375292112832e+18,0.0021,0.78,50.85,0.07,0.16,0.04,0.0002,,0.07,0.012,75.0,0.05,0.05,0.5,,3.9865,0.137,0.021,-17.512881508690143,K,1.0, V,11.0,K1  V
674,HD 97048 b,b,HD 97048,HD 97048,HIP 54413,TIC 454291762,Gaia DR2 5201128124701636864,130.0,,,13.3,,,794.575,158.915,-158.915,1.18,,,2.5,0.5,-0.5,Mass,,,,,,,Be9.5/AO,0.003,,,,,,,1.602,,,10000.0,,,2.25,,,2.4,,,,,,,,,183.857,1.331,-1.313,8.44,0.03,-0.03,5.941,0.029,-0.029,1,1,0,-1,,,-1,454291762,5.201128124701637e+18,,,158.915,,0.5,,,,,,,,,,,1.331,0.03,0.029,-14.655017074116813,B,,,,B
675,DH Tau b,b,DH Tau,,,TIC 268148971,Gaia DR2 151374202498079872,330.0,,,30.264,8.967,-8.967,3496.0,3178.0,-953.0,2.7,0.8,-0.8,11.0,10.0,-3.0,Mass,,,,,,,M0.5,0.001,,,,,,,-0.212,,,4371.0,137.0,-137.0,0.27,0.07,-0.07,0.33,,,,,,,,,134.846,1.282,-1.258,13.98,1.133,-1.133,8.178001,0.026,-0.026,1,1,0,-1,,,-1,268148971,1.5137420249807987e+17,,8.967,3178.0,0.8,10.0,,,,,,137.0,0.07,,,,1.282,1.133,0.026,-16.19973287183018,M,0.5,,0.5,M0.5 
676,Kepler-48 f,f,Kepler-48,,,TIC 171882123,Gaia DR2 2075112109039378688,5.719188,,,13.8,,,298.581,92.71233,-92.71233,1.23,,,0.93944,0.29171,-0.29171,Msini,0.015283,0.13506,-0.13506,5219.681854,373.576493,-373.576493,,9.4,3.7,-3.7,0.17,0.07,-0.07,[Fe/H],-0.345,0.007,-0.007,5190.0,44.0,-44.0,0.85,0.04,-0.03,0.92,0.02,-0.02,0.5,,,,,,306.738,1.825,-1.804,13.174,0.103,-0.103,11.221,0.023,-0.023,1,5,0,5735762,,Kepler-48 f,-1,171882123,2.0751121090393787e+18,,,92.71233,,0.29171,0.13506,373.576493,3.7,0.07,0.007,44.0,0.04,0.02,,,1.825,0.103,0.023,-17.046591898334185,,,,,
677,Kepler-454 c,c,Kepler-454,,,TIC 121276638,Gaia DR2 2099541715513813504,1.287,0.017,-0.017,12.9,,,1433.40612,38.13941,-38.13941,1.15,,,4.51,0.12,-0.12,Msini,0.0053,,,524.19,0.2,-0.2,,5.25,1.41,-1.39,0.32,0.08,-0.08,[Fe/H],0.032,0.004,-0.004,5687.0,49.0,-49.0,1.07,0.01,-0.01,1.03,0.04,-0.03,2.4,,,,,,230.869,1.316,-1.301,11.567,0.021,-0.021,9.968,0.018,-0.018,2,3,0,3102384,,Kepler-454 c,-1,121276638,2.0995417155138132e+18,0.017,,38.13941,,0.12,,0.2,1.41,0.08,0.004,49.0,0.01,0.04,,,1.316,0.021,0.018,-16.422787978867277,,,,,
678,Kepler-56 c,c,Kepler-56,,,TIC 138430034,Gaia DR2 2077617930392844800,0.1652,0.0059,-0.0059,9.8,0.46,-0.46,181.0,21.0,-19.0,0.874,0.041,-0.041,0.57,0.066,-0.06,Mass,0.0,0.01,-0.01,21.40239,0.00059,-0.00062,,3.5,1.3,-1.3,0.2,0.16,-0.16,[Fe/H],0.905,0.018,-0.019,4840.0,97.0,-97.0,4.23,0.15,-0.15,1.32,0.13,-0.13,,,,,,,912.994,23.5465,-23.5465,12.598,0.046,-0.046,10.227,0.018,-0.018,1,3,0,6448890,K01241.01,Kepler-56 c,1241,138430034,2.0776179303928448e+18,0.0059,0.46,21.0,0.041,0.066,0.01,0.00062,1.3,0.16,0.019,97.0,0.15,0.13,,,23.5465,0.046,0.018,-16.743992582138805,,,,,
679,BD+20 274 b,b,BD+20 274,,,TIC 60923874,Gaia DR2 96530596864007552,1.3,,,13.0,,,1334.886,,,1.16,,,4.2,,,Msini,0.21,0.06,-0.06,578.2,5.4,-5.4,K5 III,,,,-0.46,0.07,-0.07,[Fe/H],1.96,0.18,-0.18,4296.0,10.0,-10.0,17.3,0.9,-0.9,0.8,0.2,-0.2,2.0,1.5,-1.5,,,,1322.51,80.535,-80.535,9.367,0.008,-0.008,6.169,0.027,-0.027,1,1,0,-1,,,-1,60923874,9.653059686400755e+16,,,,,,0.06,5.4,,0.07,0.18,10.0,0.9,0.2,1.5,,80.535,0.008,0.027,-16.010854664401176,K,5.0, III,15.0,K5  III
680,TOI-2669 b,b,TOI-2669,,,TIC 348835438,Gaia DR2 5735664051960550144,,,,19.728,1.793,-1.793,193.87533,60.3874,-60.3874,1.76,0.16,-0.16,0.61,0.19,-0.19,Mass,0.09,0.05,-0.05,6.2034,0.0001,-0.0001,,5.9,3.0,-3.0,0.1,0.06,-0.06,[Fe/H],0.906,,,4800.0,100.0,-100.0,4.1,0.04,-0.04,1.19,0.16,-0.16,,,,,,,393.443,6.457,-6.256,10.916,0.015,-0.015,8.492,0.023,-0.023,1,1,0,-1,,,-1,348835438,5.73566405196055e+18,,1.793,60.3874,0.16,0.19,0.05,0.0001,3.0,0.06,,100.0,0.04,0.16,,,6.457,0.015,0.023,-16.01182038103015,,,,,
681,Kepler-88 d,d,KOI-142,,,TIC 122712595,Gaia DR2 2101507367429089664,2.46633,,,13.1,,,965.147,44.0067,-44.0067,1.17,,,3.05046,0.16002,-0.16002,Msin(i)/sin(i),0.41,0.03,-0.03,1403.0,14.0,-14.0,G6 V,1.6,1.4,-1.4,0.27,0.06,-0.06,[Fe/H],-0.192,0.007,-0.007,5466.0,60.0,-60.0,0.9,0.02,-0.02,0.99,0.02,-0.02,1.8,0.5,-0.5,,,,376.863,2.01,-1.991,13.209,0.126,-0.126,11.454,0.019,-0.019,1,3,0,5446285,,Kepler-88 d,-1,122712595,2.1015073674290895e+18,,,44.0067,,0.16002,0.03,14.0,1.4,0.06,0.007,60.0,0.02,0.02,0.5,,2.01,0.126,0.019,-17.072423737195233,G,6.0, V,26.0,G6  V
682,HAT-P-65 b,b,HAT-P-65,,,TIC 283419843,Gaia DR2 1757302881526250496,0.04042,0.00057,-0.00055,18.058,0.269,-0.269,176.07694,29.24021,-28.92239,1.611,0.024,-0.024,0.554,0.092,-0.091,Mass,0.304,,,2.60544751,5e-07,-4.9e-07,G2,3.9,0.8,-0.8,0.208,0.05,-0.055,[Fe/H],0.473,0.017,-0.018,5872.0,40.0,-40.0,1.67,0.02,-0.02,1.3,0.06,-0.05,7.1,0.5,-0.5,,,,738.519,19.924,-18.922,13.121,0.092,-0.092,11.528,0.025,-0.025,1,1,0,-1,,,-1,283419843,1.7573028815262505e+18,0.00057,0.269,29.24021,0.024,0.092,,5e-07,0.8,0.055,0.018,40.0,0.02,0.06,0.5,,19.924,0.092,0.025,-16.9917800811459,G,2.0,,22.0,G2 
683,HATS-13 b,b,HATS-13,,,TIC 289793076,Gaia DR2 6803000980210856704,0.04057,0.00041,-0.00041,13.585,0.392,-0.392,172.58169,22.88376,-22.88376,1.212,0.035,-0.035,0.543,0.072,-0.072,Mass,0.181,,,3.0440499,2.7e-06,-2.7e-06,,2.5,1.7,-1.7,0.05,0.06,-0.06,[Fe/H],-0.321,0.019,-0.02,5523.0,69.0,-69.0,0.89,0.02,-0.02,0.96,0.03,-0.03,2.82,0.3,-0.3,,,,421.855,8.501,-8.177,13.911,0.16,-0.16,11.983,0.028,-0.028,1,1,0,-1,,,-1,289793076,6.803000980210857e+18,0.00041,0.392,22.88376,0.035,0.072,,2.7e-06,1.7,0.06,0.02,69.0,0.02,0.03,0.3,,8.501,0.16,0.028,-17.29938313705435,,,,,
684,KELT-6 b,b,KELT-6,,,TIC 165987272,Gaia DR2 1464700950221781504,0.07939,0.001,-0.00099,14.572,1.009,-1.009,165.2716,38.1396,-38.1396,1.3,0.09,-0.09,0.52,0.12,-0.12,Mass,0.22,0.11,-0.11,7.8457,0.0002,-0.0002,F8,6.1,0.2,-0.2,-0.28,,,[Fe/H],0.493,0.086,-0.058,6102.0,43.0,-43.0,1.73,0.12,-0.12,1.42,0.46,-0.46,4.53,0.26,-0.26,,,,240.726,1.987,-1.955,10.371,0.007,-0.007,9.083,0.017,-0.017,1,2,0,-1,,,-1,165987272,1.4647009502217815e+18,0.001,1.009,38.1396,0.09,0.12,0.11,0.0002,0.2,,0.086,43.0,0.12,0.46,0.26,,1.987,0.007,0.017,-15.998102734200126,F,8.0,,38.0,F8 
685,HATS-51 b,b,HATS-51,,,TIC 53458803,Gaia DR2 5608644895310998272,0.04639,0.00077,-0.00077,15.805,2.13,-2.13,244.09344,14.30235,-14.30235,1.41,0.19,-0.19,0.768,0.045,-0.045,Mass,0.33,,,3.3488702,3.9e-06,-3.9e-06,,4.74,0.7,-0.51,,,,,0.31,0.102,-0.134,5758.0,58.0,-58.0,1.44,0.18,-0.18,1.19,0.06,-0.06,3.98,0.26,-0.26,,,,389.57,3.949,-3.872,12.525,0.08,-0.08,10.867,0.021,-0.021,1,1,0,-1,,,-1,53458803,5.608644895310999e+18,0.00077,2.13,14.30235,0.19,0.045,,3.9e-06,0.7,,0.134,58.0,0.18,0.06,0.26,,3.949,0.08,0.021,-16.599227745935305,,,,,
686,HATS-57 b,b,HATS-57,,,TIC 178289267,Gaia DR2 5094406193214399616,0.03493,0.00021,-0.0003,12.767,0.314,-0.314,1000.21101,23.20159,-23.20159,1.139,0.028,-0.028,3.147,0.073,-0.073,Mass,0.028,,,2.350621,1.3e-06,-1.3e-06,,2.5,1.5,-1.1,0.268,0.043,-0.043,[Fe/H],-0.094,0.01,-0.01,5587.0,19.0,-19.0,0.96,0.01,-0.01,1.03,0.02,-0.03,4.09,0.48,-0.48,12.71,0.04,-0.04,279.485,3.118,-3.05,12.333,0.069,-0.069,10.707,0.027,-0.027,1,1,0,-1,,,-1,178289267,5.094406193214399e+18,0.0003,0.314,23.20159,0.028,0.073,,1.3e-06,1.5,0.043,0.01,19.0,0.01,0.03,0.48,0.04,3.118,0.069,0.027,-16.714773743632776,,,,,
