hostname,KOI,Prot,e_Prot,db
Kepler-781,1160,20.041,0.077,mcq13
Kepler-171,509,21.506,0.138,mcq13
Kepler-1021,1939,14.621,0.018,mcq13
Kepler-414,341,18.554,0.048,mcq13
Kepler-743,987,20.894,0.094,mcq13
Kepler-1787,2056,20.039,0.069,mcq13
Kepler-1979,2150,17.996,0.148,mcq13
Kepler-1090,2094,19.374,0.369,mcq13
Kepler-231,784,23.397,0.024,mcq13
Kepler-1170,2274,31.273,4.325,mcq13
Kepler-242,853,15.773,0.009,mcq13
Kepler-621,605,28.49,0.064,mcq13
Kepler-1130,2169,27.633,0.201,mcq13
Kepler-1367,2845,29.369,0.398,mcq13
Kepler-1026,1959,25.656,0.036,mcq13
Kepler-1716,315,31.433,3.591,mcq13
Kepler-1129,2167,10.658,0.024,mcq13
Kepler-1374,2868,11.642,0.018,mcq13
Kepler-682,791,23.408,0.092,mcq13
Kepler-512,294,12.103,0.249,mcq13
Kepler-597,550,22.588,1.632,mcq13
Kepler-1251,2482,25.196,0.878,mcq13
Kepler-910,1618,7.087,0.021,mcq13
Kepler-1870,2690,12.36,0.007,mcq13
Kepler-258,951,26.399,0.09,mcq13
Kepler-849,1439,17.829,0.447,mcq13
Kepler-1753,1489,21.942,0.007,mcq13
Kepler-570,480,20.845,0.011,mcq13
Kepler-1049,2006,28.753,0.041,mcq13
Kepler-663,751,22.924,0.193,mcq13
Kepler-762,1074,4.035,0.002,mcq13
Kepler-958,1813,18.259,0.03,mcq13
Kepler-1013,1914,12.772,0.046,mcq13
Kepler-1310,2668,21.922,2.192,mcq13
Kepler-1421,3060,13.13,0.249,mcq13
Kepler-1798,2130,27.266,0.084,mcq13
Kepler-1877,2803,16.929,0.014,mcq13
Kepler-331,1895,8.662,0.001,mcq13
Kepler-543,387,20.312,0.024,mcq13
Kepler-1096,2101,14.251,0.006,mcq13
Kepler-1805,2191,17.789,0.005,mcq13
Kepler-636,652,17.312,0.01,mcq13
Kepler-552,432,18.577,0.15,mcq13
Kepler-956,1802,13.761,0.147,mcq13
Kepler-685,801,30.292,7.752,mcq13
Kepler-1405,2998,13.899,0.06,mcq13
Kepler-1152,2238,14.939,0.004,mcq13
Kepler-1813,2248,14.742,0.008,mcq13
Kepler-1315,2694,37.701,5.443,mcq13
Kepler-425,188,36.955,6.19,mcq13
Kepler-967,1830,18.347,0.044,mcq13
Kepler-1044,1998,14.776,0.224,mcq13
Kepler-1714,288,13.38,0.099,mcq13
Kepler-1103,2109,10.978,0.045,mcq13
Kepler-1053,2013,14.9,0.016,mcq13
Kepler-1241,2444,19.226,0.021,mcq13
Kepler-1313,2678,6.138,0.001,mcq13
Kepler-1820,2305,23.782,3.263,mcq13
Kepler-1288,2608,20.304,0.096,mcq13
Kepler-993,1879,21.843,0.007,mcq13
Kepler-1030,1971,25.657,0.197,mcq13
Kepler-1261,2497,33.669,1.58,mcq13
Kepler-1132,2177,24.665,0.17,mcq13
Kepler-410 A,42,20.85,0.007,mcq13
Kepler-550,429,22.786,0.184,mcq13
Kepler-1792,2084,9.592,0.003,mcq13
Kepler-1804,2181,11.28,0.002,mcq13
