index,pl-name,hostname,pl-letter,pl-orbsmax,e_pl_orbsmax,pl-orbeccen,e_pl_orbeccen,pl-rade,e_pl_rade,e_pl_rade,pl-bmassj,e_pl_bmassj,pl-radj,e_pl_rade,e_pl_rade,pl-bmasse,e_pl_bmasse,st-rad,e_st_rad,RoVK,RoM,Ro,e_RoVK,e_RoM,e_Ro,KOI,KIC,TIC,GAIA,r-Prot,sy-dist,e_sy_dist,st-mass,e_st_mass,sy-vmag,e_sy_vmag,sy-kmag,e_sy_kmag,Prot,e_Prot,VK-color,e_VK_color,st-teff,st-lum,e_st_lum,st-age,e_st_age,Tauc,e_Tauc,st-met,e_st_met,st-spectype,rperi,e_rperi,RA,e_RA,RASun,e_RASun,LX,e_LX,ASHC,e_ASHC,mass-class,rad-class,habitable,CHZ,OHZ,size-class,n-size_class
20,Kepler-248 b,Kepler-248,b,0.066,,0.0,,3.02,0.36,0.36,0.0295,,0.269,0.36,0.36,9.38,,0.83,0.1,1.6666140369911466,1.4722617712184933,1.6666140369911466,0.8136868286293035,0.820894900765587,0.8136868286293035,896,-1,-1,-1,mcq13,738.792,12.7425,0.9,0.02,15.506,0.115,13.357,0.053,25.066,0.009,2.149000000000001,0.12662543188475212,5190.0,-0.418,,2.34,1.62,15.040074932558097,7.342976413978488,0.2,0.07,,0.066,0.0,0.0908887359960547,0.10937232090395868,19.544279006769848,23.518900685974153,28.478885845941434,10.50700922500528,0.7261625907402314,0.0794220879028906,2,3,0,0,0,2,
21,GJ 504 b,GJ 504,b,43.5,,,,13.0,,,4.0,4.5,1.16,,,1271.3,1430.2,1.26,0.04,0.3923708483636465,0.3639487511679059,0.3923708483636465,,,,-1,-1,-1,-1,nasa,17.5299,0.0785,1.22,0.08,5.18799,0.023,4.033,0.238,3.33,,1.1549899999999997,0.23910876186371757,6234.0,0.332,0.032,0.16,0.35,8.486869026808485,3.1818201399534547,0.28,0.03,G0 V,43.5,,0.06604153007725556,,14.201254706852712,,29.571846491120247,,658.6764411592762,,3,3,0,0,0,3,
22,HD 189733 b,HD 189733,b,0.03126,0.00036,0.0,,12.666,0.112,0.112,1.13,0.08,1.13,0.112,0.112,359.1479,25.4264,0.75,0.01,0.803744298656213,0.5481468279935453,0.803744298656213,0.3859601908006179,0.27913527110170866,0.3859601908006179,-1,-1,-1,-1,nasa,19.7638,0.0128,0.79,0.08,7.67,0.03,5.541,0.021,11.95,0.01,2.1289999999999996,0.03661966684720111,5052.0,-0.461,0.018,1.4,4.9,14.867912618452545,7.139601098777529,-0.02,,K2 V,0.03126,0.00036,0.077371126722645,0.1078114150072313,16.637516972412953,23.183250948802364,29.02997365222681,10.534772135101573,0.40402668701024386,0.04380649309023514,3,3,0,0,0,3,
23,LHS 1140 c,LHS 1140,c,0.027,0.0005,0.05,,1.272,0.026,0.026,0.00601,0.00019,0.113,0.026,0.026,1.91,0.06,0.22,0.0,1.396436833740384,1.1148778718716972,1.396436833740384,1.4260636163843243,0.18748532993556652,1.4260636163843243,-1,-1,-1,-1,nasa,14.9861,0.0153,0.18,0.0,14.15,0.062,8.821,0.024,131.0,5.0,5.329000000000001,0.06648308055437864,3096.0,-2.42,0.036,5.0,,93.8101866370238,95.73352739395459,-0.15,0.09,M4.5 V,0.02565,0.000475,0.0874076793405957,0.2262210675148368,18.795729235810143,48.64549619120251,28.612541752980214,22.080459909557792,0.2934524768704972,0.0666071880521479,1,1,0,0,0,1,
24,HD 134606 e,HD 134606,e,0.0527,0.0012,0.2,0.14,1.33,,,0.00736,0.0011,0.119,,,2.34,0.35,1.16,0.04,3.6517353059030127,3.3610447156190584,3.6517353059030127,1.5561897081430256,2.353836750812936,1.5561897081430256,-1,-1,-1,-1,nasa,26.7909,0.0205,1.05,0.07,6.86,0.03,5.177,0.026,42.0,3.9,1.6830000000000007,0.039698866482558416,5576.0,0.065,0.026,7.3,3.6,11.501381256222816,4.78355160914512,0.343,0.084,G5IV,0.04216,0.00744019381467983,0.1080758677440229,0.0975125982657771,23.24011760026711,20.968642662872295,27.886130042128897,8.980535606167772,0.39009633584303693,0.07865274539811892,1,1,0,0,0,1,
25,Kepler-32 f,Kepler-32,f,0.013,,0.0,,0.82,0.07,0.07,0.0015,,0.073,0.07,0.07,0.477,,0.53,0.04,1.0427938134483052,0.987789592319205,1.0427938134483052,0.8190791074592697,0.35938354077079665,0.8190791074592697,952,-1,-1,-1,mcq13,323.847,3.4025,0.58,0.05,16.36,0.549,12.757,0.024,36.22,0.256,3.6029999999999998,0.5495243397703145,3900.0,-1.292,0.074,2.69,3.46,34.733616111729596,27.28097069751729,0.0,0.4,M1 V,0.013,0.0,0.08194965031288606,0.17442911434933883,17.622060783107308,37.50840233816457,28.833213511419455,17.114239478680982,0.1586339898994765,0.027670386363867646,0,1,0,0,0,0,
26,Kepler-423 b,Kepler-423,b,0.03585,0.00114,0.019,0.028,13.361,0.583,0.583,0.595,0.081,1.192,0.583,0.583,189.101,25.743,0.95,0.04,1.9171610355990818,1.1599348416865962,1.9171610355990818,0.8090070644585551,0.6094487108818433,0.8090070644585551,-1,-1,-1,-1,nasa,758.753,12.76,0.85,0.04,14.462,0.126,12.779,0.031,22.05,0.12,1.6829999999999998,0.12975746606650423,5560.0,-0.018,0.079,11.0,2.0,11.501381256222816,4.852969927815001,-0.1,0.05,G4 V,0.03516885,0.0015027637191521493,0.0937432282642391,0.09508761962456974,20.158095369167988,20.447186856167363,28.37305285420253,9.047600065266286,0.37516149860838655,0.039109583608140625,3,3,0,0,0,3,
27,KOI-142 c,KOI-142,c,0.154121,,0.05724,0.00045,14.0,,,0.674,0.016,1.25,,,214.1,5.2,0.9,0.02,2.5599573933489372,2.1784707705043966,2.5599573933489372,1.1052240067048054,1.3730521635609598,1.1052240067048054,142,-1,-1,-1,mcq13,376.863,2.01,0.99,0.02,13.209,0.126,11.454,0.019,30.689,0.383,1.754999999999999,0.1274244874425634,5466.0,-0.223,0.054,2.2,2.4,11.988090145458491,5.173519007948609,0.27,0.06,G6 V,0.14529911396,6.935445e-05,0.09992327881223265,0.09762529605718777,21.487023875679178,20.992876656828074,28.154553844707582,9.185516914171325,1.4541067475681395,0.14195929850435174,3,3,0,0,0,3,
28,G 264-012 b,G 264-012,b,0.02279,0.00061,,,1.39,,,0.00787,0.00094,0.124,,,2.5,0.3,0.3,0.01,1.2217996601648722,1.2362320536249591,1.2217996601648722,1.197603250669057,0.27262457769958465,1.197603250669057,-1,-1,-1,-1,nasa,16.009,0.0104,0.3,0.02,13.078,0.052,7.986,0.02,100.0,6.0,5.092,0.05571355310873648,3326.0,-1.972,0.005,,,81.84647881347895,80.07515733201666,0.1,0.19,M4.0 V,0.02279,0.00061,0.08486692915791318,0.2172011139038767,18.24937847063937,46.705888515193266,28.713498807421242,21.26835252224999,0.26853805394082664,0.05876797440578429,1,1,0,0,0,1,
29,EPIC 249893012 b,EPIC 249893012,b,0.047,0.007,0.06,0.08,1.95,0.09,0.09,0.02753,0.00343,0.174,0.09,0.09,8.75,1.09,1.71,0.04,3.4997244910945997,3.281019841437652,3.4997244910945997,1.700064760372673,2.3934688871757777,1.700064760372673,-1,-1,-1,-1,nasa,321.296,4.189,1.05,0.05,11.429,0.022,9.714,0.023,41.0,10.0,1.7149999999999999,0.0318276609256791,5430.0,0.356,0.008,9.0,0.6,11.715207898315601,4.921573910032001,0.2,0.05,G8 IV/V,0.04418,0.007578522283400637,0.10706599648615961,0.11011888045690861,23.022959715868158,23.679437280945134,27.9182598967289,10.248613992445955,0.4126426825505812,0.08411359196822671,2,2,0,0,0,2,
