index,pl-name,hostname,pl-letter,pl-orbsmax,e_pl_orbsmax,pl-orbeccen,e_pl_orbeccen,pl-rade,e_pl_rade,e_pl_rade,pl-bmassj,e_pl_bmassj,pl-radj,e_pl_rade,e_pl_rade,pl-bmasse,e_pl_bmasse,st-rad,e_st_rad,RoVK,RoM,Ro,e_RoVK,e_RoM,e_Ro,KOI,KIC,TIC,GAIA,r-Prot,sy-dist,e_sy_dist,st-mass,e_st_mass,sy-vmag,e_sy_vmag,sy-kmag,e_sy_kmag,Prot,e_Prot,VK-color,e_VK_color,st-teff,st-lum,e_st_lum,st-age,e_st_age,Tauc,e_Tauc,st-met,e_st_met,st-spectype,rperi,e_rperi,RA,e_RA,RASun,e_RASun,LX,e_LX,ASHC,e_ASHC,mass-class,rad-class,habitable,CHZ,OHZ,size-class,n-size_class
895,Kepler-1002 b,Kepler-1002,b,0.0564,,0.0,,1.71,0.06,0.06,0.0112,,0.153,0.06,0.06,3.57,,1.57,0.05,0.6372270978673272,0.6992624954871657,0.6372270978673272,0.24489872095495718,0.5908121176157197,0.24489872095495718,1890,-1,-1,-1,mcq13,408.303,,1.22,0.05,11.821,0.022,10.374,0.021,6.398,0.002,1.4469999999999992,0.0304138126514911,6144.0,0.501,,4.07,0.72,10.040376533598206,3.8587099729964693,0.04,0.07,,0.0564,0.0,0.07350502931323916,0.08730846808171729,15.806169879632856,18.774395321294964,29.20540683721957,8.482834544437637,0.7672944358630664,0.0669913017628298,2,2,0,0,0,2,
896,Kepler-1008 b,Kepler-1008,b,0.0951,,0.0,,1.28,0.07,0.07,0.00687,,0.114,0.07,0.07,2.18,,0.78,0.03,1.3488484653045458,1.0105834045824222,1.3488484653045458,0.665604104156647,0.49837748672961135,0.665604104156647,1904,-1,-1,-1,mcq13,282.565,1.284,0.81,0.03,13.59,0.057,11.378,0.012,21.036,0.042,2.2119999999999997,0.0582494635168428,5066.0,-0.507,0.019,6.76,5.15,15.595525028269538,7.6957202862299585,-0.01,0.102,,0.0951,0.0,0.08674106579562488,0.1104726389450719,18.652383847959584,23.7555078139755,28.63874290529517,10.67930783937644,1.0963665148416557,0.12111850214556903,1,1,0,0,0,1,
897,GJ 849 b,GJ 849,b,2.32,0.13,0.029,0.019,13.9,,,0.893,0.097,1.24,,,283.82077,30.82936,0.45,0.07,0.5793200052561486,0.7747177847835941,0.5793200052561486,0.539357876561089,0.25865639423052456,0.539357876561089,-1,-1,-1,-1,nasa,8.80058,0.003615,0.45,0.07,10.41,0.1,5.594,0.017,40.45,0.19,4.816,0.10143470806385751,3467.0,-1.59,0.13,3.0,,69.82324040771711,65.00592944174046,0.09,0.09,M3.5,2.2527199999999996,0.13370512069475873,0.07197493782547619,0.20663755774323475,15.477146325558772,44.43435193098738,29.277400572271215,20.598475022237306,31.298672399861786,6.728983743142944,3,3,0,0,0,3,
898,Kepler-1756 b,Kepler-1756,b,0.0319,,0.0,,1.472,,,0.00871,,0.131,,,2.77,,0.81,0.06,1.9835763083656976,1.4449236931613179,1.9835763083656976,1.048553869858159,0.7167853576003758,1.048553869858159,1590,-1,-1,-1,mcq13,,,0.78,0.05,15.736,0.183,13.452,0.044,32.244,3.861,2.2840000000000007,0.1882153022471871,4915.0,-0.459,,13.7,3.8,16.25548755750485,8.369577999772531,0.16,0.15,,0.0319,0.0,0.09445079281919992,0.11827987834462683,20.310246666310633,25.434339227190133,28.347317699704664,11.32367726137207,0.3377420035114346,0.03994808308720301,1,1,0,0,0,1,
899,TOI-237 b,TOI-237,b,0.0341,0.001,0.0,,1.44,0.12,0.12,0.00839,,0.128,0.12,0.12,2.67,,0.21,0.01,1.0002306806084105,0.8680728468008635,1.0002306806084105,1.0740705868000213,0.23509203845610324,1.0740705868000213,-1,-1,-1,-1,nasa,38.0749,0.2292,0.18,0.0,16.37,0.2,10.896,0.025,102.0,22.0,5.474,0.20155644370746376,3212.0,-2.387,0.011,4.5,,101.97647600447173,107.27300028630836,,,M4.5 V,0.0341,0.001,0.08119906077062825,0.23784035119884633,17.460657598513706,51.144051371780094,28.864704508555505,23.422623667246857,0.41995559648560404,0.10063876266637171,1,1,0,0,0,1,
900,TOI-1789 b,TOI-1789,b,0.04882,0.0016,,,16.141,2.69,2.69,0.7,0.16,1.44,2.69,2.69,222.47988,50.85255,2.17,0.04,1.6289196128342802,,1.6289196128342802,,,,-1,-1,-1,-1,nasa,229.067,2.388,1.51,0.14,9.721,0.004,8.345,0.018,15.7,,1.3759999999999994,0.018439088914585774,5991.0,0.736,0.012,2.73,1.3,9.638290236239703,3.615403640182753,0.373,0.086,F,0.04882,0.0016,0.0904307913067427,,19.44580477143698,,28.496173412229176,,0.5398603649768117,,3,3,0,0,0,3,
901,Kepler-1096 b,Kepler-1096,b,0.034,,0.0,,1.24,0.37,0.37,0.00651,,0.111,0.37,0.37,2.07,,0.63,0.03,0.5627886627422243,0.47731967921347485,0.5627886627422243,0.35474063812598117,0.18833746510288926,0.35474063812598117,2101,-1,-1,-1,mcq13,377.976,4.1455,0.66,0.03,15.438,0.114,12.384,0.023,14.251,0.006,3.0540000000000003,0.11629703349613008,4306.0,-0.84,,3.8,5.3,25.32211635280831,15.961198767034464,-0.1,0.132,,0.034,0.0,0.0715163167044525,0.14077019730812151,15.378526633586453,30.270549830810666,29.299277915680364,13.95661609200388,0.47541598290790066,0.0669244017173797,1,1,0,0,0,1,
902,Kepler-1120 b,Kepler-1120,b,0.0369,,0.0,,1.38,0.09,0.09,0.0078,,0.123,0.09,0.09,2.48,,0.74,0.04,1.764685389008414,1.3154165143610383,1.764685389008414,0.9235565595710303,0.6264741381064022,0.9235565595710303,2146,-1,-1,-1,mcq13,615.231,8.8545,0.78,0.04,15.494,0.206,13.17,0.026,29.354,0.014,2.324,0.20763429389192914,4904.0,-0.588,,4.68,6.11,16.634126503701697,8.705546247375272,-0.04,0.163,,0.0369,0.0,0.09204347899607664,0.11705133607865911,19.792589417583823,25.170159375258596,28.435677723002577,11.245878972230916,0.4008974932550395,0.046925587216087604,1,1,0,0,0,1,
903,HD 62364 c,HD 62364,c,36.984,2.957,0.773,0.009,12.0,,,24.93,2.922,1.07,,,7923.46219,928.69461,1.4,0.02,1.5009908184605514,1.452569883825163,1.5009908184605514,0.5635661896862807,1.2507391277766786,0.5635661896862807,-1,-1,-1,-1,nasa,53.112,0.0743,1.19,0.16,7.32,0.03,6.001,0.024,14.0,1.0,1.319,0.03841874542459709,6255.0,0.433,0.006,3.901,0.699,9.32717231032679,3.43805012334613,-0.11,0.02,F7 V,8.395368,0.749236218997053,0.08881230835827239,0.08489487848081878,19.097773940488068,18.255388559336623,28.557981025341107,8.10270536594652,94.52932994526783,11.64347801819347,3,3,0,0,0,3,
904,TOI-544 b,TOI-544,b,0.0225,0.0002,0.0,,2.018,0.076,0.076,0.00909,0.00151,0.18,0.076,0.076,2.89,0.48,0.62,0.01,0.7983741554382753,0.6003679083935608,0.7983741554382753,0.49041064335377005,0.22355319553667685,0.49041064335377005,-1,-1,-1,-1,nasa,41.1166,0.0736,0.63,0.02,10.777,0.017,7.8,0.02,19.34,0.08,2.9769999999999994,0.026248809496813377,4169.0,-0.9,0.036,9.0,7.0,24.224231042878785,14.879679260883908,-0.17,0.09,,0.0225,0.0002,0.07725668629421646,0.1370309656038007,16.612908250129053,29.46648333236824,29.03503955006149,13.477893774609331,0.29123692820985486,0.03999235326663533,1,2,0,0,0,1,
905,WASP-92 b,WASP-92,b,0.0348,0.00036,0.0,,16.376,0.863,0.863,0.805,0.068,1.461,0.863,0.863,255.85315,21.61244,1.34,0.06,1.0116481008103437,1.0448127664370994,1.0116481008103437,0.466626662513387,0.8914820112755677,0.466626662513387,-1,-1,-1,-1,nasa,575.889,6.527,1.19,0.04,12.951,0.057,11.519,0.018,10.07,2.58,1.4320000000000004,0.05977457653551383,6280.0,0.275,0.01,2.29,6.8,9.954054173515273,3.817913646455595,0.0,0.14,F7,0.0348,0.00036,0.08140280964386039,0.10355060354928783,17.504470781545944,22.267026435206926,28.856127528657947,10.05826894933938,0.4275036715839538,0.04448861885374769,3,3,0,0,0,3,
906,Kepler-411 d,Kepler-411,d,0.279,0.004,0.128,0.003,3.319,0.104,0.104,0.04782,0.01605,0.296,0.104,0.104,15.2,5.1,0.82,0.02,0.6056204041137024,0.5741977662490583,0.6056204041137024,0.3154322535096326,0.310104199606644,0.3154322535096326,1781,-1,-1,-1,mcq13,153.676,0.455,0.87,0.04,12.448,0.069,10.062,0.023,10.44,0.002,2.386000000000001,0.07273238618387273,4987.0,-0.579,0.02,0.212,0.031,17.238520910269624,8.97853687417716,0.11,0.1,K2 V,0.24328800000000003,0.0035870200724278083,0.07268398966652137,0.11686381574406159,15.629617441586312,25.129835899542353,29.24384993974198,11.510779237305861,3.347202060814498,0.39426765054269514,3,3,0,0,0,3,
907,WASP-173 A b,WASP-173 A,b,0.0248,0.0006,0.0,,13.451,0.673,0.673,3.69,0.18,1.2,0.673,0.673,1172.7927,57.2094,1.11,0.05,0.9186317680205905,0.6213931480186188,0.9186317680205905,0.35985636134764515,0.4475320913901914,0.35985636134764515,-1,-1,77031414,-1,mar20,232.98,1.79,1.05,0.08,11.15,0.036,10.002,0.05,7.765,1.37,1.1479999999999997,0.06161168720299746,5800.0,0.083,0.06,6.78,2.93,8.452788451602897,2.9563562243543617,0.16,0.14,G3,0.0248,0.0006,0.07968755873979715,0.08856116414835495,17.135631432332403,19.043769090978728,28.92901266690888,8.563995816516877,0.31121545686923535,0.02857155800381215,3,3,0,0,0,3,
908,K2-290 c,K2-290,c,0.305,0.017,0.0,,11.276,0.56,0.56,0.774,0.047,1.006,0.56,0.56,246.00042,14.93801,1.51,0.07,0.5728138740337511,0.6878955949829164,0.5728138740337511,0.2455799305953914,0.5701989710214957,0.2455799305953914,-1,-1,-1,-1,nasa,272.909,3.824,1.19,0.08,11.114,0.013,9.42,0.019,6.63,0.66,1.6940000000000008,0.023021728866442676,6302.0,0.42,0.008,4.0,1.6,11.574440320922378,4.8266369751297615,-0.06,0.1,,0.305,0.017,0.07179567367342762,0.09697284816107166,15.438598219842998,20.852577382343423,29.285935267996937,9.489043973483096,4.248166837842263,0.47515750885852814,3,3,0,0,0,3,
909,TOI-4438 b,TOI-4438,b,0.0534,0.0037,0.14,0.09,2.52,0.13,0.13,0.01699,0.00346,0.225,0.13,0.13,5.4,1.1,0.37,0.02,0.9710887272556628,1.035308817232291,0.9710887272556628,0.9076244088109986,0.26431189293991236,0.9076244088109986,-1,-1,-1,-1,nasa,30.0346,0.0233,0.37,0.02,13.69,0.045,8.869,0.018,68.0,6.0,4.821,0.04846648326421053,3422.0,-1.768,0.002,5.1,2.8,70.024497341423,65.15583212595742,-0.19,0.05,M3.5 V,0.045924,0.0057639188058125875,0.08067066848645513,0.2072280622052705,17.34703464938003,44.561331185724406,28.88704829931239,20.402678700708236,0.5692775436429015,0.1379205901162334,2,3,0,0,0,2,
910,TOI-238 c,TOI-238,c,0.0749,0.0013,0.36,,2.18,0.18,0.18,0.02108,0.00346,0.194,0.18,0.18,6.7,1.1,0.73,0.02,1.7277199495602278,1.1926207136261238,1.7277199495602278,0.8391470544728001,0.5711587680300529,0.8391470544728001,-1,-1,-1,-1,nasa,80.5407,0.2672,0.79,0.02,10.748,0.013,8.598,0.021,26.0,1.3,2.1499999999999986,0.02469817807045694,5059.0,-0.471,0.013,4.3,3.8,15.048735188025129,7.27028088503528,-0.114,0.051,K2V,0.047936,0.000832,0.09161424419745089,0.10883877823885392,19.70028881980545,23.404170223562666,28.45167518195202,10.442542748327702,0.5232374116047533,0.05766809066375658,2,2,0,0,0,2,
911,GJ 900 b,GJ 900 A,b,12000.0,,,,12.4,,,11.0,,1.11,,,3496.11248,,0.72,0.02,0.3540356218068242,1.00916681607335,0.3540356218068242,,,,-1,-1,-1,-1,nasa,20.8065,0.0357,1.08,,9.59,0.1,6.044,0.018,11.9,,3.5460000000000003,0.10160708636704431,3976.0,-0.921,0.38,0.2,0.1,33.61243690470534,23.92004095975495,-0.63,0.88,K7,12000.0,,0.06455924710054275,,13.882511666294661,,29.649537094598237,,185875.77363335012,,3,3,0,0,0,3,
912,GJ 436 b,GJ 436,b,0.0291,0.0015,0.13827,0.00018,4.17,0.168,0.168,0.07,0.007,0.372,0.168,0.168,22.1,2.3,0.46,0.02,0.7162919968906954,0.8930198219418705,0.7162919968906954,0.6393953015225563,0.30436754742174527,0.6393953015225563,-1,-1,-1,-1,nasa,9.75321,0.00898,0.47,0.07,10.67,0.1,6.073,0.016,44.09,0.08,4.5969999999999995,0.10127191120937731,3586.11,-1.585,0.023,6.0,5.0,61.553109892875206,54.9450337611979,0.099,0.078,M2.5 V,0.025076343,0.0012926056129651457,0.0754280328749577,0.1981096217209525,16.219683366528205,42.600545363597085,29.117022035463442,19.641175731942337,0.33245389073808673,0.06805526548853254,3,3,0,0,0,3,
913,HATS-72 b,HATS-72,b,0.066517,8.5e-05,0.013,,8.097,0.036,0.036,0.1254,0.0039,0.722,0.036,0.036,39.85588,1.23954,0.72,0.0,2.55738675379714,1.9390875206204552,2.55738675379714,1.3997401139968975,0.8389763943354932,1.3997401139968975,-1,-1,-1,-1,nasa,127.589,0.614,0.73,0.0,12.324,0.046,9.764,0.021,48.73,0.02,2.5600000000000005,0.050566787519082126,4656.1,-0.659,0.004,12.17,0.45,19.054607179632484,10.429197104247635,0.099,0.014,,0.06565227900000001,8.389500000000001e-05,0.09990111501498802,0.12267018483643463,21.48225787874401,26.378409733406095,28.155313051617792,11.645208787199735,0.6571726350616837,0.08061986253631655,3,3,0,0,0,3,
914,K2-36 b,K2-36,b,0.02288,0.0001,0.093,,1.43,0.08,0.08,0.01353,0.0044,0.128,0.08,0.08,4.3,1.4,0.72,0.01,1.0611031724264366,0.7857535701698269,1.0611031724264366,0.5328800664959785,0.3729361541940159,0.5328800664959785,-1,-1,-1,-1,nasa,109.749,0.615,0.79,0.01,11.726,0.037,9.454001,0.025,17.13,0.1,2.271999000000001,0.04465422712353222,4916.0,-0.57,0.01,1.4,0.5,16.143576275272682,8.106665763176437,-0.03,0.04,K2 V,0.020752160000000002,9.070000000000001e-05,0.08226520206875468,0.11243197437504707,17.689915523193473,24.176833932021047,28.820060560861254,10.937261066400197,0.25225927218480537,0.028383429595631757,2,1,0,0,0,2,
915,GJ 806 c,GJ 806,c,0.0523,0.0011,,,2.28,,,0.01825,0.00094,0.203,,,5.8,0.3,0.41,0.0,0.8179944200120378,0.7077654217259883,0.8179944200120378,0.6948834219783946,0.21294450237229906,0.6948834219783946,-1,-1,-1,-1,nasa,12.0445,0.00435,0.41,0.01,10.79,0.1,6.533,0.016,41.4,6.8,4.256999999999999,0.10127191120937731,3600.0,-1.585,0.002,5.0,4.0,50.61159219080094,42.183051115118275,-0.28,0.07,M1.5 V,0.0523,0.0011,0.07767194189315395,0.18857498183822166,16.702202827678352,40.550262013796115,29.016693213870877,18.62727452442938,0.6733448234362962,0.12776332559160414,2,2,0,0,0,2,
916,WASP-5 b,WASP-5,b,0.0267,0.0012,0.038,0.026,12.184,0.796,0.796,1.58,0.13,1.087,0.796,0.796,502.15,41.32,1.03,0.07,1.521475679177122,1.0809833744435613,1.521475679177122,0.6071627762637111,0.7159620819300003,0.6071627762637111,-1,-1,-1,-1,nasa,309.137,3.414,0.96,0.13,12.147,0.046,10.598,0.023,16.2,0.4,1.5489999999999995,0.05142956348249516,5700.0,0.067,0.022,5.4,4.4,10.647557645326042,4.240892034941599,0.09,0.09,G5,0.0256854,0.0013470534510553022,0.08907852210455584,0.08999347785206371,19.155019271009852,19.351766978106557,28.547737682117067,8.608886861587226,0.28834560108498186,0.03003397762732545,3,3,0,0,0,3,
917,HAT-P-22 b,HAT-P-22,b,0.0414,0.0005,0.02,0.01,12.89,2.13,2.13,2.47,0.32,1.15,2.13,2.13,785.0401,101.7056,1.11,0.05,2.169611113172704,2.6732704435812638,2.169611113172704,0.9764780776067667,2.2866265731405586,0.9764780776067667,-1,-1,-1,-1,nasa,81.7647,0.2505,1.13,0.22,9.763,0.004,7.837,0.021,28.7,0.4,1.9260000000000002,0.021377558326431952,5302.0,-0.114,0.054,12.4,2.6,13.228177080099352,5.9507577117989054,0.24,,G5 V,0.040572,0.0006414795398140146,0.09633897263540916,0.10130841617846821,20.716271821557008,21.78487718887285,28.279574307104095,9.618068687657589,0.42113797656471846,0.04318128650699212,3,3,0,0,0,3,
918,TOI-1199 b,TOI-1199,b,0.04988,0.00091,0.03,0.029,10.514,0.28,0.28,0.239,0.02,0.938,0.28,0.28,75.96099,6.35657,1.45,0.03,2.065274752948504,2.556988860425314,2.065274752948504,0.9543265231191442,2.2653828442343684,0.9543265231191442,-1,-1,-1,-1,nasa,248.427,1.792,1.23,0.07,11.093,0.007,9.466,0.015,23.0,5.0,1.6270000000000007,0.01655294535724685,5710.0,0.304,0.002,4.2,0.2,11.136532786818746,4.540932688330681,0.44,0.04,,0.0483836,0.0016945735157850193,0.0952962901530036,0.10385208132010616,20.492058368390598,22.331854772873196,28.31681737275063,9.887751440215855,0.5077175609073279,0.05564527846980253,3,3,0,0,0,3,
919,Kepler-54 c,Kepler-54,c,0.0809,,0.0,,1.23,,,0.00661,0.00066,0.11,,,2.1,0.21,0.5,,0.9867642726855735,0.7890098351537455,0.9867642726855735,0.7540175454707954,,0.7540175454707954,886,-1,-1,-1,mcq13,271.701,2.9175,0.51,,16.282,0.423,12.648,0.021,34.891,0.081,3.6340000000000003,0.4235209557979392,3705.0,-1.301,0.076,13.8,3.6,35.3590021100387,27.018798385340286,-0.27,0.09,M1 V,0.0809,0.0,0.08095640423882267,0.16976336695009933,17.40847789870328,36.505102336833204,28.87494746218172,16.673522604699272,0.9993032763824802,0.1696450888029555,1,1,0,0,0,1,
920,Qatar-4 b,Qatar-4,b,0.02803,0.00048,0.0,,12.722,1.233,1.233,6.1,0.54,1.135,1.233,1.233,1938.763,171.6282,0.85,0.06,0.42462481889843523,0.3553492266764496,0.42462481889843523,,,,-1,-1,-1,-1,nasa,329.036,2.891,0.9,0.05,13.574,0.103,11.519,0.02,6.05,,2.0549999999999997,0.10492378186092988,5215.0,-0.318,0.075,0.17,0.01,14.247871840593193,6.73265359014783,0.103,0.081,K1 V,0.02803,0.00048,0.06720359015509675,,14.451138547078443,,29.512149455525947,,0.41709081219188693,,3,3,0,0,0,3,
921,Kepler-99 b,Kepler-99,b,0.050692,,0.0,,1.48,0.08,0.08,0.019,0.004,0.132,0.08,0.08,6.15,1.3,0.73,0.04,1.652908045107768,1.3552758309537483,1.652908045107768,0.9184391101171453,0.7044122351989837,0.9184391101171453,305,-1,-1,-1,mcq13,208.369,1.042,0.79,0.06,13.206,0.092,10.757,0.018,29.546,4.762,2.449,0.09374433316206372,4782.0,-0.585,0.029,1.47,,17.875162558164952,9.505333199083832,0.18,0.07,,0.050692,0.0,0.0907231663834465,0.12406780276009974,19.508675709305155,26.678946805966536,28.48512608074704,11.96061906311421,0.5587547483268765,0.06932347390668808,2,1,0,0,0,2,
922,Kepler-26 e,Kepler-26,e,0.22,,0.0,,2.41,0.15,0.15,0.0201,,0.215,0.15,0.15,6.39,,0.57,0.03,0.6420066583907804,0.5421575776976708,0.6420066583907804,0.4207251900745563,0.20107002162151402,0.4207251900745563,250,-1,-1,-1,mcq13,335.307,3.0565,0.62,0.03,15.853,0.035,12.63,0.026,17.918,0.005,3.222999999999999,0.043600458713183285,4486.0,-1.06,0.059,2.95,4.08,27.909367863741945,18.28979946131243,-0.05,0.111,M0 V,0.22,0.0,0.07362640858433846,0.14614238952149894,15.832270697451536,31.425760345574588,29.199760021297887,14.460703615599996,2.988058282755864,0.4366819774714487,2,2,0,0,0,2,
923,Kepler-26 c,Kepler-26,c,0.10725,0.00493,0.013,0.013,2.72,0.12,0.12,0.01951,0.00205,0.243,0.12,0.12,6.2,0.65,0.51,0.02,0.6420066583907804,0.4394338745593016,0.6420066583907804,0.4207251900745563,0.1435908862266853,0.4207251900745563,250,-1,-1,-1,mcq13,335.307,3.0565,0.54,0.03,15.853,0.035,12.63,0.026,17.918,0.005,3.222999999999999,0.043600458713183285,3914.0,-1.06,0.059,2.95,4.08,27.909367863741945,18.28979946131243,-0.13,0.13,M0 V,0.10585575,0.005061720378547199,0.07362640858433846,0.14614238952149894,15.832270697451536,31.425760345574588,29.199760021297887,14.460703615599996,1.4377415934765185,0.22107621886443032,2,3,0,0,0,2,
924,Kepler-50 c,Kepler-50,c,0.087,0.023,0.0,,2.17,0.08,0.08,0.0258,,0.194,0.08,0.08,8.2,,1.58,0.02,0.7968369870882593,0.8540110395000586,0.7968369870882593,0.30659285123551855,0.743496857546415,0.30659285123551855,262,-1,-1,-1,mcq13,250.11,1.876,1.24,0.05,10.544,0.007,9.197,0.019,7.553,0.755,1.3470000000000013,0.020248456731316585,6225.0,0.536,0.018,3.8,0.8,9.478726668549353,3.521828368273759,0.03,0.06,,0.087,0.023,0.07722381807801823,0.08717805689079636,16.60584042614852,18.746352322643574,29.03649590404817,8.4431137739828,1.1265954230870199,0.31361137745266104,2,2,0,0,0,2,
925,Kepler-450 b,Kepler-450,b,0.1993,,0.02,0.14,6.14,0.33,0.33,0.06104,0.03492,0.548,0.33,0.33,19.4,11.1,1.64,0.11,1.9385625061224083,2.157688807430578,1.9385625061224083,0.7742404083593795,1.9064302016023775,0.7742404083593795,279,-1,-1,-1,mcq13,455.982,5.189,1.19,0.2,11.991,0.029,10.429,0.017,20.796,0.016,1.5619999999999994,0.033615472627943226,6197.21,0.554,0.02,3.02,0.48,10.727536478355297,4.284451384120367,0.128,0.014,,0.195314,0.027902000000000003,0.09397328954291453,0.09021630520080268,20.20756664599686,19.39968270524663,28.36466394017616,8.56066139811449,2.078399095636707,0.35116424084707143,3,3,0,0,0,3,
926,Kepler-1130 d,Kepler-1130,d,0.050655,,0.0,,0.645,,,0.00063,,0.058,,,0.202,,0.84,0.09,2.186140334148393,1.7681212227823502,2.186140334148393,0.9602674204382949,1.071462377914363,0.9602674204382949,2169,-1,-1,-1,mcq13,249.343,1.802,0.94,0.07,12.509,0.046,10.662,0.016,27.633,0.201,1.8469999999999995,0.04870318264754368,5450.0,-0.26,0.014,13.8,4.0,12.640085162128617,5.551426600509845,0.1,0.15,,0.050655,0.0,0.09650055218786638,0.0989768197700283,20.75101711557397,21.283501850792344,28.273839023000182,9.38498262683256,0.5249192761237813,0.05195484058671722,0,0,0,0,0,0,
927,Kepler-62 d,Kepler-62,d,0.12,0.001,0.0,,1.95,0.07,0.07,0.044,,0.174,0.07,0.07,14.0,,0.64,0.02,2.415770040408471,1.4353723994157808,2.415770040408471,1.2314727164634451,0.5877979805628254,1.2314727164634451,-1,-1,-1,-1,arm15,300.874,1.219,0.69,0.02,13.965,0.092,11.659,0.021,39.77,0.44,2.305999999999999,0.09436630754670863,4925.0,-0.678,0.043,7.0,4.0,16.46265966328297,8.390095317492932,-0.37,0.04,K2 V,0.12,0.001,0.09865237891706943,0.11441216609330178,21.213735641790407,24.602644886528598,28.198362079105635,10.862467617184356,1.2163923598930757,0.1395387516063587,3,2,0,0,0,3,
928,Qatar-7 b,Qatar-7,b,0.0352,0.0002,0.0,,19.055,0.336,0.336,1.88,0.25,1.7,0.336,0.336,597.5204,79.4575,1.56,0.02,0.5465149059586004,,0.5465149059586004,0.22075814562082471,,0.22075814562082471,-1,-1,-1,-1,nasa,705.981,26.066,1.41,0.03,13.134,0.069,11.561,0.02,5.9,0.2,1.5730000000000004,0.07184010022264724,6387.0,0.563,0.016,1.69,0.25,10.79567992688371,4.34540297251521,0.276,0.071,F4 V,0.0352,0.0002,0.07105447125455142,0.09168943140932477,15.279213597356463,19.716456718175916,29.321451307163912,8.951488028043277,0.4953945807843198,0.045509575950422085,3,3,0,0,0,3,
929,TOI-700 b,TOI-700,b,0.0677,0.0011,0.075,0.093,0.914,0.053,0.053,0.00222,,0.082,0.053,0.053,0.704,,0.42,0.02,0.918636632546387,0.9499697141375922,0.918636632546387,0.8064390591409468,0.2487718711661176,0.8064390591409468,-1,-1,-1,-1,nasa,31.1265,0.0206,0.42,0.02,13.151,0.069,8.634,0.023,54.0,0.8,4.5169999999999995,0.07273238618387273,3459.0,-1.64,0.047,1.5,,58.78276359425852,51.59598912513611,-0.07,0.11,M2.5 V,0.0626225,0.0063777881322602745,0.0796876519122966,0.19476376265535636,17.135651467700978,41.881067835620684,28.929008665329278,19.191070328933737,0.7858494822876908,0.17271771358696936,1,1,0,0,0,1,
930,HIP 65 A b,HIP 65 A,b,0.01782,0.00021,0.0,,22.754,6.837,6.837,3.213,0.078,2.03,6.837,6.837,1021.18779,24.79074,0.72,0.01,0.6363537424627908,0.5923721095366412,0.6363537424627908,0.374222972139159,0.29186692320739127,0.374222972139159,-1,-1,201248411,-1,mar20,61.7856,0.0806,0.78,0.03,11.0,0.03,8.29,0.025,13.219,1.859,2.710000000000001,0.03905124837953328,4590.0,-0.678,0.018,4.1,4.3,20.77303725572565,11.861636328473105,0.18,0.08,K4 V,0.01782,0.00021,0.07348277342525361,0.13146239798171772,15.801384079945294,28.269045189111647,29.20644323892388,12.97974902389459,0.24250581693308612,0.0320082295079902,3,3,0,0,0,3,
931,HD 5278 b,HD 5278,b,0.1202,0.0013,0.08,0.09,2.45,0.05,0.05,0.02454,0.00472,0.219,0.05,0.05,7.8,1.5,1.19,0.02,1.7846755823057465,1.5648412352670815,1.7846755823057465,,,,-1,-1,-1,-1,nasa,57.5846,0.0947,1.13,0.04,7.94,0.03,6.605,0.027,16.8,,1.335,0.04036087214122113,6203.0,0.28,0.015,3.0,1.1,9.413475573131848,3.488856227256202,-0.12,0.04,F V,0.110584,0.01088391198053347,0.09227268906625573,,19.84187765460954,,28.42716565721824,,1.1984477868700236,,2,2,0,0,0,2,
932,KOI-12 b,KOI-12,b,0.154,0.004,0.34,0.08,13.787,0.673,0.673,1.1,3.5,1.23,0.673,0.673,349.613,1112.405,1.4,0.07,0.1368262270093489,,0.1368262270093489,0.051503215436602315,,0.051503215436602315,12,-1,-1,-1,mcq13,399.398,4.396,1.5,0.1,11.51,0.014,10.234,0.018,1.245,0.124,1.2759999999999998,0.022803508501982758,6635.0,0.626,0.03,1.45,0.43,9.099132726322514,3.3029620348170368,0.081,0.009,,0.10163999999999998,0.01259968253568319,0.052335343702219136,0.08733260727485267,11.253941954652843,18.779586097912837,30.36794413592999,8.644437175540705,1.9420910002677638,0.2944943442993915,3,3,0,0,0,3,
933,Kepler-1017 b,Kepler-1017,b,0.0702,,0.0,,1.99,0.29,0.29,0.0145,,0.178,0.29,0.29,4.62,,0.87,0.03,2.4163222567375744,1.9942787157355264,2.4163222567375744,1.1401655985798933,1.1989081829621917,1.1401655985798933,1923,-1,-1,-1,mcq13,552.058,4.557,0.93,0.04,14.315,0.092,12.396,0.03,31.835,4.3,1.9189999999999987,0.09676776322722355,5473.0,-0.161,,2.95,2.41,13.17498107350234,5.956599282321428,0.04,0.105,,0.0702,0.0,0.09865735768187854,0.10618971595659743,21.214806251558187,22.83452854262897,28.198189361113485,10.05472096980495,0.7115536200184934,0.07555967679765248,2,2,0,0,0,2,
