,TIC,Teff,Tmag,Rvar,Period,Half-period flag,Adjusted period,Sectors in measurement,Period sigma,Period SEM,Period MAD,Period from 2-term LS,Period from ACF,Visual inspection flag
2950,92845906.0,6058.21,10.3276,0.033475875362865753,2.0983495699139825,0,2.0983495699139825,2,0.015002500500099991,0.015002500500099991,0.015002500500099991,2.092348569713942,2.086111111111111,X
2951,56096903.0,5831.0,8.32961,0.0036658863140352,3.271545109021804,0,6.543090218043608,1,0.0,0.0,0.0,6.530088217643528,3.2749999999999995,X
2952,432614346.0,6362.0,8.333,0.0535420418673475,3.547591118223644,0,3.547591118223644,1,0.0,0.0,0.0,3.5535921184236843,3.544444444444444,X
2953,396831938.0,5574.0,9.15111,0.0047954859536868,9.638606321264252,0,9.638606321264252,1,0.0,0.0,0.0,8.14435727145429,12.045833333333333,X
2954,192852713.0,6163.58,9.6464,0.01078714551152115,8.52842128425685,0,8.52842128425685,1,0.0,,0.0,8.66044328865773,8.29722222222222,X
2955,408191403.0,5900.8,8.6664,0.014347245361104849,5.611935187037408,0,5.611935187037408,1,0.0,,0.0,5.593932186437288,5.565277777777777,X
2956,382268018.0,5973.0,8.6542,0.0401776494580389,1.0571760352070412,0,1.0571760352070412,1,0.0,0.0,0.0,1.0571760352070412,1.0555555555555554,X
2957,43452208.0,6608.0,10.6454,0.0088960918690248,7.724287257451489,0,7.724287257451489,1,0.0,0.0,0.0,7.32822124424885,7.315277777777777,X
2958,146344682.0,6409.0,9.55628,0.0091966483385084,2.575429085817163,0,2.575429085817163,1,0.0,0.0,0.0,5.149858171634326,2.5388888888888888,X
2959,219164441.0,6548.0,9.41278,0.0061829611202824,4.141690138027605,0,4.141690138027605,1,0.0,,0.0,8.318386277255449,16.40138888888889,X
2960,283630171.0,6246.0,9.68279,0.0337079445480911,2.419403080616123,0,4.838806161232246,1,0.0,0.0,0.0,2.407401080216043,2.3888888888888884,X
2961,32605415.0,5955.6,9.3682,0.0036459836598361998,2.731455091018203,1,2.731455091018203,1,0.0,,0.0,5.437906181236247,5.441666666666666,X
2962,416803897.0,6287.0,9.60402,0.0503068196911695,5.113852170434087,0,5.113852170434087,1,0.0,0.0,0.0,5.113852170434087,5.038888888888888,X
2963,262258341.0,5925.0,9.8733,0.0092806230958722,4.753792158431686,0,4.753792158431686,1,0.0,0.0,0.0,9.49458231646329,4.7875,X
2964,139575826.0,6181.0,8.54316,0.0264594290363033,12.747124424884976,0,12.747124424884976,1,0.0,0.0,0.0,13.095182436487296,13.081944444444442,L
2965,34107984.0,6216.0,9.8217,0.0120168076713138,5.293882176435287,0,5.293882176435287,1,0.0,0.0,0.0,5.251875175035007,5.254166666666666,X
2966,270575582.0,6480.0,8.9931,0.0179511303636711,5.773962192438487,0,5.773962192438487,2,0.036006001200240334,0.036006001200240334,0.036006001200240334,11.528921384276853,5.725694444444444,X
2967,117776050.0,6589.0,9.2448,0.0101444804473868,7.094182236447288,1,7.094182236447288,1,0.0,0.0,0.0,14.223370474094816,13.974999999999998,X
2968,140288709.0,6528.65,8.28095,0.01273345119074915,6.650108221644327,0,13.300216443288654,1,0.0,,0.0,13.149191438287655,6.62361111111111,X
2969,242883417.0,4798.0,8.6373,0.0264848323975254,2.9474910982196434,0,2.9474910982196434,1,0.0,0.0,0.0,5.887981196239248,2.9166666666666665,X
2970,381458908.0,6249.0,8.8118,0.0161959725066954,7.91031826365273,0,7.91031826365273,1,0.0,0.0,0.0,7.83830626125225,7.7541666666666655,X
2971,165212654.0,6125.0,8.9936,0.0085294802997352,6.299049709941988,0,12.598099419883976,2,0.10501750350070038,0.10501750350070038,0.10501750350070038,9.494582316463292,6.320138888888888,X
2972,24697724.0,5758.74,10.2142,0.0410769431762334,3.142523604720944,0,3.142523604720944,2,0.003000500100020176,0.003000500100020176,0.003000500100020176,3.1455241048209643,3.1125,X
2973,167699908.0,6107.01,9.9075,0.02117503671112595,0.769128025605121,0,0.769128025605121,1,0.0,,0.0,0.769128025605121,0.7749999999999999,X
2974,20096356.0,6235.0,9.60461,0.046781496855438795,0.781130026005201,0,0.781130026005201,1,0.0,,0.0,1.5672610522104415,0.7819444444444443,X
2975,459937608.0,6017.17,9.6823,0.0122868774482227,4.249708141628326,0,4.249708141628326,1,0.0,0.0,0.0,4.375729145829165,4.312499999999999,X
2976,77745998.0,5978.0,9.42308,0.0135740558745293,5.899983196639328,0,5.899983196639328,1,0.0,0.0,0.0,5.947991198239647,5.918055555555555,X
2977,255547254.0,6137.0,9.7069,0.026675206161272398,5.185864172834567,0,5.185864172834567,2,0.08401400280056048,0.08401400280056048,0.08401400280056048,7.75129175835167,4.885416666666666,X
2978,189012354.0,6136.0,8.4472,0.0060309008077905,5.791965193038608,0,5.791965193038608,1,0.0,0.0,0.0,11.654942388477696,5.74861111111111,X
2979,7491678.0,6240.0,10.0859,0.0434160873768868,4.639773154630927,0,4.639773154630927,2,0.042007001400280686,0.042007001400280686,0.042007001400280686,9.28154680936187,4.5770833333333325,X
2980,13255986.0,6064.0,8.49337,0.0081186667597804,5.371895179035807,0,5.371895179035807,1,0.0,0.0,0.0,10.724787357471492,5.362499999999999,X
2981,262300115.0,5991.0,8.9408,0.0134903734550732,1.2612100420084014,0,1.2612100420084014,1,0.0,0.0,0.0,1.2672110422084415,6.3583333333333325,X
2982,121589312.0,6539.08,7.2928,0.0075942049146591,6.578096219243848,0,6.578096219243848,1,0.0,0.0,0.0,6.698116223244648,6.590277777777777,X
2983,170803144.0,6416.0,8.7146,0.0041118921885797,11.138856371274253,0,11.138856371274253,1,0.0,0.0,0.0,10.616769353870772,10.54722222222222,X
2984,192804854.0,6433.0,10.8244,0.010831972368434101,6.014002200440088,0,6.014002200440088,1,0.0,,0.0,11.984997399479894,5.959722222222221,X
