,pl-name,hostname,pl-letter,pl-orbsmax,e_pl_orbsmax,pl-orbeccen,e_pl_orbeccen,pl-rade,e_pl_rade,pl-bmassj,e_pl_bmassj,pl-radj,pl-bmasse,e_pl_bmasse,st-rad,e_st_rad,RoVK,RoM,Ro,e_RoVK,e_RoM,e_Ro,KOI,KIC,TIC,GAIA,r-Prot,sy-dist,e_sy_dist,st-mass,e_st_mass,sy-vmag,e_sy_vmag,sy-kmag,e_sy_kmag,Prot,e_Prot,VK-color,e_VK_color,st-teff,st-lum,e_st_lum,st-age,e_st_age,Tauc,e_Tauc,st-met,e_st_met,st-spectype,rperi,e_rperi,RA,e_RA,RASun,e_RASun,LX,e_LX,ASHC,e_ASHC,mass-class,rad-class,habitable,CHZ,OHZ,size-class,n-size_class,st-flux,st-spectype-ltr,st-spectype-num,st-lumiclass,st-spectype-val,st-spectype-str
21,K2-77 b,K2-77,b,0.076,0.002,0.14,0.22,2.3,0.16,1.9,,0.205,603.877,,0.76,0.03,1.1230916290837452,0.9295338083775304,1.1230916290837452,0.6136289855871326,0.5338953908351064,0.6136289855871326,-1,-1,-1,-1,nasa,141.731,0.874,0.8,0.12,12.224,0.057,9.799,0.018,19.8,2.9,2.4250000000000007,0.0597745765355138,4970.0,-0.5,0.037,0.85,0.45,17.62990613344121,9.279990566115435,0.29,0.06,,0.06536,0.0168082360764001,0.0833029846336751,0.1220436918616402,17.913075321543488,26.24369168104267,28.77715637636618,11.881677027612213,0.7846057411678654,0.2233412488955608,3,2,0,0,0,3,,-16.530986437934583,,,,,
22,WASP-121 b,WASP-121,b,0.02596,0.00063,0.0,,19.649,0.404,1.157,0.07,1.753,367.72747,22.24799,1.46,0.03,0.1343007517003831,,0.1343007517003831,,,,-1,-1,-1,-1,nasa,269.898,1.58,1.36,0.08,10.514,0.006,9.374,0.022,1.13,,1.1399999999999988,0.0228035085019827,6776.0,0.644,0.021,1.5,1.0,8.413951416451946,2.9221722787862525,0.13,0.09,F6 V,0.02596,0.00063,0.0521205041846254,,11.207743892511097,,30.382022315760093,,0.4980765325684952,,3,3,0,0,0,3,,-15.946456067944133,F,6.0, V,36.0,F6  V
23,WASP-77 A b,WASP-77 A,b,0.02335,0.00045,0.0074,0.0069,13.787,0.347,1.667,0.068,1.23,529.81995,21.61233,0.91,0.03,1.1892433204851778,0.9045253042673262,1.1892433204851778,0.5297641331624717,0.5217586332290856,0.5297641331624717,-1,-1,-1,-1,nasa,105.166,1.209,0.9,0.07,10.294,0.007,8.405,0.031,15.4,0.4,1.889000000000001,0.0317804971641414,5617.0,-0.129,0.036,6.2,4.0,12.949410549320753,5.758671608175329,-0.1,0.11,G8 V,0.02317721,0.0004748390591821,0.0843623488475473,0.1000565018651776,18.140875934444555,21.515671523689196,28.7339077531658,9.672677843115723,0.2747340527690137,0.0280592575404283,3,3,0,0,0,3,,-15.90080744682394,G,8.0, V,28.0,G8  V
24,HD 143361 b,HD 143361,b,1.988,0.018,0.197,0.006,12.9,,4.35,1.2,1.15,1382.55357,381.39409,0.92,0.04,3.591280194115673,2.8613454308298234,3.591280194115673,,,,-1,-1,-1,-1,nasa,68.5146,0.2971,0.97,0.03,9.2,0.03,7.488,0.018,42.0,,1.7119999999999989,0.0349857113690718,5507.0,-0.092,0.033,2.942,2.749,11.6949939101987,4.909197848240713,0.14,0.06,G6 V,1.596364,0.0187402054417767,0.1076782357314181,,23.154612714417357,,27.89874504212889,,14.825317197635105,,3,3,0,0,0,3,,-15.491622988400131,G,6.0, V,26.0,G6  V
25,HATS-74 A b,HATS-74 A,b,0.02384,0.00011,0.044,,11.568,0.235,1.46,0.14,1.032,464.02947,44.49598,0.58,0.01,0.0648550217961739,0.1364877296170563,0.0648550217961739,,,,-1,-1,-1,-1,nasa,299.389,7.188,0.6,0.01,17.26,0.2,12.361,0.031,4.75,,4.899000000000001,0.2023882407651195,3776.9,-1.216,0.011,11.0,5.1,73.24028068216951,69.64757500276657,0.514,0.033,,0.02279104,0.00010516,0.0443819149528923,,9.54367468298505,,30.93209692667397,,0.5135208794886554,,3,3,0,0,0,3,,-17.896528414572764,,,,,
26,WASP-4 b,WASP-4,b,0.0226,0.0008,0.0,,14.807,0.437,1.186,0.098,1.321,376.94638,31.14734,0.89,0.03,1.8711257455987729,1.1941997459368052,1.8711257455987729,0.8399790510685237,0.6943511685963731,0.8399790510685237,-1,-1,-1,-1,nasa,267.206,3.771,0.86,0.09,12.483,0.041,10.746,0.021,22.2,3.3,1.737,0.046065171225124,5400.0,-0.179,0.021,7.0,,11.864515280289648,5.025704504181427,-0.07,0.19,G8,0.0226,0.0008,0.0932414942265323,0.100901383705556,20.05020488183016,21.697350873007316,28.39141963187713,9.631327554255506,0.2423813580796203,0.0259179508530156,3,3,0,0,0,3,,-16.76074914686235,G,8.0,,28.0,G8 
27,WASP-41 b,WASP-41,b,0.04022,0.00044,0.0,,12.33,0.56,0.85,0.11,1.1,270.1555,34.9613,0.83,0.04,1.3686858850705377,0.8844286213330667,1.3686858850705377,0.6216173118378026,0.5286087557900989,0.6216173118378026,-1,-1,-1,-1,nasa,163.371,1.067,0.81,0.15,11.632,0.018,9.677,0.019,18.41,0.05,1.955,0.0261725046566048,5545.0,-0.195,0.004,1.2,1.1,13.450858375039944,6.108879339184104,0.06,,,0.04022,0.00044,0.0870211391978438,0.1019261548201618,18.7126094925937,21.917712751324142,28.62771021542426,9.825223879639758,0.462186548817285,0.0473794663926257,3,3,0,0,0,3,,-16.34940667000655,,,,,
28,HD 25015 b,HD 25015,b,6.248,0.486,0.341,0.085,12.5,,9.077,1.823,1.12,2884.92845,579.40119,0.83,0.04,0.9495960695449536,0.7315818263396644,0.9495960695449536,0.4748213523592204,0.4352687073578293,0.4748213523592204,-1,-1,-1,-1,nasa,37.433,0.0689,0.86,0.1,8.87,0.03,6.806,0.026,13.6,2.3,2.063999999999999,0.0396988664825584,5160.0,-0.384,0.001,4.0,3.41,14.321878992735424,6.739258694707024,0.04,0.04,K2 V,4.117432,0.6201785238751824,0.0802729972078613,0.1120133407373071,17.261521319959833,24.086812957167087,28.903961106857064,10.92180102320548,51.29286488877695,9.628064452856805,3,3,0,0,0,3,,-15.258566003739185,K,2.0, V,12.0,K2  V
29,HD 220689 b,HD 220689,b,3.396,0.084,0.054,0.061,13.7,,1.2,0.22,1.22,381.39409,69.92225,1.07,0.05,2.943730163060804,2.1871269795147588,2.943730163060804,,,,-1,-1,-1,-1,nasa,46.8778,0.1048,1.02,0.05,7.74,0.03,6.326,0.031,29.0,,1.4140000000000006,0.0431393092202459,5921.0,0.093,,4.586,2.487,9.851446428040353,3.748832131925958,-0.07,0.1,G3 V,3.212616,0.2218741436760939,0.1030532198835185,,22.16007143103978,,28.04899629107706,,31.174338886560093,,3,3,0,0,0,3,,-14.97699117886724,G,3.0, V,23.0,G3  V
30,WASP-69 b,WASP-69,b,0.04525,0.00053,0.0,,12.442,0.448,0.29,0.03,1.11,92.1707,9.5349,0.86,0.03,1.3168842227284978,1.6044404202714042,1.3168842227284978,0.6897435447709227,1.0973442309110912,0.6897435447709227,-1,-1,-1,-1,nasa,49.9605,0.132,0.98,0.14,9.873,0.006,7.459,0.024,23.07,0.16,2.414,0.0247386337537059,4700.0,-0.468,0.002,7.0,7.0,17.518624342085648,9.17491339790812,0.15,,K5,0.04525,0.00053,0.0862829523026594,0.1170794440646409,18.553873313896588,25.176203582104755,28.65686599295454,11.342404852013956,0.5244373169021163,0.0617073185487563,3,3,0,0,0,3,,-15.593310287435726,K,5.0,,15.0,K5 
