pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmax.1,pl_rade,pl_radeerr1,pl_radeerr2,pl_rade.1,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_radj.1,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccen.1,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,st_spectype,st_age,st_ageerr1,st_ageerr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_teff,st_tefferr1,st_tefferr2,st_teff.1,st_rad,st_raderr1,st_raderr2,st_rad.1,st_mass,st_masserr1,st_masserr2,st_mass.1,st_vsin,st_vsinerr1,st_vsinerr2,st_vsin.1,st_rotp,st_rotperr1,st_rotperr2,st_rotp.1,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_snum.1,sy_pnum.1,sy_mnum.1,KIC,koi_name,kepler_name,KOI,TIC,GAIA
Kepler-846 b,b,Kepler-846,,,TIC 399911496,Gaia DR2 2131294885469721984,1,1,0,0,0,0,1,0,0,0,0,0,0,0.1399,,,0.1399,2.48,0.32,-0.18,2.48,6.71,,,0.221,0.029,-0.016,0.221,0.0211,,,M-R relationship,0.0,,,0.0,19.80792185,8.966e-05,-8.966e-05,89.93,,,,4.37,5.16,-2.67,0.0,0.136,-0.159,[Fe/H],-0.217,,,5579.0,69.45,-74.32,5579.0,0.91,0.11,-0.06,0.91,0.94,0.04,-0.05,0.94,,,,,,,,,1127.12,39.47,-36.93,15.684,0.206,-0.206,13.978,0.054,-0.054,1,1,0,11288505,K01433.01,Kepler-846 b,1433,399911496,2.131294885469722e+18
Kepler-405 b,b,Kepler-405,,,TIC 137150544,Gaia DR2 2052726984308676864,1,2,0,0,0,0,1,0,0,0,0,0,0,0.095,,,0.095,2.08,0.99,-0.99,2.08,4.98,,,0.186,0.088,-0.088,0.186,0.0157,,,M-R relationship,0.0,,,0.0,10.613839,0.000111,-0.000111,89.94,,,,4.68,5.6,-3.0,-0.03,0.144,-0.191,[Fe/H],-0.331,,,5818.0,250.0,-250.0,5818.0,0.89,0.43,-0.43,0.89,0.91,0.05,-0.05,0.91,,,,,,,,,1065.08,43.33,-40.14,16.181,0.389,-0.389,14.056,0.067,-0.067,1,2,0,3234843,K03057.02,Kepler-405 b,3057,137150544,2.0527269843086769e+18
Kepler-1883 b,b,Kepler-1883,,,TIC 63121790,Gaia DR2 2101700297360624128,1,1,0,0,0,0,1,0,0,0,0,0,0,0.4438,,,0.4438,3.251,,,3.251,10.6,,,0.29,,,0.29,0.0334,,,M-R relationship,0.0,,,0.0,103.427002,,,90.0,,,,,,,-0.12,0.25,-0.35,[Fe/H],-0.016,,,6208.0,194.0,-259.0,6208.0,1.02,0.31,-0.13,1.02,1.09,0.14,-0.15,1.09,,,,,,,,,1377.61,70.81,-64.32,15.642,0.138,-0.138,14.097,0.073,-0.073,1,1,0,6606438,K02860.01,Kepler-1883 b,2860,63121790,2.101700297360624e+18
Kepler-1471 b,b,Kepler-1471,,,TIC 416282121,Gaia DR2 2133035966431029376,1,2,0,0,0,0,1,0,0,0,0,0,0,0.0453,,,0.0453,1.41,0.2,-0.14,1.41,2.57,,,0.126,0.018,-0.012,0.126,0.00809,,,M-R relationship,0.0,,,0.0,3.63899398,2.002e-05,-2.002e-05,88.46,,,,4.57,4.72,-2.77,-0.03,0.143,-0.188,[Fe/H],-0.199,,,5660.0,86.53,-104.98,5660.0,0.93,0.14,-0.07,0.93,0.95,0.05,-0.06,0.95,,,,,,,,,978.678,26.517,-26.517,15.421,0.149,-0.149,13.604,0.039,-0.039,1,2,0,11810124,K03344.02,Kepler-1471 b,3344,416282121,2.1330359664310292e+18
Kepler-313 b,b,Kepler-313,,,TIC 28448998,Gaia DR2 2086932653608913024,1,2,0,0,0,0,1,0,0,0,0,0,0,0.125,,,0.125,2.53,0.31,-0.31,2.53,6.94,,,0.226,0.028,-0.028,0.226,0.0218,,,M-R relationship,0.0,,,0.0,14.970418,0.000114,-0.000114,88.91,,,,6.61,1.79,-2.11,0.16,0.086,-0.087,[Fe/H],0.312,0.069,-0.082,5727.0,100.0,-100.0,5727.0,1.54,0.16,-0.16,1.54,1.08,0.11,-0.06,1.08,,,,,,,,,1079.3952487,88.2210643,-88.2210643,14.304,0.137,-0.137,12.517,0.032,-0.032,1,2,0,11153121,K01647.01,Kepler-313 b,1647,28448998,2.086932653608913e+18
Kepler-1310 b,b,Kepler-1310,,,TIC 120043638,Gaia DR2 2103628462794226304,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0148,,,0.0148,1.44,0.16,-0.12,1.44,2.67,,,0.128,0.014,-0.011,0.128,0.00839,,,M-R relationship,0.0,,,0.0,0.67933627,7.2e-07,-7.2e-07,87.19,,,,4.17,5.36,-2.49,-0.07,0.151,-0.183,[Fe/H],-0.192,,,5549.0,136.61,-124.53,5549.0,0.88,0.1,-0.07,0.88,0.91,0.05,-0.06,0.91,,,,,,,,,569.185,6.757,-6.603,14.346,0.114,-0.114,12.436,0.021,-0.021,1,1,0,5513012,K02668.01,Kepler-1310 b,2668,120043638,2.1036284627942262e+18
Kepler-1442 b,b,Kepler-1442,,,TIC 350811132,Gaia DR2 2129357580341124608,1,1,0,0,0,0,1,0,0,0,0,0,0,0.4039,,,0.4039,3.93,0.41,-0.29,3.93,14.7,,,0.351,0.037,-0.026,0.351,0.0461,,,M-R relationship,0.0,,,0.0,81.4162941,0.0002026,-0.0002026,87.53,,,,1.7,0.556,-0.459,0.26,0.075,-0.084,[Fe/H],0.651,0.017,-0.027,6394.0,77.0,-77.61,6394.0,1.44,0.13,-0.1,1.44,1.34,0.05,-0.05,1.34,,,,,,,,,608.68,9.446,-9.166,12.114,0.057,-0.057,10.967,0.021,-0.021,1,1,0,11189311,K03220.01,Kepler-1442 b,3220,350811132,2.1293575803411246e+18
Kepler-1421 b,b,Kepler-1421,,,TIC 399826842,Gaia DR2 2131173187575866496,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0762,,,0.0762,0.93,0.2,-0.11,0.93,0.749,,,0.083,0.018,-0.01,0.083,0.00236,,,M-R relationship,0.0,,,0.0,6.9131112,0.00014,-0.00014,88.6,,,,2.75,0.46,-0.8,0.05,0.093,-0.094,[Fe/H],0.599,0.021,-0.024,6335.0,73.18,-69.44,6335.0,1.42,0.29,-0.16,1.42,1.25,0.09,-0.06,1.25,,,,,,,,,783.401,13.341,-12.91,12.868,0.092,-0.092,11.554,0.022,-0.022,1,1,0,11019987,K03060.01,Kepler-1421 b,3060,399826842,2.1311731875758664e+18
Kepler-292 d,d,Kepler-292,,,TIC 271960465,Gaia DR2 2077140987172577408,1,5,0,0,0,0,1,0,0,0,0,0,0,0.068,,,0.068,2.23,0.21,-0.21,2.23,5.6,,,0.199,0.019,-0.019,0.199,0.0176,,,M-R relationship,0.0,,,0.0,7.055679,4.3e-05,-4.3e-05,89.0,,,,5.13,3.72,-2.98,-0.07,0.114,-0.114,[Fe/H],-0.337,,,5299.0,100.0,-100.0,5299.0,0.83,0.07,-0.07,0.83,0.85,0.04,-0.05,0.85,,,,,,,,,1056.48,45.79,-42.19,16.303,0.069,-0.069,13.97,0.057,-0.057,1,5,0,6962977,K01364.02,Kepler-292 d,1364,271960465,2.0771409871725773e+18
Kepler-1660 AB b,b,Kepler-1660 A,,,TIC 122446960,Gaia DR2 2101127864119148160,2,1,0,0,0,0,0,0,0,0,1,0,0,0.8,0.005,-0.005,0.8,12.9,,,12.9,1586.59941,73.10053,-73.10053,1.15,,,1.15,4.992,0.23,-0.23,Mass,0.05541,0.00147,-0.00147,0.05541,239.5044,0.0686,-0.0686,86.31,4.21,-4.21,F7 V,,,,-0.36,0.071,-0.071,[M/H],0.668,0.023,-0.025,6305.24,73.89,-73.89,6305.24,1.49,0.07,-0.07,1.49,1.14,0.07,-0.07,1.14,,,,,,,,,1188.54,21.12,-21.12,13.595,0.103,-0.103,12.215,0.024,-0.024,2,1,0,5095269,,Kepler-1660 AB b,-1,122446960,2.101127864119148e+18
