pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmax.1,pl_rade,pl_radeerr1,pl_radeerr2,pl_rade.1,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_radj.1,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccen.1,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,st_spectype,st_age,st_ageerr1,st_ageerr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_teff,st_tefferr1,st_tefferr2,st_teff.1,st_rad,st_raderr1,st_raderr2,st_rad.1,st_mass,st_masserr1,st_masserr2,st_mass.1,st_vsin,st_vsinerr1,st_vsinerr2,st_vsin.1,st_rotp,st_rotperr1,st_rotperr2,st_rotp.1,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_snum.1,sy_pnum.1,sy_mnum.1,KIC,koi_name,kepler_name,KOI,TIC,GAIA
Kepler-707 b,b,Kepler-707,,,TIC 159217349,Gaia DR2 2101898205154183296,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0325,,,0.0325,1.33,0.09,-0.1,1.33,2.33,,,0.119,0.008,-0.009,0.119,0.00733,,,M-R relationship,0.0,,,0.0,2.23749275,4.68e-06,-4.68e-06,89.23,,,,4.9,5.84,-3.0,-0.12,0.159,-0.201,[Fe/H],-0.501,,,5099.0,81.84,-69.76,5099.0,0.76,0.04,-0.06,0.76,0.8,0.04,-0.05,0.8,,,,,,,,,591.776,7.052,-6.892,15.022,0.195,-0.195,13.004,0.023,-0.023,1,1,0,6685526,K00861.01,Kepler-707 b,861,159217349,2.1018982051541832e+18
Kepler-202 b,b,Kepler-202,,,TIC 258202719,Gaia DR2 2104376405579347968,1,2,0,0,0,0,1,0,0,0,0,0,0,0.045,,,0.045,1.63,0.1,-0.1,1.63,3.29,,,0.145,0.009,-0.009,0.145,0.0104,,,M-R relationship,0.0,,,0.0,4.069427,7e-06,-7e-06,89.62,,,,3.24,3.0,-1.49,-0.263,0.041,-0.041,[M/H],-0.638,,,4668.0,100.0,-100.0,4668.0,0.67,0.03,-0.03,0.67,0.68,0.02,-0.02,0.68,,,,,,,,,285.111,1.1135,-1.1135,14.178,0.114,-0.114,11.639,0.023,-0.023,1,2,0,6020753,K00657.01,Kepler-202 b,657,258202719,2.104376405579348e+18
Kepler-284 b,b,Kepler-284,,,TIC 275486985,Gaia DR2 2128818411627270528,1,2,0,0,0,0,1,0,0,0,0,0,0,0.104,,,0.104,2.24,0.98,-0.98,2.24,5.65,,,0.2,0.087,-0.087,0.2,0.0178,,,M-R relationship,0.0,,,0.0,12.699149,7.1e-05,-7.1e-05,88.51,,,,0.5,4.1,-4.1,0.14,0.15,-0.15,[Fe/H],-0.341,,,5615.0,200.0,-200.0,5615.0,0.81,0.36,-0.36,0.81,0.92,0.04,-0.04,0.92,,,,,,,,,1031.95,33.35,-31.36,15.944,0.252,-0.252,14.079,0.085,-0.085,1,2,0,10538176,K01301.01,Kepler-284 b,1301,275486985,2.1288184116272707e+18
Kepler-135 c,c,Kepler-135,,,TIC 122450088,Gaia DR2 2052857860550101376,1,2,0,0,0,0,1,0,0,0,0,0,0,0.103,,,0.103,1.16,0.23,-0.23,1.16,1.65,,,0.103,0.021,-0.021,0.103,0.00521,,,M-R relationship,0.0,,,0.0,11.448708,0.000145,-0.000145,85.42,,,,2.62,0.72,-0.72,-0.105,0.012,-0.012,[M/H],0.448,0.023,-0.022,6090.0,120.0,-120.0,6090.0,1.28,0.24,-0.24,1.28,1.25,0.06,-0.05,1.25,,,,,,,,,621.855,11.014,-10.644,12.794,0.044,-0.044,11.456,0.022,-0.022,1,2,0,3642289,K00301.02,Kepler-135 c,301,122450088,2.0528578605501015e+18
Kepler-145 c,c,Kepler-145,,,TIC 159721091,Gaia DR2 2126237131982289280,1,2,0,0,0,0,1,0,0,0,0,0,0,0.262351,,,0.262351,4.32,0.12,-0.12,4.32,79.4,16.4,-16.4,0.385,0.011,-0.011,0.385,0.25,0.052,-0.052,Mass,0.11,0.11,-0.11,0.11,42.882,,,89.29,,,,3.24,0.52,-0.4,-0.001,0.013,-0.013,[M/H],0.692,0.025,-0.017,6022.0,54.0,-54.0,6022.0,1.85,0.05,-0.05,1.85,1.32,0.1,-0.1,1.32,,,,,,,,,566.85,8.385,-8.148,11.977,0.034,-0.034,10.628,0.016,-0.016,1,2,0,8494142,K00370.01,Kepler-145 c,370,159721091,2.1262371319822894e+18
Kepler-950 b,b,Kepler-950,,,TIC 121461701,Gaia DR2 2102152815113208192,1,1,0,0,0,0,1,0,0,0,0,0,0,0.3982,,,0.3982,8.98,1.56,-0.83,8.98,59.6,,,0.801,0.139,-0.074,0.801,0.188,,,M-R relationship,0.0,,,0.0,98.7180406,0.0001748,-0.0001748,89.68,,,,3.8,2.6,-2.1,0.02,0.135,-0.17,[Fe/H],0.355,,,5857.0,115.89,-163.53,5857.0,1.02,0.17,-0.09,1.02,1.02,0.07,-0.06,1.02,,,,,,,,,2161.6,199.49,-169.19,16.0,0.412,-0.412,14.139,0.062,-0.062,1,1,0,5864975,K01787.01,Kepler-950 b,1787,121461701,2.1021528151132083e+18
Kepler-144 b,b,Kepler-144,,,TIC 123409401,Gaia DR2 2104839471773324032,1,2,0,0,0,0,1,0,0,0,0,0,0,0.066,,,0.066,1.33,0.26,-0.26,1.33,2.33,,,0.119,0.023,-0.023,0.119,0.00733,,,M-R relationship,0.0,,,0.0,5.885273,2e-05,-2e-05,88.06,,,,0.94,0.27,-0.27,-0.185,0.013,-0.013,[M/H],0.282,0.019,-0.015,6075.0,131.0,-131.0,6075.0,1.24,0.24,-0.24,1.24,1.15,0.02,-0.02,1.15,,,,,,,,,384.917,3.263,-3.21,12.195,0.027,-0.027,10.792,0.011,-0.011,1,2,0,7175184,K00369.01,Kepler-144 b,369,123409401,2.104839471773324e+18
Kepler-102 d,d,Kepler-102,,,TIC 123357864,Gaia DR2 2119583201145735808,1,5,0,1,0,0,1,0,0,0,0,0,0,0.08618,0.00076,-0.00076,0.08618,1.154,0.058,-0.058,1.154,3.0,1.3,-1.3,0.103,0.005,-0.005,0.103,0.00944,0.00409,-0.00409,Mass,0.092,,,0.092,10.311767,4.1e-06,-4.1e-06,89.49,0.11,-0.11,,1.1,3.6,-0.5,0.11,0.04,-0.04,[Fe/H],-0.584,0.016,-0.011,4909.0,98.0,-98.0,4909.0,0.72,0.02,-0.02,0.72,0.8,0.02,-0.02,0.8,0.5,,,0.5,27.95,3.64,-1.67,27.95,107.796,0.22,-0.219,12.072,0.027,-0.027,9.351,0.011,-0.011,1,5,0,10187017,K00082.02,Kepler-102 d,82,123357864,2.1195832011457357e+18
Kepler-251 e,e,Kepler-251,,,TIC 272489533,Gaia DR2 2078832551450444032,1,4,0,0,0,0,1,0,0,0,0,0,0,0.404,,,0.404,2.77,0.49,-0.49,2.77,8.1,,,0.247,0.044,-0.044,0.247,0.0255,,,M-R relationship,0.0,,,0.0,99.640161,0.001074,-0.001074,89.99,,,,3.63,2.9,-1.93,-0.02,0.107,-0.115,[Fe/H],-0.172,,,5526.0,100.0,-100.0,5526.0,0.89,0.15,-0.15,0.89,0.95,0.04,-0.04,0.95,,,,,,,,,924.625,27.219,-25.73,15.541,0.275,-0.275,13.632,0.042,-0.042,1,4,0,8247638,K00907.04,Kepler-251 e,907,272489533,2.078832551450444e+18
Kepler-1658 b,b,Kepler-1658,,,TIC 377873569,Gaia DR2 2052194374009877376,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0544,0.0007,-0.0007,0.0544,11.994,0.56,-0.56,11.994,1868.8404,149.3801,-146.2018,1.07,0.05,-0.05,1.07,5.88,0.47,-0.46,Mass,0.0628,0.0197,-0.0185,0.0628,3.84937278,8e-07,-8e-07,76.52,0.58,-0.59,,2.01,0.35,-0.35,-0.18,0.1,-0.1,[M/H],1.206,0.022,-0.029,6216.0,78.0,-78.0,6216.0,2.89,0.13,-0.11,2.89,1.45,0.06,-0.06,1.45,33.95,0.97,-0.97,33.95,,,,,788.238,17.434,-16.707,11.62,0.016,-0.016,10.195,0.023,-0.023,1,1,0,3861595,K00004.01,Kepler-1658 b,4,377873569,2.0521943740098775e+18
Kepler-1292 b,b,Kepler-1292,,,TIC 164830162,Gaia DR2 2105848204973533696,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0443,,,0.0443,1.82,0.29,-0.14,1.82,3.97,,,0.162,0.026,-0.012,0.162,0.0125,,,M-R relationship,0.0,,,0.0,3.27646405,1.548e-05,-1.548e-05,90.0,,,,4.68,5.3,-2.96,0.08,0.166,-0.158,[Fe/H],-0.091,,,5556.0,63.0,-77.3,5556.0,0.93,0.14,-0.06,0.93,0.95,0.04,-0.04,0.95,,,,,,,,,1493.43,102.34,-90.25,16.337,0.104,-0.104,14.19,0.079,-0.079,1,1,0,8081905,K02619.01,Kepler-1292 b,2619,164830162,2.1058482049735337e+18
Kepler-1624 b,b,Kepler-1624,,,TIC 137683938,Gaia DR2 2051815759742763264,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0327,,,0.0327,5.7,0.39,-0.46,5.7,27.6,,,0.509,0.035,-0.041,0.509,0.0867,,,M-R relationship,0.0,,,0.0,3.29030452,4.56e-06,-4.56e-06,89.68,,,,4.47,5.74,-2.68,0.06,0.112,-0.118,[Fe/H],-1.323,0.093,-0.118,3636.0,58.98,-53.36,3636.0,0.47,0.03,-0.04,0.47,0.5,0.03,-0.04,0.5,,,,,,,,,258.979,2.984,-2.918,16.597,0.137,-0.137,12.312,0.025,-0.025,1,1,0,1873513,K04928.01,Kepler-1624 b,4928,137683938,2.0518157597427633e+18
Kepler-196 d,d,Kepler-196,,,TIC 164828012,Gaia DR2 2104094071610116608,1,3,0,0,0,0,1,0,0,0,0,0,0,0.4484,,,0.4484,2.661,,,2.661,7.56,,,0.237,,,0.237,0.0238,,,M-R relationship,0.0,,,0.0,122.0800018,,,89.4,,,,3.98,3.07,-2.06,-0.06,0.15,-0.15,[Fe/H],-0.393,,,5132.0,102.0,-102.0,5132.0,0.77,0.05,-0.04,0.77,0.81,0.05,-0.05,0.81,,,,,,,,,451.312,3.157,-3.115,14.239,0.092,-0.092,12.235,0.023,-0.023,1,3,0,6587002,K00612.03,Kepler-196 d,612,164828012,2.1040940716101166e+18
Kepler-549 d,d,Kepler-549,,,TIC 164455792,Gaia DR2 2107622335702262400,1,3,0,0,0,0,1,0,0,0,0,0,0,0.1575,,,0.1575,4.2,0.45,-0.5,4.2,16.4,,,0.375,0.04,-0.045,0.375,0.0516,,,M-R relationship,0.0,,,0.0,24.61480613,3.227e-05,-3.227e-05,89.63,,,,8.6,4.0,-4.0,0.16,0.15,-0.15,[Fe/H],-0.306,,,5312.0,79.0,-79.0,5312.0,0.99,0.11,-0.12,0.99,0.86,0.06,-0.03,0.86,5.0,,,5.0,,,,,635.145,7.022,-6.872,14.805,0.149,-0.149,12.826,0.031,-0.031,1,3,0,10189546,K00427.01,Kepler-549 d,427,164455792,2.1076223357022623e+18
Kepler-959 b,b,Kepler-959,,,TIC 137411481,Gaia DR2 2053574639053629952,1,1,0,0,0,0,1,0,0,0,0,0,0,0.1633,,,0.1633,4.38,1.21,-0.87,4.38,17.6,,,0.391,0.108,-0.078,0.391,0.0555,,,M-R relationship,0.0,,,0.0,14.80074836,4.706e-05,-4.706e-05,88.88,,,,1.35,0.28,-0.19,0.02,0.141,-0.154,[Fe/H],0.738,0.02,-0.035,7005.0,193.26,-159.47,7005.0,2.01,0.55,-0.4,2.01,1.6,0.19,-0.17,1.6,,,,,,,,,807.729,14.099,-13.631,12.606,0.08,-0.08,11.544,0.021,-0.021,1,1,0,5621125,K01814.01,Kepler-959 b,1814,137411481,2.05357463905363e+18
Kepler-235 e,e,Kepler-235,,,TIC 120765183,Gaia DR2 2100082125479729792,1,4,0,0,0,0,1,0,0,0,0,0,0,0.213,,,0.213,2.22,0.29,-0.29,2.22,5.56,,,0.198,0.026,-0.026,0.198,0.0175,,,M-R relationship,0.0,,,0.0,46.183669,0.000425,-0.000425,89.997,0.002,-0.052,M0 V,6.0,0.6,-0.3,-0.51,0.06,-0.06,[Fe/H],-1.102,0.052,-0.059,4255.0,100.0,-100.0,4255.0,0.55,0.02,-0.02,0.55,0.58,0.02,-0.02,0.58,,,,,39.49,1.97,-1.97,39.49,428.018,6.695,-6.495,16.567,0.252,-0.252,13.116,0.03,-0.03,1,4,0,4139816,K00812.03,Kepler-235 e,812,120765183,2.1000821254797297e+18
Kepler-1906 b,b,Kepler-1906,,,TIC 138366224,Gaia DR2 2052379641715057408,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0738,,,0.0738,2.776,,,2.776,8.13,,,0.248,,,0.248,0.0256,,,M-R relationship,0.0,,,0.0,7.36268997,,,89.65,,,,0.5,3.0,-3.0,-0.12,0.3,-0.3,[Fe/H],0.242,,,5868.0,140.0,-175.0,5868.0,0.89,0.23,-0.08,0.89,0.99,0.1,-0.12,0.99,,,,,,,,,1360.63,51.75,-48.14,15.322,0.126,-0.126,13.41,0.039,-0.039,1,1,0,3756264,K03108.01,Kepler-1906 b,3108,138366224,2.0523796417150574e+18
Kepler-963 b,b,Kepler-963,,,TIC 272605867,Gaia DR2 2079728790863754752,1,2,0,0,0,0,1,0,0,0,0,0,0,0.0849,,,0.0849,2.66,0.3,-0.19,2.66,7.56,,,0.237,0.027,-0.017,0.237,0.0238,,,M-R relationship,0.0,,,0.0,9.97683705,1.568e-05,-1.568e-05,89.94,,,G,4.07,5.22,-2.43,-0.02,0.15,-0.17,[Fe/H],-0.225,,,5461.0,214.9,-150.82,5461.0,0.87,0.1,-0.06,0.87,0.91,0.06,-0.06,0.91,,,,,,,,,771.494,12.801,-12.397,15.091,0.126,-0.126,13.158,0.035,-0.035,1,2,0,8832512,K01821.01,Kepler-963 b,1821,272605867,2.0797287908637548e+18
Kepler-1013 b,b,Kepler-1013,,,TIC 159304741,Gaia DR2 2126890417989112832,1,1,0,0,0,0,1,0,0,0,0,0,0,0.137,,,0.137,2.15,0.36,-0.2,2.15,5.27,,,0.192,0.032,-0.018,0.192,0.0166,,,M-R relationship,0.0,,,0.0,18.93054959,4.672e-05,-4.672e-05,89.07,,,,4.27,6.0,-2.5,0.04,0.15,-0.163,[Fe/H],-0.531,,,4954.0,77.29,-81.88,4954.0,0.76,0.03,-0.03,0.76,0.81,0.04,-0.04,0.81,,,,,,,,,422.246,3.157,-3.112,14.563,0.183,-0.183,12.289,0.019,-0.019,1,1,0,8426567,K01914.01,Kepler-1013 b,1914,159304741,2.1268904179891128e+18
Kepler-434 b,b,Kepler-434,,,TIC 270611401,Gaia DR2 2077823440291891840,1,1,0,1,0,0,1,0,0,0,0,0,0,0.1143,0.003,-0.003,0.1143,12.67,2.91,-2.02,12.67,908.96,111.24,-111.24,1.13,0.26,-0.18,1.13,2.86,0.35,-0.35,Mass,0.131,0.072,-0.072,0.131,12.8747099,5e-06,-5e-06,86.46,0.38,-0.74,,4.0,1.7,-1.7,0.25,0.14,-0.14,[Fe/H],0.33,0.11,-0.11,5977.0,95.0,-95.0,5977.0,1.38,0.13,-0.13,1.38,1.2,0.09,-0.09,1.2,3.0,1.0,-1.0,3.0,,,,,1222.54,32.43,-32.43,14.49,0.092,-0.092,13.039,0.03,-0.03,1,1,0,7368664,K00614.01,Kepler-434 b,614,270611401,2.0778234402918917e+18
