hostname,Prot,e_Prot,KOI,KIC,TIC,GAIA,db
Kepler-1387,20.724,0.013,2924,-1,-1,-1,mcq13
Kepler-1187,12.757,0.013,2314,-1,-1,-1,mcq13
Kepler-1895,17.299,0.014,3027,-1,-1,-1,mcq13
TOI-1224,1.166,0.014,-1,-1,299798795,-1,mar20
Kepler-1048,16.002,0.014,2005,-1,-1,-1,mcq13
Kepler-396,13.272,0.014,2672,-1,-1,-1,mcq13
Kepler-1687,29.273,0.014,2588,-1,-1,-1,mcq13
Kepler-1120,29.354,0.014,2146,-1,-1,-1,mcq13
Kepler-367,17.068,0.014,2173,-1,-1,-1,mcq13
Kepler-1795,19.31,0.014,2117,-1,-1,-1,mcq13
Kepler-67,10.464,0.014,2115,-1,-1,-1,mcq13
Kepler-1877,16.929,0.014,2803,-1,-1,-1,mcq13
Kepler-785,18.293,0.014,1176,-1,-1,-1,mcq13
Kepler-1680,19.883,0.015,2120,-1,-1,-1,mcq13
Kepler-1770,11.223,0.015,1842,-1,-1,-1,mcq13
Kepler-1273,17.32,0.015,2544,-1,-1,-1,mcq13
Kepler-1022,18.75,0.015,1940,-1,-1,-1,mcq13
Kepler-28,17.951,0.016,870,-1,-1,-1,mcq13
Kepler-450,20.796,0.016,279,-1,-1,-1,mcq13
Kepler-539,11.769,0.016,372,-1,-1,-1,mcq13
Kepler-1335,23.411,0.016,2747,-1,-1,-1,mcq13
Kepler-988,24.789,0.016,1868,-1,-1,-1,mcq13
Kepler-1053,14.9,0.016,2013,-1,-1,-1,mcq13
Kepler-1777,13.543,0.017,1944,-1,-1,-1,mcq13
Kepler-30,16.004,0.017,806,-1,-1,-1,mcq13
Kepler-1148,17.019,0.017,2223,-1,-1,-1,mcq13
Kepler-1374,11.642,0.018,2868,-1,-1,-1,mcq13
Kepler-222,10.983,0.018,723,-1,-1,-1,mcq13
Kepler-1088,13.874,0.018,2087,-1,-1,-1,mcq13
Kepler-1021,14.621,0.018,1939,-1,-1,-1,mcq13
Kepler-1355,20.12,0.018,2816,-1,-1,-1,mcq13
Kepler-1107,17.985,0.019,2119,-1,-1,-1,mcq13
Kepler-855,14.965,0.019,1456,-1,-1,-1,mcq13
HAT-P-20,14.48,0.02,-1,-1,-1,-1,nasa
HIP 67522,1.42,0.02,-1,-1,-1,-1,nasa
MASCARA-1,0.85,0.02,-1,-1,-1,-1,nasa
K2-237,5.07,0.02,-1,-1,-1,-1,nasa
HD 114082,1.92,0.02,-1,-1,-1,-1,nasa
HATS-16,12.35,0.02,-1,-1,-1,-1,nasa
Kepler-440,17.61,0.02,-1,-1,-1,-1,arm15
HATS-72,48.73,0.02,-1,-1,-1,-1,nasa
GJ 9066,1.96,0.02,-1,-1,-1,-1,nasa
TOI-1408,7.91,0.02,-1,-1,-1,-1,nasa
Kepler-1629,7.577,0.02,-1,7935997,-1,-1,mcq14
Kepler-352,15.983,0.02,2029,-1,-1,-1,mcq13
HD 15337,36.53,0.02,-1,-1,-1,-1,nasa
TOI-2046,3.97,0.02,-1,-1,-1,-1,nasa
Kepler-1783,16.362,0.02,2001,-1,-1,-1,mcq13
CoRoT-2,4.52,0.02,-1,-1,-1,-1,nasa
Kepler-1007,18.133,0.02,1900,-1,-1,-1,mcq13
Kepler-283,18.27,0.02,-1,-1,-1,-1,arm15
Kepler-1074,30.114,0.02,2057,-1,-1,-1,mcq13
V1298 Tau,2.87,0.02,-1,-1,-1,-1,nasa
K2-29,10.79,0.02,-1,-1,-1,-1,nasa
Kepler-1814,24.32,0.02,2250,-1,-1,-1,mcq13
Kepler-860,18.632,0.021,1481,-1,-1,-1,mcq13
Kepler-1381,14.524,0.021,2898,-1,-1,-1,mcq13
Kepler-910,7.087,0.021,1618,-1,-1,-1,mcq13
Kepler-220,30.786,0.021,719,-1,-1,-1,mcq13
Kepler-1293,12.265,0.021,2623,-1,-1,-1,mcq13
Kepler-1241,19.226,0.021,2444,-1,-1,-1,mcq13
Kepler-1985,11.241,0.021,2851,-1,-1,-1,mcq13
