2MASS,objID,KIC,Teff,Rad,Mass,LClass,Bmag,Vmag,Kmag,TIC
"14352880-2701064 ",,,5607.0,0.748,0.99,"DWARF   ",18.384,17.874,15.845,5176
"14352808-2701141 ",,,3857.0,0.136,0.11,"DWARF   ",19.894,19.223,15.285,5177
"14352724-2701219 ",,,7065.0,1.632,1.56,"DWARF   ",11.635,11.233,10.302,5178
"14354110-2701251 ",,,5849.0,1.03,1.06,"DWARF   ",17.66,16.691,15.311,5179
"14354302-2701299 ",,,3998.0,1.134,0.62,"DWARF   ",19.004,18.097,14.238,5180
"14353750-2701487 ",,,5680.0,1.077,1.01,"DWARF   ",14.082,13.519,11.641,5181
"14354595-2701566 ",,,4688.0,6.182,,"GIANT   ",14.014,11.533,8.93,5182
"14354852-2702009 ",,,4295.0,0.996,0.67,"DWARF   ",19.325,18.382,15.206,5183
"14355236-2702043 ",,,4566.0,0.944,0.72,"DWARF   ",18.249,17.481,14.82,5184
"14354939-2702073 ",,,5601.0,0.923,0.99,"DWARF   ",13.24,11.936,10.501,5185
"14353725-2702194 ",,,3544.0,0.425,0.48,"DWARF   ",20.571,19.32,14.697,5187
"14353089-2702217 ",,,4594.0,0.699,0.73,"DWARF   ",18.836,18.108,15.639,5188
"14353074-2702320 ",,,6121.0,1.774,1.16,"DWARF   ",15.886,15.931,14.075,5189
"14353135-2702379 ",,,6322.0,1.137,1.247,"DWARF   ",13.339,12.44,10.961,5190
"14354265-2703085 ",,,4818.0,6.807,,"GIANT   ",16.239,15.173,12.487,5191
"14353586-2703126 ",,,6018.0,1.207,1.11,"DWARF   ",16.049,15.361,13.879,5192
"14354232-2703279 ",,,5791.0,1.151,1.04,"DWARF   ",16.976,16.088,14.803,5193
"14355128-2703286 ",,,5666.0,1.155,1.01,"DWARF   ",17.914,17.756,15.743,5194
"14353127-2703292 ",,,4057.0,0.529,0.63,"DWARF   ",20.169,19.166,15.253,5195
"14354453-2703292 ",,,5383.0,2.103,0.93,"DWARF   ",12.889,12.317,9.921,5196
"14353978-2703314 ",,,5930.0,0.653,1.08,"DWARF   ",17.62,17.267,15.449,5197
"14354452-2703353 ",,,,,,,,19.051,12.774,5198
"14354193-2703386 ",,,5302.0,1.508,0.91,"DWARF   ",17.52,16.619,14.837,5199
"14353191-2703426 ",,,3850.0,0.458,0.59,"DWARF   ",20.891,20.173,15.749,5200
"14354406-2703492 ",,,5450.0,1.296,0.95,"DWARF   ",16.134,15.3,13.472,5201
"14354217-2703564 ",,,5851.0,1.084,1.06,"DWARF   ",17.136,16.195,14.864,5202
"14355159-2703580 ",,,5340.0,1.188,0.92,"DWARF   ",17.904,17.5,15.152,5203
"14354508-2704013 ",,,5475.0,0.677,0.96,"DWARF   ",17.383,16.993,15.346,5204
"14354836-2704020 ",,,6160.0,1.176,1.17,"DWARF   ",15.132,14.69,12.999,5205
"14354042-2704039 ",,,4798.0,7.239,,"GIANT   ",15.063,14.096,11.325,5206
"14355224-2704079 ",,,4203.0,,,"DWARF   ",20.392,19.487,15.703,5207
"14353131-2704086 ",,,3809.0,0.593,0.583,"DWARF   ",18.977,17.695,13.811,5208
"14355089-2704249 ",,,4075.0,1.408,,"GIANT   ",19.68,18.688,15.368,5209
"14353163-2704406 ",,,6167.0,1.167,1.18,"DWARF   ",16.017,15.435,13.847,5210
"14352802-2704462 ",,,6076.0,0.753,1.14,"DWARF   ",18.015,17.69,15.897,5211
"14353838-2704597 ",,,4409.0,1.061,0.69,"DWARF   ",19.44,18.314,15.372,5212
"14353707-2705064 ",,,6030.0,0.919,1.12,"DWARF   ",18.227,18.035,15.704,5213
"14353878-2705146 ",,,3829.0,0.731,0.59,"DWARF   ",19.507,18.721,14.632,5214
"14354331-2705163 ",,,3590.0,,,"DWARF   ",20.915,20.171,15.927,5215
"14354556-2705165 ",,,5887.0,0.581,1.07,"DWARF   ",18.257,18.088,15.646,5216
"14352449-2705238 ",,,5570.0,0.753,0.98,"DWARF   ",17.432,16.677,14.878,5217
"14354905-2705359 ",,,4829.0,0.62,0.78,"DWARF   ",18.751,18.334,15.57,5218
"14353918-2705422 ",,,5031.0,2.2,,"GIANT   ",15.762,14.959,12.401,5220
"14352807-2705423 ",,,6055.0,0.743,1.13,"DWARF   ",17.456,16.509,15.408,5221
"14354620-2705559 ",,,5879.0,1.232,1.07,"DWARF   ",17.055,16.133,14.677,5223
"14353274-2706041 ",,,4270.0,0.464,0.67,"DWARF   ",,17.937,14.722,5224
"14353358-2706064 ",,,5752.0,1.312,1.03,"DWARF   ",17.847,17.431,15.485,5225
"14355263-2706148 ",,,4134.0,0.661,0.65,"DWARF   ",18.93,18.159,14.476,5227
"14352663-2706242 ",,,4283.0,0.759,0.67,"DWARF   ",17.339,16.322,13.007,5229
"14353475-2706271 ",,,5763.0,0.764,1.03,"DWARF   ",18.139,17.862,15.669,5230
"14353007-2706471 ",,,3974.0,1.297,0.62,"DWARF   ",19.424,18.337,14.418,5232
"14352803-2706520 ",,,4421.0,0.488,0.69,"DWARF   ",19.289,18.543,15.36,5233
"14353437-2706522 ",,,4556.0,0.768,0.72,"DWARF   ",17.667,16.641,13.951,5234
"14354123-2706573 ",,,5306.0,0.935,0.91,"DWARF   ",17.73,17.198,14.743,5235
"14352861-2707037 ",,,5649.0,0.908,1.0,"DWARF   ",17.376,17.046,14.46,5236
"14352861-2707051 ",,,3884.0,1.005,0.6,"DWARF   ",17.471,19.162,14.857,5237
"14353980-2707063 ",,,5773.0,0.937,1.03,"DWARF   ",17.937,17.591,15.532,5238
"14353118-2707115 ",,,,,,"DWARF   ",,17.45,14.593,5239
"14354179-2707162 ",,,5942.0,0.962,1.09,"DWARF   ",14.252,13.708,11.936,5240
"14355185-2707249 ",,,,,,,17.716,17.715,15.233,5241
"14354828-2707312 ",,,3467.0,1.124,0.44,"DWARF   ",21.148,20.665,15.291,5242
"14353755-2707326 ",,,5783.0,0.903,1.04,"DWARF   ",16.058,15.325,13.505,5243
"14352444-2707340 ",,,5783.0,,,"DWARF   ",17.937,17.642,15.876,5244
"14353181-2707408 ",,,5311.0,0.67,0.91,"DWARF   ",17.408,16.155,14.254,5245
"14354283-2707484 ",,,5188.0,1.653,0.88,"DWARF   ",16.359,15.339,13.172,5246
"14355368-2707486 ",,,4971.0,4.493,,"GIANT   ",15.017,14.133,11.488,5247
"14354115-2707490 ",,,6253.0,1.535,1.21,"DWARF   ",15.2,14.749,13.077,5248
"14354931-2707515 ",,,3635.0,0.548,0.543,"DWARF   ",19.801,18.522,14.364,5249
"14354541-2707519 ",,,5795.0,0.724,1.04,"DWARF   ",17.844,17.507,15.413,5250
"14353136-2707539 ",,,4770.0,0.679,0.77,"DWARF   ",18.864,16.626,14.144,5251
