2MASS,objID,KIC,Teff,Rad,Mass,LClass,Bmag,Vmag,Kmag,TIC
"14352036-2745584 ",,,4520.0,13.959,,"GIANT   ",16.597,15.376,12.346,1355
"14350011-2745577 ",,,,,,"DWARF   ",21.1,20.18,15.69,1356
"14350199-2745562 ",,,3551.0,0.445,0.441,"DWARF   ",17.833,16.298,12.254,1357
"14350699-2745554 ",,,,,,"DWARF   ",20.596,19.773,15.43,1358
"14351263-2745439 ",,,3933.0,1.106,0.61,"DWARF   ",20.102,19.411,15.306,1359
"14350124-2745429 ",,,5164.0,0.966,0.87,"DWARF   ",16.279,15.525,13.353,1360
"14345947-2745374 ",,,5818.0,1.471,1.05,"DWARF   ",15.195,14.538,12.801,1361
"14351779-2745341 ",,,3456.0,0.358,0.343,"DWARF   ",20.74,20.054,15.072,1362
"14345725-2745314 ",,,5964.0,1.365,1.09,"DWARF   ",16.159,15.485,13.756,1363
"14352314-2745248 ",,,5975.0,2.087,1.1,"DWARF   ",17.273,17.266,15.556,1364
"14351703-2745221 ",,,4457.0,1.363,0.7,"DWARF   ",19.138,18.894,15.415,1365
"14345290-2745076 ",,,3586.0,0.574,0.566,"DWARF   ",19.149,18.406,14.046,1366
"14350880-2745036 ",,,5541.0,1.465,0.98,"DWARF   ",15.718,14.909,12.967,1367
"14352293-2744458 ",,,5406.0,1.034,0.94,"DWARF   ",17.688,17.249,14.982,1368
"14352333-2744408 ",,,4880.0,0.915,0.8,"DWARF   ",18.598,18.336,15.543,1369
"14351643-2744339 ",,,4841.0,0.665,0.79,"DWARF   ",15.312,16.287,13.774,1370
"14351597-2744333 ",,,5308.0,0.856,0.91,"DWARF   ",16.024,15.525,13.29,1371
"14345174-2744319 ",,,5697.0,1.056,1.01,"DWARF   ",17.254,16.602,14.917,1372
"14350823-2744208 ",,,5636.0,0.965,1.0,"DWARF   ",17.316,17.32,15.035,1373
"14352273-2744153 ",,,5450.0,1.961,0.95,"DWARF   ",15.707,14.942,12.806,1374
"14350150-2744146 ",,,5670.0,1.597,1.01,"DWARF   ",16.33,15.503,13.741,1375
"14351458-2744128 ",,,5941.0,1.449,1.09,"DWARF   ",17.461,17.457,15.571,1376
"14345497-2744125 ",,,5841.0,1.301,1.05,"DWARF   ",16.79,15.917,14.389,1377
"14351656-2744028 ",,,5655.0,1.255,1.0,"DWARF   ",17.123,16.945,15.149,1378
"14350415-2743453 ",,,6097.0,0.886,1.15,"DWARF   ",15.008,14.506,12.771,1379
"14345703-2743429 ",,,4098.0,0.757,0.64,"DWARF   ",17.673,16.423,13.218,1380
"14345297-2743369 ",,,5368.0,1.075,0.93,"DWARF   ",18.27,18.15,15.504,1382
"14351244-2743348 ",,,5571.0,,,"DWARF   ",17.757,17.918,15.318,1383
"14351849-2743305 ",,,5797.0,1.056,1.04,"DWARF   ",15.717,15.137,13.206,1384
"14351621-2743252 ",,,6815.0,2.335,1.47,"DWARF   ",16.099,15.776,14.505,1385
"14350814-2743173 ",,,3659.0,0.795,0.53,"DWARF   ",20.887,20.295,15.269,1386
"14350359-2743148 ",,,5255.0,0.723,0.9,"DWARF   ",17.418,16.904,14.664,1387
"14350304-2743111 ",,,4810.0,0.614,0.78,"DWARF   ",18.691,18.111,15.839,1388
"14350670-2743095 ",,,6255.0,0.916,1.22,"DWARF   ",17.327,17.382,15.633,1389
"14351398-2743056 ",,,3461.0,0.363,0.44,"DWARF   ",19.425,19.61,14.434,1391
"14350375-2742542 ",,,3808.0,0.518,0.516,"DWARF   ",20.226,19.303,15.225,1392
"14345228-2742506 ",,,4936.0,,,"DWARF   ",18.208,18.034,15.377,1393
"14350936-2742365 ",,,5818.0,1.034,1.05,"DWARF   ",14.965,14.393,12.521,1394
"14352294-2742225 ",,,4978.0,2.776,,"GIANT   ",15.579,14.657,12.109,1395
"14350418-2742208 ",,,5961.0,1.452,1.09,"DWARF   ",17.476,16.923,15.137,1396
"14345481-2742202 ",,,5732.0,0.759,1.02,"DWARF   ",17.743,17.525,15.306,1397
"14345944-2742173 ",,,5771.0,0.624,1.03,"DWARF   ",18.248,18.057,15.519,1398
"14350693-2742030 ",,,3400.0,0.392,0.382,"DWARF   ",19.565,19.19,13.75,1399
"14345305-2742019 ",,,4948.0,0.805,0.81,"DWARF   ",15.078,14.064,11.661,1400
"14352106-2741599 ",,,6449.0,2.281,1.31,"DWARF   ",15.191,14.672,13.275,1401
"14345257-2741528 ",,,4598.0,0.92,0.73,"DWARF   ",17.224,16.606,14.242,1402
"14345178-2741453 ",,,5687.0,1.235,1.01,"DWARF   ",18.056,17.769,15.876,1403
"14345788-2741440 ",,,,,,,,20.787,15.466,1404
"14350518-2741263 ",,,,,,"DWARF   ",21.198,20.694,15.498,1405
"14350179-2741194 ",,,,,,,17.633,17.722,14.773,1406
"14350440-2741056 ",,,5992.0,1.242,1.1,"DWARF   ",16.444,15.953,14.044,1407
"14351938-2741037 ",,,4488.6,13.624,,"GIANT   ",11.946,10.911,7.675,1408
"14350740-2740513 ",,,5705.0,2.334,1.02,"DWARF   ",17.583,16.884,14.94,1409
"14351131-2740489 ",,,5713.0,1.352,1.02,"DWARF   ",17.363,17.076,14.84,1410
"14345390-2740412 ",,,5944.0,1.054,1.09,"DWARF   ",17.074,16.236,14.417,1411
"14351146-2740126 ",,,4697.0,0.717,0.75,"DWARF   ",17.833,17.107,14.295,1412
"14352189-2739577 ",,,,,,,,21.191,14.272,1413
"14345698-2739576 ",,,,,,,20.011,20.695,15.441,1414
"14351002-2739562 ",,,5602.0,0.945,0.99,"DWARF   ",17.842,17.826,15.626,1415
"14350338-2739537 ",,,,,,"DWARF   ",20.408,19.972,16.031,1416
"14351353-2739434 ",,,4387.0,0.782,0.69,"DWARF   ",19.007,18.282,14.85,1417
"14350665-2739409 ",,,5973.0,0.926,1.1,"DWARF   ",16.971,16.02,14.511,1418
"14350136-2739259 ",,,4820.0,0.82,0.78,"DWARF   ",17.718,16.95,14.405,1419
"14350218-2739072 ",,,6681.2,2.371,1.41,"DWARF   ",11.571,11.141,9.836,1420
"14351310-2739060 ",,,3704.0,0.479,0.55,"DWARF   ",20.76,20.164,15.548,1421
"14350108-2738597 ",,,5133.0,0.676,0.87,"DWARF   ",17.849,17.866,15.402,1422
"14345938-2738555 ",,,5799.0,0.995,1.04,"DWARF   ",16.818,16.11,14.483,1423
"14350891-2738523 ",,,5516.0,0.853,0.97,"DWARF   ",17.535,16.432,14.722,1424
"14345957-2738507 ",,,4775.0,0.795,0.77,"DWARF   ",17.522,18.026,15.453,1425
"14352259-2738491 ",,,3811.0,0.555,0.55,"DWARF   ",19.367,18.72,14.902,1426
"14351284-2738439 ",,,5904.0,1.133,1.07,"DWARF   ",17.159,16.702,14.705,1427
"14350415-2738366 ",,,5693.0,0.858,1.01,"DWARF   ",17.593,17.088,14.974,1428
"14351048-2738350 ",,,3628.0,,,"DWARF   ",21.24,20.328,15.548,1429
"14345530-2738258 ",,,5849.0,1.321,1.06,"DWARF   ",16.63,16.09,14.181,1430
"14352276-2738221 ",,,5601.0,0.814,0.99,"DWARF   ",17.467,17.137,14.991,1431
"14352180-2738178 ",,,4671.0,1.159,0.74,"DWARF   ",18.452,18.233,15.545,1432
"14351007-2738169 ",,,5282.0,1.055,0.91,"DWARF   ",17.491,17.247,14.837,1433
"14350515-2738064 ",,,5178.0,0.827,0.88,"DWARF   ",17.529,17.026,15.005,1434
"14350080-2737598 ",,,4448.0,0.732,0.7,"DWARF   ",19.664,19.135,16.266,1435
"14351154-2737417 ",,,3952.0,0.834,0.62,"DWARF   ",18.743,17.692,13.815,1436
"14345712-2737382 ",,,5385.0,0.689,0.93,"DWARF   ",17.731,17.298,15.327,1437
"14352159-2737364 ",,,4426.0,0.7,0.69,"DWARF   ",17.988,16.997,13.754,1438
"14350679-2737250 ",,,5998.0,1.089,1.11,"DWARF   ",17.185,17.063,15.312,1439
"14350349-2737169 ",,,4733.0,0.675,0.76,"DWARF   ",15.578,17.71,15.086,1440
"14350381-2737169 ",,,5720.0,0.947,1.02,"DWARF   ",16.588,15.866,13.94,1441
"14351798-2737142 ",,,4055.0,0.686,0.63,"DWARF   ",17.752,16.388,12.85,1442
"14350024-2737108 ",,,5989.0,0.797,1.1,"DWARF   ",17.757,16.946,15.123,1443
"14345397-2736592 ",,,5280.0,0.991,0.91,"DWARF   ",18.064,17.918,16.142,1444
"14350762-2736566 ",,,,,,"DWARF   ",19.271,18.736,13.388,1445
"14351178-2736446 ",,,5908.0,1.385,1.07,"DWARF   ",15.671,14.934,13.365,1446
"14350137-2736336 ",,,4232.0,0.814,0.66,"DWARF   ",18.547,18.185,14.917,1447
"14351462-2736316 ",,,4968.0,0.777,0.82,"DWARF   ",19.227,18.75,15.432,1448
"14352262-2736304 ",,,4590.0,0.682,0.73,"DWARF   ",18.732,18.25,15.079,1449
"14350003-2736125 ",,,5351.0,2.473,,"GIANT   ",16.473,16.654,14.711,1450
"14345758-2736088 ",,,,,,,18.079,19.947,14.379,1451
"14352041-2736083 ",,,6115.0,0.618,1.15,"DWARF   ",17.644,17.891,15.333,1452
"14350630-2736075 ",,,,,,"DWARF   ",15.154,14.397,12.667,1453
"14350126-2736039 ",,,6058.0,1.255,,"DWARF   ",11.076,10.638,9.081,1454
"14350511-2736028 ",,,,,,,,20.463,16.973,1455
"14351654-2735467 ",,,6089.0,0.685,1.14,"DWARF   ",17.881,17.941,16.368,1456
"14350375-2735443 ",,,4025.0,0.604,0.63,"DWARF   ",19.778,18.887,15.183,1457
"14345960-2735414 ",,,5577.0,0.812,0.98,"DWARF   ",17.63,17.313,15.316,1458
"14345646-2735310 ",,,5399.0,1.752,0.94,"DWARF   ",15.63,14.791,12.71,1459
"14345203-2735240 ",,,4779.0,0.572,0.77,"DWARF   ",18.05,17.767,14.819,1460
"14351900-2735078 ",,,5265.0,0.868,0.9,"DWARF   ",17.077,16.339,14.022,1461
"14350498-2735054 ",,,,,,"DWARF   ",17.279,19.762,14.767,1462
"14345892-2735050 ",,,5105.0,0.626,0.86,"DWARF   ",17.756,17.687,15.388,1463
"14351121-2735042 ",,,,,,"DWARF   ",20.936,19.899,15.276,1464
"14345705-2735042 ",,,6063.0,1.814,1.13,"DWARF   ",13.957,13.341,11.717,1465
"14350022-2735019 ",,,5610.0,0.883,0.99,"DWARF   ",17.82,17.766,15.297,1466
"14345290-2734358 ",,,4434.0,33.01,,"GIANT   ",15.82,14.511,11.29,1467
"14345616-2734086 ",,,5683.0,1.609,1.01,"DWARF   ",16.888,16.89,15.003,1468
"14352143-2733553 ",,,4564.0,1.203,0.72,"DWARF   ",18.749,18.069,15.163,1469
"14345275-2733544 ",,,6386.0,1.111,1.28,"DWARF   ",17.326,17.604,15.777,1470
"14351686-2733540 ",,,5492.0,0.694,0.96,"DWARF   ",18.891,17.616,15.199,1471
"14350151-2733483 ",,,5644.0,0.706,1.0,"DWARF   ",17.371,16.83,14.857,1472
"14345387-2733461 ",,,5805.0,2.167,1.04,"DWARF   ",15.12,14.411,12.663,1473
"14351105-2733266 ",,,4766.0,0.667,0.77,"DWARF   ",16.667,15.542,12.949,1474
"14352245-2733205 ",,,3582.0,0.405,0.5,"DWARF   ",20.431,20.25,15.724,1475
"14345598-2733205 ",,,5487.0,1.332,0.96,"DWARF   ",17.84,17.659,15.349,1476
"14350421-2733162 ",,,5825.0,1.272,1.05,"DWARF   ",17.07,16.632,14.415,1477
"14351693-2733090 ",,,5764.0,1.215,1.03,"DWARF   ",16.072,15.43,13.588,1478
"14345594-2733081 ",,,4920.0,,,,17.675,17.087,14.367,1479
"14350993-2733079 ",,,5960.0,1.464,1.09,"DWARF   ",15.533,14.906,13.188,1480
"14345590-2732504 ",,,5942.0,0.806,1.09,"DWARF   ",17.719,17.631,16.365,1481
"14350889-2732448 ",,,3738.0,0.883,0.56,"DWARF   ",20.535,20.252,15.64,1482
"14350023-2732330 ",,,5793.0,,,"DWARF   ",17.944,17.895,15.905,1483
"14350972-2732322 ",,,3976.0,0.603,0.62,"DWARF   ",20.156,19.592,15.54,1484
"14350466-2732272 ",,,7159.0,1.464,1.6,"DWARF   ",15.676,15.454,14.185,1485
"14350501-2732225 ",,,5784.0,0.81,1.04,"DWARF   ",17.615,17.541,15.831,1486
"14351410-2732191 ",,,5328.0,1.546,0.92,"DWARF   ",15.724,14.873,12.77,1487
"14350029-2732151 ",,,,,,,,20.599,15.191,1488
"14350308-2731566 ",,,5165.0,0.859,0.87,"DWARF   ",17.973,16.348,14.43,1489
"14350064-2731446 ",,,5021.0,2.567,,"GIANT   ",17.342,16.908,14.355,1490
"14352239-2731410 ",,,5049.0,0.878,0.84,"DWARF   ",17.006,16.128,13.63,1491
"14351413-2731303 ",,,,,,"DWARF   ",19.972,19.526,15.418,1492
"14350705-2731293 ",,,5506.0,1.207,0.97,"DWARF   ",16.08,15.152,13.35,1493
"14352224-2731204 ",,,3736.0,0.562,0.556,"DWARF   ",17.415,16.077,12.053,1494
"14350160-2731094 ",,,3885.0,0.719,0.6,"DWARF   ",20.426,19.66,15.46,1495
"14350077-2731082 ",,,4917.0,0.654,0.81,"DWARF   ",17.874,17.412,14.663,1496
"14345883-2730531 ",,,5830.0,0.884,1.05,"DWARF   ",16.93,16.434,14.487,1497
"14351860-2730414 ",,,6002.0,1.011,1.11,"DWARF   ",19.951,18.612,15.527,1498
"14351523-2730372 ",,,3502.0,0.553,0.548,"DWARF   ",19.024,18.053,13.532,1499
"14351957-2730331 ",,,5655.0,1.361,1.0,"DWARF   ",15.76,14.986,13.19,1500
"14350365-2730295 ",,,5652.0,1.281,1.0,"DWARF   ",17.367,16.484,15.54,1501
"14350724-2730144 ",,,5905.0,0.757,1.07,"DWARF   ",18.124,17.045,15.269,1502
"14352206-2729589 ",,,5191.0,1.549,0.88,"DWARF   ",18.027,18.089,15.542,1504
"14345349-2729511 ",,,5769.0,0.55,1.03,"DWARF   ",17.773,17.845,16.636,1506
"14350739-2729509 ",,,5368.0,0.587,0.93,"DWARF   ",17.777,17.454,15.139,1507
"14350312-2729408 ",,,5603.0,0.724,0.99,"DWARF   ",17.264,16.714,14.842,1508
"14351994-2729237 ",,,4573.0,0.807,0.72,"DWARF   ",17.538,16.544,13.993,1509
"14350516-2729213 ",,,3775.0,0.265,0.238,"DWARF   ",21.514,20.038,14.97,1510
"14351380-2729076 ",,,5829.0,7.622,,"GIANT   ",15.453,14.923,12.893,1511
"14352204-2728539 ",,,,,,,,20.371,15.848,1512
"14351469-2728523 ",,,6011.0,1.471,1.11,"DWARF   ",17.519,17.291,15.276,1513
"14345724-2728470 ",,,4937.0,0.717,0.81,"DWARF   ",17.331,16.311,13.849,1514
"14345872-2728431 ",,,,,,"DWARF   ",19.665,18.883,14.304,1515
"14345958-2728354 ",,,3496.0,0.519,0.517,"DWARF   ",20.306,19.508,14.992,1516
"14350112-2728257 ",,,6145.0,0.629,1.17,"DWARF   ",17.803,17.811,15.783,1517
"14351345-2728247 ",,,3768.0,0.745,0.57,"DWARF   ",21.203,20.493,15.91,1518
"14351968-2728180 ",,,4830.4,10.533,,"GIANT   ",11.375,10.367,7.836,1520
"14351650-2728137 ",,,,,,"DWARF   ",21.048,20.192,15.804,1521
"14350346-2728099 ",,,6299.0,1.067,1.24,"DWARF   ",13.166,12.72,11.175,1522
"14351631-2728007 ",,,3703.0,0.489,0.487,"DWARF   ",19.514,18.784,14.59,1523
"14352252-2727599 ",,,4014.0,0.657,0.632,"DWARF   ",19.467,18.539,14.907,1524
"14351756-2727462 ",,,5744.0,1.057,1.03,"DWARF   ",15.117,15.013,13.098,1525
"14351650-2727379 ",,,4971.0,0.816,0.82,"DWARF   ",16.024,15.17,12.703,1526
"14351513-2727326 ",,,5501.0,0.676,0.96,"DWARF   ",17.18,16.782,14.644,1527
"14345507-2727288 ",,,6192.0,1.475,1.19,"DWARF   ",17.308,17.094,15.307,1528
"14345856-2727233 ",,,5272.0,0.762,0.9,"DWARF   ",17.199,16.792,14.606,1529
"14351706-2727197 ",,,5447.0,1.196,0.95,"DWARF   ",17.277,16.618,14.815,1530
"14345677-2727049 ",,,6036.0,1.613,1.12,"DWARF   ",17.171,16.572,15.604,1531
"14351402-2727037 ",,,6144.0,1.118,1.17,"DWARF   ",17.393,17.227,15.574,1532
"14350119-2726581 ",,,4616.0,0.624,0.73,"DWARF   ",18.937,18.777,15.866,1534
"14351531-2726521 ",,,3848.0,0.595,0.584,"DWARF   ",18.491,17.681,13.834,1535
"14350377-2726491 ",,,5440.0,0.763,0.95,"DWARF   ",17.421,17.386,15.064,1536
"14350289-2726416 ",,,5687.0,1.586,1.01,"DWARF   ",17.452,17.13,15.027,1537
"14351943-2726364 ",,,3690.0,0.463,0.54,"DWARF   ",20.324,19.957,15.412,1538
"14352038-2726327 ",,,5758.0,0.962,1.03,"DWARF   ",18.267,17.974,15.222,1539
"14350739-2726243 ",,,5807.0,0.88,1.04,"DWARF   ",17.668,17.671,15.667,1540
"14351392-2726167 ",,,4934.0,0.894,0.81,"DWARF   ",18.088,17.966,15.132,1541
"14350357-2726129 ",,,5002.0,0.623,0.83,"DWARF   ",17.676,17.395,14.944,1542
"14345971-2725581 ",,,4559.0,0.679,0.72,"DWARF   ",18.05,17.364,14.572,1544
"14345308-2725525 ",,,5977.0,1.713,1.1,"DWARF   ",15.975,15.259,13.561,1545
"14345593-2725356 ",,,5690.0,1.032,1.01,"DWARF   ",16.269,15.948,13.931,1546
"14352126-2725350 ",,,4721.0,0.709,0.76,"DWARF   ",17.807,17.105,14.305,1547
"14351792-2725342 ",,,4513.0,0.542,0.71,"DWARF   ",18.489,17.534,14.338,1548
"14350618-2725340 ",,,3635.0,0.545,0.52,"DWARF   ",21.344,20.634,15.685,1549
"14345909-2725321 ",,,5140.0,1.22,0.87,"DWARF   ",18.009,16.532,15.476,1550
"14350839-2725319 ",,,3422.0,0.238,0.208,"DWARF   ",19.703,19.283,14.225,1551
"14345957-2725242 ",,,4655.0,1.186,0.74,"DWARF   ",18.007,17.46,14.545,1552
"14352203-2725237 ",,,5500.0,2.935,,"GIANT   ",15.542,14.94,12.71,1553
"14351345-2725235 ",,,4798.0,11.56,,"GIANT   ",14.318,13.356,10.549,1554
"14350000-2725206 ",,,4008.0,1.44,,"GIANT   ",20.262,19.441,15.524,1555
"14350136-2725205 ",,,6315.0,0.823,1.24,"DWARF   ",17.749,17.951,16.993,1556
"14345506-2725189 ",,,5725.0,0.877,1.02,"DWARF   ",16.18,15.538,13.577,1557
"14351697-2725163 ",,,,,,"DWARF   ",15.777,15.103,13.327,1558
"14351832-2725159 ",,,6027.0,0.849,1.12,"DWARF   ",18.483,18.172,15.389,1559
"14345790-2725147 ",,,4977.0,0.726,0.82,"DWARF   ",17.607,16.674,14.342,1560
"14352590-2725078 ",,,5319.0,0.556,0.92,"DWARF   ",18.477,18.288,16.093,1561
"14350188-2725041 ",,,5885.0,0.84,1.07,"DWARF   ",17.864,18.013,16.186,1562
"14351722-2724558 ",,,5688.0,0.975,1.01,"DWARF   ",17.551,16.802,15.157,1563
"14352190-2724488 ",,,,,,"GIANT   ",16.158,15.384,12.535,1565
"14352276-2724478 ",,,5517.0,1.202,0.97,"DWARF   ",15.422,14.78,12.814,1566
"14351622-2724344 ",,,4392.0,0.526,0.69,"DWARF   ",18.825,18.413,15.139,1567
"14350629-2724339 ",,,5460.0,0.72,0.95,"DWARF   ",17.229,16.616,15.301,1568
"14345796-2724284 ",,,5894.0,1.152,1.07,"DWARF   ",17.201,16.663,14.535,1569
"14350012-2724183 ",,,5923.0,1.265,1.08,"DWARF   ",17.712,17.721,15.385,1571
"14351327-2724175 ",,,5748.0,1.039,1.03,"DWARF   ",15.428,14.717,12.911,1572
"14345279-2723562 ",,,4373.0,0.654,0.68,"DWARF   ",19.348,18.28,15.444,1573
"14351663-2723558 ",,,5780.0,1.189,1.04,"DWARF   ",17.732,17.546,15.739,1574
"14351319-2723525 ",,,3393.0,0.382,0.371,"DWARF   ",19.87,18.895,13.96,1575
"14345893-2723404 ",,,3797.0,0.612,0.598,"DWARF   ",18.221,20.866,13.359,1576
"14352189-2723402 ",,,5915.0,1.69,1.08,"DWARF   ",17.297,17.283,15.526,1577
"14350314-2723341 ",,,4622.0,0.7,0.73,"DWARF   ",16.932,15.811,13.26,1578
"14351992-2723321 ",,,3790.0,0.85,0.58,"DWARF   ",19.382,18.362,14.15,1579
"14350204-2723083 ",,,4430.0,0.592,0.69,"DWARF   ",16.659,17.729,14.822,1580
"14350548-2723029 ",,,5492.0,0.814,0.96,"DWARF   ",17.75,17.702,15.46,1581
"14345776-2723003 ",,,6056.0,1.038,1.13,"DWARF   ",16.91,16.454,15.223,1582
"14351142-2722570 ",,,3902.0,0.619,0.603,"DWARF   ",18.885,17.928,14.172,1583
"14345236-2722395 ",,,,,,"DWARF   ",20.514,19.733,15.624,1585
"14350301-2722243 ",,,5521.0,0.862,0.97,"DWARF   ",13.466,12.819,10.857,1586
"14352229-2722192 ",,,4436.0,0.64,0.69,"DWARF   ",17.677,16.437,13.243,1587
"14352053-2722178 ",,,5884.0,0.889,1.07,"DWARF   ",18.385,17.834,15.694,1588
"14345585-2722176 ",,,5138.0,4.252,,"GIANT   ",16.554,15.863,13.307,1589
"14345259-2722145 ",,,5283.0,0.905,0.91,"DWARF   ",16.796,16.25,13.903,1590
"14351020-2722140 ",,,5821.0,1.051,1.05,"DWARF   ",16.608,16.251,14.05,1591
"14350480-2722101 ",,,,,,"GIANT   ",16.072,19.38,14.033,1592
"14352297-2722084 ",,,5952.0,1.677,1.09,"DWARF   ",17.619,16.284,14.974,1593
"14350860-2721580 ",,,5116.0,1.317,0.86,"DWARF   ",17.99,17.256,14.953,1595
"14345721-2721569 ",,,,,,"GIANT   ",17.752,17.291,14.83,1596
"14345857-2721489 ",,,,,,,,21.222,15.291,1597
"14350468-2721434 ",,,,,,"DWARF   ",21.18,20.582,15.396,1598
"14351475-2721330 ",,,4989.0,14.903,,"GIANT   ",14.759,14.01,11.305,1599
"14351194-2721303 ",,,5357.0,1.24,0.93,"DWARF   ",18.304,17.756,15.531,1600
"14351893-2721268 ",,,3450.0,0.49,0.488,"DWARF   ",19.566,18.391,13.765,1601
"14351899-2721182 ",,,6287.0,,,"DWARF   ",17.926,17.456,15.871,1602
"14345611-2721145 ",,,5269.0,0.537,0.9,"DWARF   ",18.209,17.707,15.225,1603
"14351503-2721017 ",,,5120.0,0.538,0.86,"DWARF   ",18.449,17.845,15.369,1604
"14350264-2721008 ",,,5726.0,1.553,1.02,"DWARF   ",16.982,16.244,14.297,1605
"14352228-2720557 ",,,7924.0,1.897,1.9,"DWARF   ",11.658,11.503,10.83,1606
"14351577-2720510 ",,,5912.0,0.895,1.08,"DWARF   ",16.653,16.026,14.215,1607
"14350841-2720480 ",,,4799.4,12.191,,"GIANT   ",10.916,9.773,7.157,1608
"14352083-2720367 ",,,4606.0,0.625,0.73,"DWARF   ",18.426,17.722,14.934,1610
"14351992-2720358 ",,,5296.0,2.433,,"GIANT   ",17.88,16.696,14.743,1611
"14352142-2720236 ",,,5489.0,1.055,0.96,"DWARF   ",16.53,15.689,13.784,1612
"14345820-2720089 ",,,4699.0,0.712,0.75,"DWARF   ",18.784,17.771,14.95,1613
"14351314-2720028 ",,,5836.0,1.474,1.05,"DWARF   ",15.182,14.653,12.728,1614
"14351459-2719487 ",,,3547.0,0.261,0.233,"DWARF   ",21.037,19.619,14.951,1615
"14345444-2719328 ",,,,,,"DWARF   ",19.461,19.884,15.159,1616
"14352319-2719088 ",,,6295.0,1.297,1.23,"DWARF   ",16.825,16.561,14.787,1618
"14350831-2719073 ",,,5608.0,0.704,0.99,"DWARF   ",17.494,16.96,15.247,1619
"14350004-2719031 ",,,5655.0,1.057,1.0,"DWARF   ",17.181,16.566,14.716,1620
"14345738-2718583 ",,,5718.0,0.811,1.02,"DWARF   ",17.553,16.51,15.181,1621
"14351120-2718543 ",,,4796.0,0.744,0.77,"DWARF   ",18.547,17.706,14.971,1622
"14351566-2718529 ",,,5766.0,1.069,1.03,"DWARF   ",18.002,17.21,15.325,1623
"14350896-2718405 ",,,3618.0,1.184,0.52,"DWARF   ",20.799,20.149,15.535,1624
"14351606-2718379 ",,,,,,,17.692,16.91,14.981,1625
"14345696-2718363 ",,,5964.0,0.75,1.09,"DWARF   ",17.541,16.805,15.102,1626
"14350253-2718362 ",,,5501.0,2.456,0.96,"DWARF   ",14.955,14.202,12.156,1627
"14352330-2718318 ",,,3723.0,0.355,0.34,"DWARF   ",20.201,18.938,15.223,1628
"14351401-2718213 ",,,4901.0,0.843,0.8,"DWARF   ",18.562,17.95,15.144,1629
"14351216-2718021 ",,,4723.0,7.786,,"GIANT   ",15.879,14.902,11.988,1630
"14350903-2718020 ",,,5203.0,1.277,0.88,"DWARF   ",18.078,17.373,15.043,1631
"14345495-2717597 ",,,,,,,19.555,19.468,16.088,1632
"14345497-2717538 ",,,5850.0,1.467,1.06,"DWARF   ",16.652,16.056,14.278,1633
"14345993-2717527 ",,,4200.0,0.468,0.66,"DWARF   ",19.222,18.392,14.941,1634
"14345660-2717426 ",,,5448.0,0.725,0.95,"DWARF   ",18.746,18.176,15.624,1635
"14350844-2717343 ",,,5855.0,0.985,1.06,"DWARF   ",14.993,14.506,12.497,1636
"14352261-2717323 ",,,5278.0,,,"DWARF   ",19.396,18.796,15.68,1637
"14352306-2717284 ",,,5048.0,3.019,,"GIANT   ",16.541,15.759,13.208,1638
"14352048-2717069 ",,,4047.0,0.689,0.63,"DWARF   ",20.814,19.755,15.64,1639
"14345289-2717051 ",,,4517.0,0.698,0.71,"DWARF   ",18.424,17.237,14.159,1640
"14350576-2717023 ",,,,,,"GIANT   ",18.494,16.699,13.172,1641
"14345790-2717010 ",,,6489.0,,,"DWARF   ",17.717,17.398,16.521,1642
"14352029-2716540 ",,,5652.0,1.279,1.0,"DWARF   ",17.204,16.304,14.474,1643
"14351490-2716422 ",,,5024.0,2.722,,"GIANT   ",16.124,15.3,12.761,1644
"14351044-2716395 ",,,5942.0,0.802,1.09,"DWARF   ",17.363,16.766,15.084,1645
"14350208-2716360 ",,,5748.0,1.374,1.03,"DWARF   ",16.409,15.903,13.89,1646
"14350937-2716340 ",,,5885.0,0.744,1.07,"DWARF   ",18.589,18.025,16.737,1647
"14345941-2716276 ",,,6300.0,1.227,1.24,"DWARF   ",12.764,11.659,10.505,1648
"14351175-2716199 ",,,3986.0,0.88,0.62,"DWARF   ",20.53,19.319,15.045,1649
"14345243-2715530 ",,,5878.0,1.598,1.06,"DWARF   ",15.735,15.167,13.468,1651
"14345799-2715407 ",,,5235.0,0.688,0.89,"DWARF   ",17.87,16.5,15.041,1652
"14350081-2715405 ",,,4986.0,0.96,0.82,"DWARF   ",19.81,18.967,15.942,1653
"14352274-2715359 ",,,3500.0,0.51,0.508,"DWARF   ",18.007,16.383,11.656,1654
"14350491-2715214 ",,,,,,,20.235,20.954,15.434,1655
"14350639-2715206 ",,,3341.0,0.395,0.386,"DWARF   ",20.606,19.548,14.441,1656
"14350140-2715179 ",,,5464.0,,,"DWARF   ",18.395,17.952,16.421,1657
"14351075-2715148 ",,,6536.0,1.523,1.35,"DWARF   ",16.935,15.765,14.878,1658
"14350990-2715122 ",,,5533.0,0.912,0.97,"DWARF   ",15.873,15.449,13.336,1659
"14350040-2715115 ",,,4012.0,0.522,0.63,"DWARF   ",20.852,19.64,15.862,1660
"14350939-2715040 ",,,5884.0,1.788,1.07,"DWARF   ",16.749,15.941,14.143,1661
"14351426-2714443 ",,,3887.0,1.229,0.6,"DWARF   ",20.969,19.457,15.143,1662
"14351338-2714191 ",,,6078.0,1.264,,"DWARF   ",12.24,11.953,10.412,1663
